variant,instance,well,variable,group,status,n_finite_baseline,baseline_distinct,centre,scale
checked,WELL-00001_20170218050218,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3367722.0,819.8778
checked,WELL-00001_20170218050218,WELL-00001,P-MON-CKP,normal,kept,180,179,5781538.0,25049.6389
checked,WELL-00001_20170218050218,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170218050218,WELL-00001,P-TPT,normal,kept,180,152,13833360.0,66338.937
checked,WELL-00001_20170218050218,WELL-00001,T-TPT,normal,kept,180,132,117.7154,0.0495
checked,WELL-00001_20170218100218,WELL-00001,P-ANULAR,normal,kept,180,71,14569915.0,39548.355
checked,WELL-00001_20170218100218,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3372229.75,2033.7565
checked,WELL-00001_20170218100218,WELL-00001,P-MON-CKP,normal,kept,180,180,5797877.5,21416.5276
checked,WELL-00001_20170218100218,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170218100218,WELL-00001,P-TPT,normal,kept,180,152,13853380.0,45782.688
checked,WELL-00001_20170218100218,WELL-00001,T-TPT,normal,kept,180,176,117.7037,0.0471
checked,WELL-00001_20170218150135,WELL-00001,P-ANULAR,normal,kept,180,116,14623040.0,16853.4555
checked,WELL-00001_20170218150135,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3381393.25,2043.0228
checked,WELL-00001_20170218150135,WELL-00001,P-MON-CKP,normal,kept,180,180,5784486.25,20386.8619
checked,WELL-00001_20170218150135,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170218150135,WELL-00001,P-TPT,normal,kept,180,143,13847770.0,44092.524
checked,WELL-00001_20170218150135,WELL-00001,T-TPT,normal,kept,180,157,117.7215,0.0371
checked,WELL-00001_20170219010042,WELL-00001,P-ANULAR,normal,dropped: zero scale,180,38,14603090.0,0.0
checked,WELL-00001_20170219010042,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3385881.0,2219.4522
checked,WELL-00001_20170219010042,WELL-00001,P-MON-CKP,normal,kept,180,180,5795218.0,20937.2772
checked,WELL-00001_20170219010042,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170219010042,WELL-00001,P-TPT,normal,kept,180,84,13845000.0,24488.8455
checked,WELL-00001_20170219010042,WELL-00001,T-TPT,normal,kept,180,90,117.7312,0.0013
checked,WELL-00001_20170219060031,WELL-00001,P-ANULAR,normal,dropped: zero scale,180,32,14563190.0,0.0
checked,WELL-00001_20170219060031,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3395854.0,2219.4522
checked,WELL-00001_20170219060031,WELL-00001,P-MON-CKP,normal,kept,180,179,5797914.75,20605.5454
checked,WELL-00001_20170219060031,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170219060031,WELL-00001,P-TPT,normal,kept,180,150,13850567.5,42583.9785
checked,WELL-00001_20170219060031,WELL-00001,T-TPT,normal,kept,180,154,117.6536,0.0594
checked,WELL-00001_20170219110021,WELL-00001,P-ANULAR,normal,kept,180,63,14561755.0,27057.45
checked,WELL-00001_20170219110021,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3402019.0,818.3952
checked,WELL-00001_20170219110021,WELL-00001,P-MON-CKP,normal,kept,180,180,5818602.5,22687.1158
checked,WELL-00001_20170219110021,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170219110021,WELL-00001,P-TPT,normal,kept,180,151,13868727.5,35178.3915
checked,WELL-00001_20170219110021,WELL-00001,T-TPT,normal,kept,180,178,117.6534,0.0635
checked,WELL-00001_20170219160053,WELL-00001,P-ANULAR,normal,kept,180,109,14623040.0,15248.541
checked,WELL-00001_20170219160053,WELL-00001,P-JUS-CKGL,normal,kept,180,176,3405106.5,351.3762
checked,WELL-00001_20170219160053,WELL-00001,P-MON-CKP,normal,kept,180,180,5840150.75,21829.0611
checked,WELL-00001_20170219160053,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170219160053,WELL-00001,P-TPT,normal,kept,180,101,13895430.0,15611.778
checked,WELL-00001_20170219160053,WELL-00001,T-TPT,normal,kept,180,140,117.6405,0.0188
checked,WELL-00001_20170219210332,WELL-00001,P-ANULAR,normal,kept,180,40,14561087.5,26460.7035
checked,WELL-00001_20170219210332,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3402705.5,612.3138
checked,WELL-00001_20170219210332,WELL-00001,P-MON-CKP,normal,kept,180,180,5839036.5,18662.2275
checked,WELL-00001_20170219210332,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170219210332,WELL-00001,P-TPT,normal,kept,180,143,13888107.5,47602.5795
checked,WELL-00001_20170219210332,WELL-00001,T-TPT,normal,kept,180,141,117.6174,0.063
checked,WELL-00001_20170226130146,WELL-00001,P-ANULAR,mixed,kept,180,59,14563190.0,59155.74
checked,WELL-00001_20170226130146,WELL-00001,P-JUS-CKGL,mixed,kept,180,180,3384904.5,1616.7753
checked,WELL-00001_20170226130146,WELL-00001,P-MON-CKP,mixed,kept,180,180,5343805.0,23196.0183
checked,WELL-00001_20170226130146,WELL-00001,P-PDG,mixed,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170226130146,WELL-00001,P-TPT,mixed,kept,180,129,13305177.5,27539.295
checked,WELL-00001_20170226130146,WELL-00001,T-TPT,mixed,kept,180,127,118.1365,0.0219
checked,WELL-00001_20170320120025,WELL-00001,P-ANULAR,positive_baseline,kept,180,52,14727250.0,22965.474
checked,WELL-00001_20170320120025,WELL-00001,P-JUS-CKGL,positive_baseline,kept,180,180,3245598.5,201.6336
checked,WELL-00001_20170320120025,WELL-00001,P-MON-CKP,positive_baseline,kept,180,180,6027834.25,136871.0375
checked,WELL-00001_20170320120025,WELL-00001,P-PDG,positive_baseline,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170320120025,WELL-00001,P-TPT,positive_baseline,kept,180,179,14071082.5,271478.886
checked,WELL-00001_20170320120025,WELL-00001,T-TPT,positive_baseline,kept,180,177,117.0853,0.3848
checked,WELL-00001_20170421090251,WELL-00001,P-ANULAR,normal,dropped: zero scale,180,18,14962180.0,0.0
checked,WELL-00001_20170421090251,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3415640.5,1018.5462
checked,WELL-00001_20170421090251,WELL-00001,P-MON-CKP,normal,kept,180,178,6092883.75,24787.96
checked,WELL-00001_20170421090251,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170421090251,WELL-00001,P-TPT,normal,kept,180,143,14152282.5,71064.7245
checked,WELL-00001_20170421090251,WELL-00001,T-TPT,normal,kept,180,145,116.4788,0.0755
checked,WELL-00001_20170422030000,WELL-00001,P-ANULAR,normal,kept,180,74,14842480.0,29577.87
checked,WELL-00001_20170422030000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3427051.5,200.8923
checked,WELL-00001_20170422030000,WELL-00001,P-MON-CKP,normal,kept,180,180,6088135.25,63490.8624
checked,WELL-00001_20170422030000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170422030000,WELL-00001,P-TPT,normal,kept,180,153,14190857.5,108211.2675
checked,WELL-00001_20170422030000,WELL-00001,T-TPT,normal,kept,180,163,116.5459,0.1432
checked,WELL-00001_20170424170042,WELL-00001,P-ANULAR,normal,kept,180,40,14862430.0,29.652
checked,WELL-00001_20170424170042,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3449493.5,201.6336
checked,WELL-00001_20170424170042,WELL-00001,P-MON-CKP,normal,kept,180,180,6086572.0,24491.8107
checked,WELL-00001_20170424170042,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170424170042,WELL-00001,P-TPT,normal,kept,180,103,14164200.0,29577.87
checked,WELL-00001_20170424170042,WELL-00001,T-TPT,normal,kept,180,125,116.5312,0.0162
checked,WELL-00001_20170424220156,WELL-00001,P-ANULAR,normal,kept,180,61,14973290.0,13106.184
checked,WELL-00001_20170424220156,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3450960.5,1006.6854
checked,WELL-00001_20170424220156,WELL-00001,P-MON-CKP,normal,kept,180,180,6075707.25,23687.5002
checked,WELL-00001_20170424220156,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170424220156,WELL-00001,P-TPT,normal,kept,180,171,14170725.0,50186.01
checked,WELL-00001_20170424220156,WELL-00001,T-TPT,normal,kept,180,141,116.5648,0.0498
checked,WELL-00001_20170425030207,WELL-00001,P-ANULAR,normal,dropped: zero scale,180,13,14862430.0,0.0
checked,WELL-00001_20170425030207,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3455488.75,1006.3147
checked,WELL-00001_20170425030207,WELL-00001,P-MON-CKP,normal,kept,180,180,6087968.5,27182.359
checked,WELL-00001_20170425030207,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170425030207,WELL-00001,P-TPT,normal,kept,180,137,14164200.0,28695.723
checked,WELL-00001_20170425030207,WELL-00001,T-TPT,normal,kept,180,134,116.545,0.0235
checked,WELL-00001_20170425080343,WELL-00001,P-ANULAR,normal,kept,180,64,14727142.5,23124.8535
checked,WELL-00001_20170425080343,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3463163.5,1828.7871
checked,WELL-00001_20170425080343,WELL-00001,P-MON-CKP,normal,kept,180,180,6077821.0,22623.3641
checked,WELL-00001_20170425080343,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170425080343,WELL-00001,P-TPT,normal,kept,180,123,14161355.0,24533.3235
checked,WELL-00001_20170425080343,WELL-00001,T-TPT,normal,dropped: zero scale,180,61,116.5203,0.0
checked,WELL-00001_20170425130042,WELL-00001,P-ANULAR,normal,kept,180,48,14762680.0,29563.044
checked,WELL-00001_20170425130042,WELL-00001,P-JUS-CKGL,normal,dropped: zero scale,180,15,3469234.0,0.0
checked,WELL-00001_20170425130042,WELL-00001,P-MON-CKP,normal,kept,180,180,6052230.0,28644.5733
checked,WELL-00001_20170425130042,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170425130042,WELL-00001,P-TPT,normal,kept,180,147,14163797.5,106413.615
checked,WELL-00001_20170425130042,WELL-00001,T-TPT,normal,kept,180,155,116.5044,0.0825
checked,WELL-00001_20170520180000,WELL-00001,P-ANULAR,normal,kept,180,79,14893315.0,25897.3155
checked,WELL-00001_20170520180000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3120387.25,2029.6794
checked,WELL-00001_20170520180000,WELL-00001,P-MON-CKP,normal,kept,180,180,6115511.5,33726.5554
checked,WELL-00001_20170520180000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170520180000,WELL-00001,P-TPT,normal,kept,180,126,14262940.0,35419.314
checked,WELL-00001_20170520180000,WELL-00001,T-TPT,normal,kept,180,132,116.7785,0.0225
checked,WELL-00001_20170520230000,WELL-00001,P-ANULAR,normal,dropped: zero scale,180,1,14942230.0,0.0
checked,WELL-00001_20170520230000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3121535.0,1218.3265
checked,WELL-00001_20170520230000,WELL-00001,P-MON-CKP,normal,kept,180,179,6114998.25,36753.654
checked,WELL-00001_20170520230000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170520230000,WELL-00001,P-TPT,normal,kept,180,143,14249170.0,34229.5275
checked,WELL-00001_20170520230000,WELL-00001,T-TPT,normal,kept,180,142,116.8208,0.0362
checked,WELL-00001_20170521040000,WELL-00001,P-ANULAR,normal,kept,180,63,14942230.0,29577.87
checked,WELL-00001_20170521040000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3126908.75,1043.7504
checked,WELL-00001_20170521040000,WELL-00001,P-MON-CKP,normal,kept,180,179,6157596.0,33530.4816
checked,WELL-00001_20170521040000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170521040000,WELL-00001,P-TPT,normal,kept,180,143,14261065.0,38640.2625
checked,WELL-00001_20170521040000,WELL-00001,T-TPT,normal,kept,180,98,116.8328,0.0274
checked,WELL-00001_20170521090000,WELL-00001,P-ANULAR,normal,kept,180,60,14907875.0,76902.462
checked,WELL-00001_20170521090000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3131516.0,1024.8473
checked,WELL-00001_20170521090000,WELL-00001,P-MON-CKP,normal,kept,180,179,6141223.5,20724.8947
checked,WELL-00001_20170521090000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170521090000,WELL-00001,P-TPT,normal,kept,180,87,14253200.0,15937.95
checked,WELL-00001_20170521090000,WELL-00001,T-TPT,normal,kept,180,96,116.8328,0.0383
checked,WELL-00001_20170521140000,WELL-00001,P-ANULAR,normal,kept,180,71,14962180.0,29577.87
checked,WELL-00001_20170521140000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3132104.5,604.9008
checked,WELL-00001_20170521140000,WELL-00001,P-MON-CKP,normal,kept,180,180,6145912.5,36352.6107
checked,WELL-00001_20170521140000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170521140000,WELL-00001,P-TPT,normal,kept,180,145,14236705.0,54800.6025
checked,WELL-00001_20170521140000,WELL-00001,T-TPT,normal,kept,180,175,116.8226,0.0458
checked,WELL-00001_20170521190000,WELL-00001,P-ANULAR,normal,dropped: zero scale,180,16,14942230.0,0.0
checked,WELL-00001_20170521190000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3129386.25,806.905
checked,WELL-00001_20170521190000,WELL-00001,P-MON-CKP,normal,kept,180,179,6143143.0,26271.3013
checked,WELL-00001_20170521190000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170521190000,WELL-00001,P-TPT,normal,kept,180,138,14237045.0,13250.7375
checked,WELL-00001_20170521190000,WELL-00001,T-TPT,normal,dropped: zero scale,180,77,116.8328,0.0
checked,WELL-00001_20170522000000,WELL-00001,P-ANULAR,normal,dropped: zero scale,180,12,14842480.0,0.0
checked,WELL-00001_20170522000000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3121500.5,1811.7372
checked,WELL-00001_20170522000000,WELL-00001,P-MON-CKP,normal,kept,180,179,6145893.25,28482.5992
checked,WELL-00001_20170522000000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170522000000,WELL-00001,P-TPT,normal,kept,180,112,14224050.0,19058.823
checked,WELL-00001_20170522000000,WELL-00001,T-TPT,normal,kept,180,136,116.7546,0.0438
checked,WELL-00001_20170522050000,WELL-00001,P-ANULAR,normal,kept,180,68,14902330.0,38414.166
checked,WELL-00001_20170522050000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3116559.5,203.8575
checked,WELL-00001_20170522050000,WELL-00001,P-MON-CKP,normal,kept,180,180,6140686.0,21771.2397
checked,WELL-00001_20170522050000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170522050000,WELL-00001,P-TPT,normal,kept,180,114,14228735.0,27813.576
checked,WELL-00001_20170522050000,WELL-00001,T-TPT,normal,kept,180,118,116.7812,0.0334
checked,WELL-00001_20170522100000,WELL-00001,P-ANULAR,normal,kept,180,70,14862430.0,23106.321
checked,WELL-00001_20170522100000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3117420.75,192.738
checked,WELL-00001_20170522100000,WELL-00001,P-MON-CKP,normal,kept,180,179,6137440.75,26810.5971
checked,WELL-00001_20170522100000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170522100000,WELL-00001,P-TPT,normal,dropped: zero scale,180,56,14224050.0,0.0
checked,WELL-00001_20170522100000,WELL-00001,T-TPT,normal,kept,180,164,116.6314,0.0345
checked,WELL-00001_20170522150000,WELL-00001,P-ANULAR,normal,kept,180,32,14862430.0,29577.87
checked,WELL-00001_20170522150000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3105712.0,3418.8756
checked,WELL-00001_20170522150000,WELL-00001,P-MON-CKP,normal,kept,180,179,6136031.5,26336.9064
checked,WELL-00001_20170522150000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170522150000,WELL-00001,P-TPT,normal,kept,180,72,14224050.0,5348.4795
checked,WELL-00001_20170522150000,WELL-00001,T-TPT,normal,kept,180,140,116.596,0.0222
checked,WELL-00001_20170522200000,WELL-00001,P-ANULAR,normal,kept,180,69,14942230.0,34577.9385
checked,WELL-00001_20170522200000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3091308.0,2214.2631
checked,WELL-00001_20170522200000,WELL-00001,P-MON-CKP,normal,kept,180,180,6138406.75,23917.3032
checked,WELL-00001_20170522200000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170522200000,WELL-00001,P-TPT,normal,kept,180,119,14235327.5,13595.442
checked,WELL-00001_20170522200000,WELL-00001,T-TPT,normal,kept,180,137,116.7156,0.0344
checked,WELL-00001_20170523010012,WELL-00001,P-ANULAR,normal,kept,180,129,14910260.0,136132.332
checked,WELL-00001_20170523010012,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3081345.0,2214.2631
checked,WELL-00001_20170523010012,WELL-00001,P-MON-CKP,normal,kept,180,180,6139062.5,21259.372
checked,WELL-00001_20170523010012,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170523010012,WELL-00001,P-TPT,normal,kept,180,79,14244000.0,16075.0905
checked,WELL-00001_20170523010012,WELL-00001,T-TPT,normal,kept,180,139,116.7638,0.0167
checked,WELL-00001_20170523060000,WELL-00001,P-ANULAR,normal,kept,180,130,14763772.5,21809.046
checked,WELL-00001_20170523060000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3077706.5,204.5988
checked,WELL-00001_20170523060000,WELL-00001,P-MON-CKP,normal,kept,180,180,6142923.25,21976.5798
checked,WELL-00001_20170523060000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170523060000,WELL-00001,P-TPT,normal,kept,180,137,14225685.0,22402.086
checked,WELL-00001_20170523060000,WELL-00001,T-TPT,normal,kept,180,141,116.7165,0.0417
checked,WELL-00001_20170523110000,WELL-00001,P-ANULAR,normal,kept,180,88,14873965.0,17101.791
checked,WELL-00001_20170523110000,WELL-00001,P-JUS-CKGL,normal,kept,180,167,3078413.5,186.8076
checked,WELL-00001_20170523110000,WELL-00001,P-MON-CKP,normal,kept,180,180,6135748.75,23362.4401
checked,WELL-00001_20170523110000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170523110000,WELL-00001,P-TPT,normal,kept,180,127,14243360.0,27665.316
checked,WELL-00001_20170523110000,WELL-00001,T-TPT,normal,kept,180,131,116.7652,0.0263
checked,WELL-00001_20170523160000,WELL-00001,P-ANULAR,normal,kept,180,55,14882380.0,59155.74
checked,WELL-00001_20170523160000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3075869.75,608.6073
checked,WELL-00001_20170523160000,WELL-00001,P-MON-CKP,normal,kept,180,180,6139028.25,26366.1877
checked,WELL-00001_20170523160000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170523160000,WELL-00001,P-TPT,normal,kept,180,101,14219920.0,31423.707
checked,WELL-00001_20170523160000,WELL-00001,T-TPT,normal,kept,180,151,116.8104,0.0201
checked,WELL-00001_20170523210000,WELL-00001,P-ANULAR,normal,dropped: zero scale,180,4,14942230.0,0.0
checked,WELL-00001_20170523210000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3068600.75,3016.3497
checked,WELL-00001_20170523210000,WELL-00001,P-MON-CKP,normal,kept,180,180,6132682.5,26000.3562
checked,WELL-00001_20170523210000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170523210000,WELL-00001,P-TPT,normal,kept,180,86,14242570.0,17735.6025
checked,WELL-00001_20170523210000,WELL-00001,T-TPT,normal,dropped: zero scale,180,89,116.7937,0.0
checked,WELL-00001_20170524020000,WELL-00001,P-ANULAR,normal,dropped: zero scale,180,52,14842480.0,0.0
checked,WELL-00001_20170524020000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3055037.75,3016.3497
checked,WELL-00001_20170524020000,WELL-00001,P-MON-CKP,normal,kept,180,179,6111379.0,32327.3517
checked,WELL-00001_20170524020000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170524020000,WELL-00001,P-TPT,normal,kept,180,120,14184150.0,30063.4215
checked,WELL-00001_20170524020000,WELL-00001,T-TPT,normal,dropped: zero scale,180,78,116.7937,0.0
checked,WELL-00001_20170524070000,WELL-00001,P-ANULAR,normal,kept,180,106,14900202.5,27290.9595
checked,WELL-00001_20170524070000,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3045168.5,2012.6295
checked,WELL-00001_20170524070000,WELL-00001,P-MON-CKP,normal,kept,180,179,6102302.75,57776.1807
checked,WELL-00001_20170524070000,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170524070000,WELL-00001,P-TPT,normal,kept,180,130,14194145.0,71609.58
