variant,detector,instance,well,folder_label,group,n_windows,n_stream,n_scored,n_refused,n_inf_windows,threshold,first_fault_position,n_pre,n_pre_fired,detected,delay_windows,refusal
checked,clock,WELL-00001_20170425080343,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170425130042,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170520180000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170520230000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170521040000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170521090000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170521140000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170521190000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170522000000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170522050000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170522100000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170522150000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170522200000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170523010012,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170523060000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170523110000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170523160000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170523210000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170524020000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170524070000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170524120000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170524170000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170524220000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170525030000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170525080000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170525130000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170525180000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170525230000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170526040000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170526090000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170526140000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170526190000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170527000000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170527050000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170527100000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170527150000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170527200000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170528010000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170528060000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170528110000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170528160000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170528210000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170626090246,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170626140123,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170626190135,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170627000333,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170823040000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170823140000,WELL-00001,0,normal,5,2,2,0,0,2.0,,2.0,2.0,,,
checked,clock,WELL-00001_20170823190000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170824000000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170824050000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170824100000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170824150000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170824200000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170825010000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170825060000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170825110000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170825160000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170825210000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170826020000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170826070000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170826120000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170826170000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170826220000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170827030000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170827080000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170827130000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170827180000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170827230000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170828040000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170828090000,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170209110022,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170209160152,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170209210033,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170210020033,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170210070407,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170210120152,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170210170033,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170210220203,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170211030225,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170211080129,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170211130152,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170211180129,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170211230141,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170212040225,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170212090203,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170212140407,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170212190429,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170213000322,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170213050225,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170213100344,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170213150107,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170213200214,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170214010118,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170214060141,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170214110056,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170214160044,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170214210322,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170215020259,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170215070056,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170215120214,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170215170118,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170215220129,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170216030141,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170216080118,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170216130152,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170216180214,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170216230107,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170217040451,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170217090355,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170217140248,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170217190225,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170218000237,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170218050225,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170218100022,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170218150214,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170219010033,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170219060129,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170219110152,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170219160203,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170219210214,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170307190031,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170308000103,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170308050042,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170308100124,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170308150353,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170308200218,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170309010218,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170309060218,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170309110156,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170309160218,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170309210207,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170310020146,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170310070518,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170310120321,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170310170103,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170310220042,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170404020000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170404070045,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170404120000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170404170000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170404220000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170405030000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170405080000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170405130000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170405180000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170405230000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170406040000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170406090000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170406140000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170406190000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170610230108,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170611040011,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170611090000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170611140000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170611190000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170612000000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170612050057,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170612100022,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170612150022,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00002_20170612200000,WELL-00002,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
