experiment,tag,usable,reason
other__7,Thermocouple,True,
other__7,Voltage,True,
other__7,Volume Flow RateRMS,True,
other__8,Accelerometer1RMS,True,
other__8,Accelerometer2RMS,True,
other__8,Current,True,
other__8,Pressure,True,
other__8,Temperature,True,
other__8,Thermocouple,True,
other__8,Voltage,True,
other__8,Volume Flow RateRMS,True,
other__9,Accelerometer1RMS,True,
other__9,Accelerometer2RMS,True,
other__9,Current,True,
other__9,Pressure,False,baseline MAD scale is zero
other__9,Temperature,True,
other__9,Thermocouple,True,
other__9,Voltage,True,
other__9,Volume Flow RateRMS,True,
valve1__0,Accelerometer1RMS,True,
valve1__0,Accelerometer2RMS,True,
valve1__0,Current,True,
valve1__0,Pressure,False,baseline MAD scale is zero
valve1__0,Temperature,True,
valve1__0,Thermocouple,True,
valve1__0,Voltage,True,
valve1__0,Volume Flow RateRMS,False,baseline MAD scale is zero
valve1__1,Accelerometer1RMS,True,
valve1__1,Accelerometer2RMS,True,
valve1__1,Current,True,
valve1__1,Pressure,False,baseline MAD scale is zero
valve1__1,Temperature,True,
valve1__1,Thermocouple,True,
valve1__1,Voltage,True,
valve1__1,Volume Flow RateRMS,False,baseline MAD scale is zero
valve1__10,Accelerometer1RMS,True,
valve1__10,Accelerometer2RMS,True,
valve1__10,Current,True,
valve1__10,Pressure,False,baseline MAD scale is zero
valve1__10,Temperature,True,
valve1__10,Thermocouple,True,
valve1__10,Voltage,True,
valve1__10,Volume Flow RateRMS,True,
valve1__11,Accelerometer1RMS,True,
valve1__11,Accelerometer2RMS,True,
valve1__11,Current,True,
valve1__11,Pressure,False,baseline MAD scale is zero
valve1__11,Temperature,True,
valve1__11,Thermocouple,True,
valve1__11,Voltage,True,
valve1__11,Volume Flow RateRMS,False,baseline MAD scale is zero
valve1__12,Accelerometer1RMS,True,
valve1__12,Accelerometer2RMS,True,
valve1__12,Current,True,
valve1__12,Pressure,False,baseline MAD scale is zero
valve1__12,Temperature,True,
valve1__12,Thermocouple,True,
valve1__12,Voltage,True,
valve1__12,Volume Flow RateRMS,True,
valve1__13,Accelerometer1RMS,True,
valve1__13,Accelerometer2RMS,True,
valve1__13,Current,True,
valve1__13,Pressure,False,baseline MAD scale is zero
valve1__13,Temperature,True,
valve1__13,Thermocouple,True,
valve1__13,Voltage,True,
valve1__13,Volume Flow RateRMS,True,
valve1__14,Accelerometer1RMS,True,
valve1__14,Accelerometer2RMS,True,
valve1__14,Current,True,
valve1__14,Pressure,False,baseline MAD scale is zero
valve1__14,Temperature,True,
valve1__14,Thermocouple,True,
valve1__14,Voltage,True,
valve1__14,Volume Flow RateRMS,False,baseline MAD scale is zero
valve1__15,Accelerometer1RMS,True,
valve1__15,Accelerometer2RMS,True,
valve1__15,Current,True,
valve1__15,Pressure,False,baseline MAD scale is zero
valve1__15,Temperature,True,
valve1__15,Thermocouple,True,
valve1__15,Voltage,True,
valve1__15,Volume Flow RateRMS,True,
valve1__2,Accelerometer1RMS,True,
valve1__2,Accelerometer2RMS,True,
valve1__2,Current,True,
valve1__2,Pressure,False,baseline MAD scale is zero
valve1__2,Temperature,True,
valve1__2,Thermocouple,True,
valve1__2,Voltage,True,
valve1__2,Volume Flow RateRMS,True,
valve1__3,Accelerometer1RMS,True,
valve1__3,Accelerometer2RMS,True,
valve1__3,Current,True,
valve1__3,Pressure,False,baseline MAD scale is zero
valve1__3,Temperature,True,
valve1__3,Thermocouple,True,
valve1__3,Voltage,True,
valve1__3,Volume Flow RateRMS,False,baseline MAD scale is zero
valve1__4,Accelerometer1RMS,True,
valve1__4,Accelerometer2RMS,True,
valve1__4,Current,True,
valve1__4,Pressure,False,baseline MAD scale is zero
valve1__4,Temperature,True,
valve1__4,Thermocouple,True,
valve1__4,Voltage,True,
valve1__4,Volume Flow RateRMS,False,baseline MAD scale is zero
valve1__5,Accelerometer1RMS,True,
valve1__5,Accelerometer2RMS,True,
valve1__5,Current,True,
valve1__5,Pressure,False,baseline MAD scale is zero
valve1__5,Temperature,True,
valve1__5,Thermocouple,True,
valve1__5,Voltage,True,
valve1__5,Volume Flow RateRMS,False,baseline MAD scale is zero
valve1__6,Accelerometer1RMS,True,
valve1__6,Accelerometer2RMS,True,
valve1__6,Current,True,
valve1__6,Pressure,False,baseline MAD scale is zero
valve1__6,Temperature,True,
valve1__6,Thermocouple,True,
valve1__6,Voltage,True,
valve1__6,Volume Flow RateRMS,False,baseline MAD scale is zero
valve1__7,Accelerometer1RMS,True,
valve1__7,Accelerometer2RMS,True,
valve1__7,Current,True,
valve1__7,Pressure,True,
valve1__7,Temperature,True,
valve1__7,Thermocouple,True,
valve1__7,Voltage,True,
valve1__7,Volume Flow RateRMS,True,
valve1__8,Accelerometer1RMS,True,
valve1__8,Accelerometer2RMS,True,
valve1__8,Current,True,
valve1__8,Pressure,False,baseline MAD scale is zero
valve1__8,Temperature,True,
valve1__8,Thermocouple,True,
valve1__8,Voltage,True,
valve1__8,Volume Flow RateRMS,False,baseline MAD scale is zero
valve1__9,Accelerometer1RMS,True,
valve1__9,Accelerometer2RMS,True,
valve1__9,Current,True,
valve1__9,Pressure,False,baseline MAD scale is zero
valve1__9,Temperature,True,
valve1__9,Thermocouple,True,
valve1__9,Voltage,True,
valve1__9,Volume Flow RateRMS,False,baseline MAD scale is zero
valve2__0,Accelerometer1RMS,True,
valve2__0,Accelerometer2RMS,True,
valve2__0,Current,True,
valve2__0,Pressure,False,baseline MAD scale is zero
valve2__0,Temperature,True,
valve2__0,Thermocouple,True,
valve2__0,Voltage,True,
valve2__0,Volume Flow RateRMS,True,
valve2__1,Accelerometer1RMS,True,
valve2__1,Accelerometer2RMS,True,
valve2__1,Current,True,
valve2__1,Pressure,True,
valve2__1,Temperature,True,
valve2__1,Thermocouple,True,
valve2__1,Voltage,True,
valve2__1,Volume Flow RateRMS,False,baseline MAD scale is zero
valve2__2,Accelerometer1RMS,True,
valve2__2,Accelerometer2RMS,True,
valve2__2,Current,True,
valve2__2,Pressure,False,baseline MAD scale is zero
valve2__2,Temperature,True,
valve2__2,Thermocouple,True,
valve2__2,Voltage,True,
valve2__2,Volume Flow RateRMS,False,baseline MAD scale is zero
valve2__3,Accelerometer1RMS,True,
valve2__3,Accelerometer2RMS,True,
valve2__3,Current,True,
valve2__3,Pressure,False,baseline MAD scale is zero
valve2__3,Temperature,True,
valve2__3,Thermocouple,True,
valve2__3,Voltage,True,
valve2__3,Volume Flow RateRMS,False,baseline MAD scale is zero
