experiment,folder,tag,n_samples,n_good,first_timestamp,last_timestamp,calculation_basis,retrieval_mode,aggregate_type,stepped,quality_assumed,unit_raw,declared_rate_s,interval_median_s,interval_p05_s,interval_p95_s,coverage,n_gaps,longest_gap_s,n_duplicate_timestamps,distinct_count,mad,min,max,frozen_whole_record,zero_mad_whole_record,flatline_whole_record,flatline_windows_assessed,flatline_windows_fired
other__1,other,Current,745,745,2020-03-01T15:44:06+00:00,2020-03-01T15:57:06+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.0,1.0,0,,0,743,0.2523,0.5891,2.3281,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),12,0
other__1,other,Pressure,745,745,2020-03-01T15:44:06+00:00,2020-03-01T15:57:06+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.0,1.0,0,,0,6,0.0,-0.9291,0.7106,False,True,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),12,1
other__1,other,Temperature,745,745,2020-03-01T15:44:06+00:00,2020-03-01T15:57:06+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.0,1.0,0,,0,738,1.1086,88.8119,95.0114,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),12,0
other__1,other,Thermocouple,745,745,2020-03-01T15:44:06+00:00,2020-03-01T15:57:06+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.0,1.0,0,,0,421,0.0133,22.1937,22.2819,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),12,3
other__1,other,Voltage,745,745,2020-03-01T15:44:06+00:00,2020-03-01T15:57:06+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.0,1.0,0,,0,742,6.448,203.973,254.511,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),12,0
other__1,other,Volume Flow RateRMS,745,745,2020-03-01T15:44:06+00:00,2020-03-01T15:57:06+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.0,1.0,0,,0,38,0.9405,73.0202,77.9806,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),12,3
other__10,other,Accelerometer1RMS,1327,1327,2020-02-08T17:47:44+00:00,2020-02-08T18:11:02+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1293,0.0043,0.2174,0.2502,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),22,0
other__10,other,Accelerometer2RMS,1327,1327,2020-02-08T17:47:44+00:00,2020-02-08T18:11:02+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1273,0.003,0.2708,0.2985,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),22,1
other__10,other,Current,1327,1327,2020-02-08T17:47:44+00:00,2020-02-08T18:11:02+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1321,0.264,0.914,3.2963,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),22,0
other__10,other,Pressure,1327,1327,2020-02-08T17:47:44+00:00,2020-02-08T18:11:02+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,7,0.0,-0.9291,1.0385,False,True,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),22,0
other__10,other,Temperature,1327,1327,2020-02-08T17:47:44+00:00,2020-02-08T18:11:02+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1269,0.2834,84.9181,87.0125,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),22,0
other__10,other,Thermocouple,1327,1327,2020-02-08T17:47:44+00:00,2020-02-08T18:11:02+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1094,0.6617,28.8191,32.0773,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),22,2
other__10,other,Voltage,1327,1327,2020-02-08T17:47:44+00:00,2020-02-08T18:11:02+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1295,6.194,201.113,250.821,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),22,1
other__10,other,Volume Flow RateRMS,1327,1327,2020-02-08T17:47:44+00:00,2020-02-08T18:11:02+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,80,1.372,125.314,133.688,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),22,2
other__11,other,Accelerometer1RMS,1190,1190,2020-02-08T18:10:42+00:00,2020-02-08T18:31:36+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1145,0.0026,0.2268,0.2575,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,0
other__11,other,Accelerometer2RMS,1190,1190,2020-02-08T18:10:42+00:00,2020-02-08T18:31:36+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1161,0.0058,0.2773,0.3091,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,1
other__11,other,Current,1190,1190,2020-02-08T18:10:42+00:00,2020-02-08T18:31:36+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1188,0.271,0.9205,3.2833,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,0
other__11,other,Pressure,1190,1190,2020-02-08T18:10:42+00:00,2020-02-08T18:31:36+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,6,0.0,-1.257,0.7106,False,True,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,1
other__11,other,Temperature,1190,1190,2020-02-08T18:10:42+00:00,2020-02-08T18:31:36+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1124,0.2499,84.3117,85.9658,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,0
other__11,other,Thermocouple,1190,1190,2020-02-08T18:10:42+00:00,2020-02-08T18:31:36+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,990,0.3785,29.8406,31.4336,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,3
other__11,other,Voltage,1190,1190,2020-02-08T18:10:42+00:00,2020-02-08T18:31:36+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1174,5.857,200.925,251.511,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,0
other__11,other,Volume Flow RateRMS,1190,1190,2020-02-08T18:10:42+00:00,2020-02-08T18:31:36+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,68,0.688,123.312,130.69,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,3
other__12,other,Accelerometer1RMS,1048,1048,2020-02-08T18:34:51+00:00,2020-02-08T18:54:54+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1028,0.004,0.2356,0.2705,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,5
other__12,other,Accelerometer2RMS,1048,1048,2020-02-08T18:34:51+00:00,2020-02-08T18:54:54+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1029,0.004,0.2784,0.3138,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,5
other__12,other,Current,1048,1048,2020-02-08T18:34:51+00:00,2020-02-08T18:54:54+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1043,0.2731,0.8469,3.2332,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,4
other__12,other,Pressure,1048,1048,2020-02-08T18:34:51+00:00,2020-02-08T18:54:54+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,7,0.0,-0.6011,1.3664,False,True,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,2
other__12,other,Temperature,1048,1048,2020-02-08T18:34:51+00:00,2020-02-08T18:54:54+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1015,0.2696,84.242,86.1715,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,4
other__12,other,Thermocouple,1048,1048,2020-02-08T18:34:51+00:00,2020-02-08T18:54:54+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,821,0.121,28.9644,29.6937,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,5
other__12,other,Voltage,1048,1048,2020-02-08T18:34:51+00:00,2020-02-08T18:54:54+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1032,6.0975,200.968,251.492,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,4
other__12,other,Volume Flow RateRMS,1048,1048,2020-02-08T18:34:51+00:00,2020-02-08T18:54:54+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,245,1.6905,0.5562,128.383,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,1
other__13,other,Accelerometer1RMS,923,923,2020-02-08T18:47:32+00:00,2020-02-08T19:06:26+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,900,0.003,0.2363,0.2705,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),17,3
other__13,other,Accelerometer2RMS,923,923,2020-02-08T18:47:32+00:00,2020-02-08T19:06:26+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,907,0.0043,0.2784,0.3127,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),17,3
other__13,other,Current,923,923,2020-02-08T18:47:32+00:00,2020-02-08T19:06:26+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,922,0.2836,0.894,3.2846,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),17,3
other__13,other,Pressure,923,923,2020-02-08T18:47:32+00:00,2020-02-08T19:06:26+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,7,0.0,-0.6011,1.3664,False,True,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),17,3
other__13,other,Temperature,923,923,2020-02-08T18:47:32+00:00,2020-02-08T19:06:26+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,892,0.2297,84.9816,86.4466,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),17,3
other__13,other,Thermocouple,923,923,2020-02-08T18:47:32+00:00,2020-02-08T19:06:26+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,692,0.1019,28.8126,29.401,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),17,3
other__13,other,Voltage,923,923,2020-02-08T18:47:32+00:00,2020-02-08T19:06:26+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,906,6.44,201.719,251.344,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),17,3
other__13,other,Volume Flow RateRMS,923,923,2020-02-08T18:47:32+00:00,2020-02-08T19:06:26+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,241,1.615,0.5555,127.692,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),17,7
other__14,other,Accelerometer1RMS,905,905,2020-02-08T19:16:28+00:00,2020-02-08T19:32:19+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,854,0.0021,0.0158,0.2569,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),14,1
other__14,other,Accelerometer2RMS,905,905,2020-02-08T19:16:28+00:00,2020-02-08T19:32:19+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,876,0.0044,0.0155,0.3065,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),14,1
other__14,other,Current,905,905,2020-02-08T19:16:28+00:00,2020-02-08T19:32:19+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,904,0.3067,0.1498,3.3184,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),14,0
other__14,other,Pressure,905,905,2020-02-08T19:16:28+00:00,2020-02-08T19:32:19+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,5,0.0,-0.6011,0.7106,False,True,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),14,2
other__14,other,Temperature,905,905,2020-02-08T19:16:28+00:00,2020-02-08T19:32:19+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,874,0.2362,85.561,86.9628,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),14,2
other__14,other,Thermocouple,905,905,2020-02-08T19:16:28+00:00,2020-02-08T19:32:19+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,633,0.0351,28.6886,33.4151,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),14,2
other__14,other,Voltage,905,905,2020-02-08T19:16:28+00:00,2020-02-08T19:32:19+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,888,5.945,201.967,251.54,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),14,0
other__14,other,Volume Flow RateRMS,905,905,2020-02-08T19:16:28+00:00,2020-02-08T19:32:19+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,60,0.695,2.7677,131.39,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),14,2
other__2,other,Accelerometer1RMS,780,780,2020-03-01T16:28:16+00:00,2020-03-01T16:45:59+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.1,0.7676,1,247.0,0,772,0.0005,0.0757,0.0825,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),13,1
other__2,other,Accelerometer2RMS,780,780,2020-03-01T16:28:16+00:00,2020-03-01T16:45:59+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.1,0.7676,1,247.0,0,750,0.0019,0.1255,0.1381,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),13,1
other__2,other,Current,780,780,2020-03-01T16:28:16+00:00,2020-03-01T16:45:59+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.1,0.7676,1,247.0,0,778,0.2772,0.5899,2.3487,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),13,1
other__2,other,Pressure,780,780,2020-03-01T16:28:16+00:00,2020-03-01T16:45:59+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.1,0.7676,1,247.0,0,7,0.0,-1.257,0.7106,False,True,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),13,0
other__2,other,Temperature,780,780,2020-03-01T16:28:16+00:00,2020-03-01T16:45:59+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.1,0.7676,1,247.0,0,769,0.5191,86.5534,89.151,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),13,1
other__2,other,Thermocouple,780,780,2020-03-01T16:28:16+00:00,2020-03-01T16:45:59+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.1,0.7676,1,247.0,0,438,0.0162,22.067,22.151,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),13,1
other__2,other,Voltage,780,780,2020-03-01T16:28:16+00:00,2020-03-01T16:45:59+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.1,0.7676,1,247.0,0,771,6.229,204.303,254.128,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),13,1
other__2,other,Volume Flow RateRMS,780,780,2020-03-01T16:28:16+00:00,2020-03-01T16:45:59+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.1,0.7676,1,247.0,0,42,1.0187,73.0,78.0,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),13,1
other__3,other,Accelerometer1RMS,1137,1137,2020-03-01T16:43:54+00:00,2020-03-01T17:03:52+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1107,0.0005,0.0792,0.0831,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),18,1
other__3,other,Accelerometer2RMS,1137,1137,2020-03-01T16:43:54+00:00,2020-03-01T17:03:52+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1066,0.002,0.1252,0.1388,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),18,2
other__3,other,Current,1137,1137,2020-03-01T16:43:54+00:00,2020-03-01T17:03:52+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1130,0.2631,0.5982,2.3285,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),18,1
other__3,other,Pressure,1137,1137,2020-03-01T16:43:54+00:00,2020-03-01T17:03:52+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,5,0.0,-0.6011,0.7106,False,True,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),18,2
other__3,other,Temperature,1137,1137,2020-03-01T16:43:54+00:00,2020-03-01T17:03:52+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1107,0.5974,85.2802,88.9935,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),18,1
other__3,other,Thermocouple,1137,1137,2020-03-01T16:43:54+00:00,2020-03-01T17:03:52+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,505,0.0126,22.078,22.1556,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),18,1
other__3,other,Voltage,1137,1137,2020-03-01T16:43:54+00:00,2020-03-01T17:03:52+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1115,6.484,203.887,254.611,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),18,1
other__3,other,Volume Flow RateRMS,1137,1137,2020-03-01T16:43:54+00:00,2020-03-01T17:03:52+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,46,0.9799,74.0,78.0,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),18,4
other__4,other,Accelerometer1RMS,1191,1191,2020-03-01T16:59:53+00:00,2020-03-01T17:20:49+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1162,0.0005,0.0799,0.0833,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,0
other__4,other,Accelerometer2RMS,1191,1191,2020-03-01T16:59:53+00:00,2020-03-01T17:20:49+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1124,0.0021,0.1267,0.1416,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,0
other__4,other,Current,1191,1191,2020-03-01T16:59:53+00:00,2020-03-01T17:20:49+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1183,0.2703,0.6015,2.3479,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,0
other__4,other,Pressure,1191,1191,2020-03-01T16:59:53+00:00,2020-03-01T17:20:49+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,5,0.0,-0.6011,0.7106,False,True,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,1
other__4,other,Temperature,1191,1191,2020-03-01T16:59:53+00:00,2020-03-01T17:20:49+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1164,0.5623,85.2802,88.133,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,1
other__4,other,Thermocouple,1191,1191,2020-03-01T16:59:53+00:00,2020-03-01T17:20:49+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,565,0.012,22.0209,22.153,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,3
other__4,other,Voltage,1191,1191,2020-03-01T16:59:53+00:00,2020-03-01T17:20:49+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,1174,6.472,203.884,254.33,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,1
other__4,other,Volume Flow RateRMS,1191,1191,2020-03-01T16:59:53+00:00,2020-03-01T17:20:49+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,73,1.0,70.0214,78.0,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,3
other__5,other,Accelerometer1RMS,1155,1155,2020-02-08T16:06:48+00:00,2020-02-08T16:26:56+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.0,1.0,0,,0,1137,0.0063,0.1882,0.7227,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),19,1
