tool,experiment,tag,window_index,score
screen,anomaly-free__anomaly-free,Accelerometer1RMS,88,11.6529
screen,anomaly-free__anomaly-free,Accelerometer1RMS,89,10.7556
screen,anomaly-free__anomaly-free,Accelerometer1RMS,90,12.5808
screen,anomaly-free__anomaly-free,Accelerometer1RMS,91,11.9866
screen,anomaly-free__anomaly-free,Accelerometer1RMS,92,11.7544
screen,anomaly-free__anomaly-free,Accelerometer1RMS,93,9.4688
screen,anomaly-free__anomaly-free,Accelerometer1RMS,94,9.372
screen,anomaly-free__anomaly-free,Accelerometer1RMS,95,8.2749
screen,anomaly-free__anomaly-free,Accelerometer1RMS,96,8.3528
screen,anomaly-free__anomaly-free,Accelerometer1RMS,97,8.463
screen,anomaly-free__anomaly-free,Accelerometer1RMS,98,8.855
screen,anomaly-free__anomaly-free,Accelerometer1RMS,99,9.4208
screen,anomaly-free__anomaly-free,Accelerometer1RMS,100,9.7931
screen,anomaly-free__anomaly-free,Accelerometer1RMS,101,9.4594
screen,anomaly-free__anomaly-free,Accelerometer1RMS,102,9.2225
screen,anomaly-free__anomaly-free,Accelerometer1RMS,103,9.5625
screen,anomaly-free__anomaly-free,Accelerometer1RMS,104,11.6749
screen,anomaly-free__anomaly-free,Accelerometer1RMS,105,11.5915
screen,anomaly-free__anomaly-free,Accelerometer1RMS,106,11.4734
screen,anomaly-free__anomaly-free,Accelerometer1RMS,107,12.7697
screen,anomaly-free__anomaly-free,Accelerometer1RMS,108,14.3721
screen,anomaly-free__anomaly-free,Accelerometer1RMS,109,14.0053
screen,anomaly-free__anomaly-free,Accelerometer1RMS,110,13.8605
screen,anomaly-free__anomaly-free,Accelerometer1RMS,111,13.2569
screen,anomaly-free__anomaly-free,Accelerometer1RMS,112,12.9885
screen,anomaly-free__anomaly-free,Accelerometer1RMS,113,12.0488
screen,anomaly-free__anomaly-free,Accelerometer1RMS,114,13.1726
screen,anomaly-free__anomaly-free,Accelerometer1RMS,115,13.234
screen,anomaly-free__anomaly-free,Accelerometer1RMS,116,14.9199
screen,anomaly-free__anomaly-free,Accelerometer1RMS,117,14.0588
screen,anomaly-free__anomaly-free,Accelerometer1RMS,118,13.3434
screen,anomaly-free__anomaly-free,Accelerometer1RMS,119,15.1009
screen,anomaly-free__anomaly-free,Accelerometer1RMS,120,14.7121
screen,anomaly-free__anomaly-free,Accelerometer1RMS,121,14.679
screen,anomaly-free__anomaly-free,Accelerometer1RMS,122,14.0793
screen,anomaly-free__anomaly-free,Accelerometer1RMS,123,13.4583
screen,anomaly-free__anomaly-free,Accelerometer1RMS,124,14.0557
screen,anomaly-free__anomaly-free,Accelerometer1RMS,125,14.7609
screen,anomaly-free__anomaly-free,Accelerometer1RMS,126,11.7339
screen,anomaly-free__anomaly-free,Accelerometer1RMS,127,13.1034
screen,anomaly-free__anomaly-free,Accelerometer1RMS,128,13.9306
screen,anomaly-free__anomaly-free,Accelerometer1RMS,129,13.8574
screen,anomaly-free__anomaly-free,Accelerometer1RMS,130,13.456
screen,anomaly-free__anomaly-free,Accelerometer1RMS,131,13.2246
screen,anomaly-free__anomaly-free,Accelerometer1RMS,132,10.6644
screen,anomaly-free__anomaly-free,Accelerometer1RMS,133,10.6683
screen,anomaly-free__anomaly-free,Accelerometer1RMS,134,9.7412
screen,anomaly-free__anomaly-free,Accelerometer1RMS,135,10.3133
screen,anomaly-free__anomaly-free,Accelerometer1RMS,136,7.9286
screen,anomaly-free__anomaly-free,Accelerometer1RMS,137,10.0221
screen,anomaly-free__anomaly-free,Accelerometer1RMS,138,12.8948
screen,anomaly-free__anomaly-free,Accelerometer1RMS,139,12.3392
screen,anomaly-free__anomaly-free,Accelerometer1RMS,140,12.1393
screen,anomaly-free__anomaly-free,Accelerometer1RMS,141,10.0339
screen,anomaly-free__anomaly-free,Accelerometer1RMS,142,6.8047
screen,anomaly-free__anomaly-free,Accelerometer1RMS,143,6.39
screen,anomaly-free__anomaly-free,Accelerometer1RMS,144,8.1868
screen,anomaly-free__anomaly-free,Accelerometer1RMS,145,9.2792
screen,anomaly-free__anomaly-free,Accelerometer1RMS,146,9.6113
screen,anomaly-free__anomaly-free,Accelerometer1RMS,147,7.9869
screen,anomaly-free__anomaly-free,Accelerometer1RMS,148,8.5795
screen,anomaly-free__anomaly-free,Accelerometer1RMS,149,9.6176
screen,anomaly-free__anomaly-free,Accelerometer1RMS,150,9.2658
screen,anomaly-free__anomaly-free,Accelerometer1RMS,151,9.4751
screen,anomaly-free__anomaly-free,Accelerometer1RMS,152,12.8295
screen,anomaly-free__anomaly-free,Accelerometer1RMS,153,12.9452
screen,anomaly-free__anomaly-free,Accelerometer1RMS,154,15.858
screen,anomaly-free__anomaly-free,Accelerometer1RMS,155,12.7272
screen,anomaly-free__anomaly-free,Accelerometer1RMS,156,13.1616
screen,anomaly-free__anomaly-free,Accelerometer1RMS,157,13.1719
screen,anomaly-free__anomaly-free,Accelerometer1RMS,158,18.0838
screen,anomaly-free__anomaly-free,Accelerometer1RMS,159,18.1333
screen,anomaly-free__anomaly-free,Accelerometer1RMS,160,13.0231
screen,anomaly-free__anomaly-free,Accelerometer1RMS,161,14.2288
screen,anomaly-free__anomaly-free,Accelerometer1RMS,162,14.1997
screen,anomaly-free__anomaly-free,Accelerometer1RMS,163,17.5446
screen,anomaly-free__anomaly-free,Accelerometer1RMS,164,16.4514
screen,anomaly-free__anomaly-free,Accelerometer1RMS,165,19.1022
screen,anomaly-free__anomaly-free,Accelerometer1RMS,166,12.9932
screen,anomaly-free__anomaly-free,Accelerometer2RMS,0,2.4049
screen,anomaly-free__anomaly-free,Accelerometer2RMS,1,2.3501
screen,anomaly-free__anomaly-free,Accelerometer2RMS,2,2.2534
screen,anomaly-free__anomaly-free,Accelerometer2RMS,3,2.0988
screen,anomaly-free__anomaly-free,Accelerometer2RMS,4,2.4498
screen,anomaly-free__anomaly-free,Accelerometer2RMS,5,2.6492
screen,anomaly-free__anomaly-free,Accelerometer2RMS,6,2.6074
screen,anomaly-free__anomaly-free,Accelerometer2RMS,7,3.31
screen,anomaly-free__anomaly-free,Accelerometer2RMS,8,3.5361
screen,anomaly-free__anomaly-free,Accelerometer2RMS,9,3.7333
screen,anomaly-free__anomaly-free,Accelerometer2RMS,10,3.9229
screen,anomaly-free__anomaly-free,Accelerometer2RMS,11,5.083
screen,anomaly-free__anomaly-free,Accelerometer2RMS,12,4.2289
screen,anomaly-free__anomaly-free,Accelerometer2RMS,13,4.6278
screen,anomaly-free__anomaly-free,Accelerometer2RMS,14,4.0119
screen,anomaly-free__anomaly-free,Accelerometer2RMS,15,4.034
screen,anomaly-free__anomaly-free,Accelerometer2RMS,16,4.5334
screen,anomaly-free__anomaly-free,Accelerometer2RMS,17,4.2708
screen,anomaly-free__anomaly-free,Accelerometer2RMS,18,6.4678
screen,anomaly-free__anomaly-free,Accelerometer2RMS,19,3.8711
screen,anomaly-free__anomaly-free,Accelerometer2RMS,20,5.2581
screen,anomaly-free__anomaly-free,Accelerometer2RMS,21,5.4195
screen,anomaly-free__anomaly-free,Accelerometer2RMS,22,4.6445
screen,anomaly-free__anomaly-free,Accelerometer2RMS,23,4.3362
screen,anomaly-free__anomaly-free,Accelerometer2RMS,24,5.1325
screen,anomaly-free__anomaly-free,Accelerometer2RMS,25,5.2612
screen,anomaly-free__anomaly-free,Accelerometer2RMS,26,4.7945
screen,anomaly-free__anomaly-free,Accelerometer2RMS,27,4.7542
screen,anomaly-free__anomaly-free,Accelerometer2RMS,28,4.5935
screen,anomaly-free__anomaly-free,Accelerometer2RMS,29,5.6806
screen,anomaly-free__anomaly-free,Accelerometer2RMS,30,4.7382
screen,anomaly-free__anomaly-free,Accelerometer2RMS,31,4.4679
screen,anomaly-free__anomaly-free,Accelerometer2RMS,32,4.978
screen,anomaly-free__anomaly-free,Accelerometer2RMS,33,5.5063
screen,anomaly-free__anomaly-free,Accelerometer2RMS,34,5.0298
screen,anomaly-free__anomaly-free,Accelerometer2RMS,35,6.1793
screen,anomaly-free__anomaly-free,Accelerometer2RMS,36,4.9635
screen,anomaly-free__anomaly-free,Accelerometer2RMS,37,5.3015
screen,anomaly-free__anomaly-free,Accelerometer2RMS,38,5.3464
screen,anomaly-free__anomaly-free,Accelerometer2RMS,39,5.8375
screen,anomaly-free__anomaly-free,Accelerometer2RMS,40,5.9547
screen,anomaly-free__anomaly-free,Accelerometer2RMS,41,6.6071
screen,anomaly-free__anomaly-free,Accelerometer2RMS,42,6.6269
screen,anomaly-free__anomaly-free,Accelerometer2RMS,43,6.9489
screen,anomaly-free__anomaly-free,Accelerometer2RMS,44,7.851
screen,anomaly-free__anomaly-free,Accelerometer2RMS,45,8.1091
screen,anomaly-free__anomaly-free,Accelerometer2RMS,46,8.2591
screen,anomaly-free__anomaly-free,Accelerometer2RMS,47,8.3542
screen,anomaly-free__anomaly-free,Accelerometer2RMS,48,8.607
screen,anomaly-free__anomaly-free,Accelerometer2RMS,49,9.3835
screen,anomaly-free__anomaly-free,Accelerometer2RMS,50,9.4688
screen,anomaly-free__anomaly-free,Accelerometer2RMS,51,9.0874
screen,anomaly-free__anomaly-free,Accelerometer2RMS,52,8.993
screen,anomaly-free__anomaly-free,Accelerometer2RMS,53,9.369
screen,anomaly-free__anomaly-free,Accelerometer2RMS,54,9.9727
screen,anomaly-free__anomaly-free,Accelerometer2RMS,55,9.7641
screen,anomaly-free__anomaly-free,Accelerometer2RMS,56,9.7573
screen,anomaly-free__anomaly-free,Accelerometer2RMS,57,9.7755
screen,anomaly-free__anomaly-free,Accelerometer2RMS,58,9.216
screen,anomaly-free__anomaly-free,Accelerometer2RMS,59,9.8547
screen,anomaly-free__anomaly-free,Accelerometer2RMS,60,9.4665
screen,anomaly-free__anomaly-free,Accelerometer2RMS,61,9.3873
screen,anomaly-free__anomaly-free,Accelerometer2RMS,62,9.3744
screen,anomaly-free__anomaly-free,Accelerometer2RMS,63,9.2031
screen,anomaly-free__anomaly-free,Accelerometer2RMS,64,9.2381
screen,anomaly-free__anomaly-free,Accelerometer2RMS,65,8.9282
screen,anomaly-free__anomaly-free,Accelerometer2RMS,66,9.4025
screen,anomaly-free__anomaly-free,Accelerometer2RMS,67,8.8437
screen,anomaly-free__anomaly-free,Accelerometer2RMS,68,9.3797
screen,anomaly-free__anomaly-free,Accelerometer2RMS,69,9.2876
screen,anomaly-free__anomaly-free,Accelerometer2RMS,70,9.5418
screen,anomaly-free__anomaly-free,Accelerometer2RMS,71,9.2868
screen,anomaly-free__anomaly-free,Accelerometer2RMS,72,9.707
screen,anomaly-free__anomaly-free,Accelerometer2RMS,73,10.2178
screen,anomaly-free__anomaly-free,Accelerometer2RMS,74,9.9849
screen,anomaly-free__anomaly-free,Accelerometer2RMS,75,9.994
screen,anomaly-free__anomaly-free,Accelerometer2RMS,76,9.758
screen,anomaly-free__anomaly-free,Accelerometer2RMS,77,9.7915
screen,anomaly-free__anomaly-free,Accelerometer2RMS,78,9.7367
screen,anomaly-free__anomaly-free,Accelerometer2RMS,79,9.8715
screen,anomaly-free__anomaly-free,Accelerometer2RMS,80,10.2559
screen,anomaly-free__anomaly-free,Accelerometer2RMS,81,10.6244
screen,anomaly-free__anomaly-free,Accelerometer2RMS,82,10.9296
screen,anomaly-free__anomaly-free,Accelerometer2RMS,83,9.7542
screen,anomaly-free__anomaly-free,Accelerometer2RMS,84,9.9803
screen,anomaly-free__anomaly-free,Accelerometer2RMS,85,11.1352
screen,anomaly-free__anomaly-free,Accelerometer2RMS,86,10.2072
screen,anomaly-free__anomaly-free,Accelerometer2RMS,87,10.3526
screen,anomaly-free__anomaly-free,Accelerometer2RMS,88,11.1748
screen,anomaly-free__anomaly-free,Accelerometer2RMS,89,10.2468
screen,anomaly-free__anomaly-free,Accelerometer2RMS,90,10.5665
screen,anomaly-free__anomaly-free,Accelerometer2RMS,91,10.6876
screen,anomaly-free__anomaly-free,Accelerometer2RMS,92,11.2014
screen,anomaly-free__anomaly-free,Accelerometer2RMS,93,11.1314
screen,anomaly-free__anomaly-free,Accelerometer2RMS,94,11.0058
screen,anomaly-free__anomaly-free,Accelerometer2RMS,95,10.4257
screen,anomaly-free__anomaly-free,Accelerometer2RMS,96,10.2041
screen,anomaly-free__anomaly-free,Accelerometer2RMS,97,10.0123
screen,anomaly-free__anomaly-free,Accelerometer2RMS,98,10.9274
screen,anomaly-free__anomaly-free,Accelerometer2RMS,99,10.8155
screen,anomaly-free__anomaly-free,Accelerometer2RMS,100,12.2314
screen,anomaly-free__anomaly-free,Accelerometer2RMS,101,10.5201
screen,anomaly-free__anomaly-free,Accelerometer2RMS,102,10.5269
screen,anomaly-free__anomaly-free,Accelerometer2RMS,103,10.6015
screen,anomaly-free__anomaly-free,Accelerometer2RMS,104,10.5224
screen,anomaly-free__anomaly-free,Accelerometer2RMS,105,9.8547
screen,anomaly-free__anomaly-free,Accelerometer2RMS,106,10.8314
screen,anomaly-free__anomaly-free,Accelerometer2RMS,107,10.8581
screen,anomaly-free__anomaly-free,Accelerometer2RMS,108,8.0162
screen,anomaly-free__anomaly-free,Accelerometer2RMS,109,8.8201
screen,anomaly-free__anomaly-free,Accelerometer2RMS,110,9.4695
screen,anomaly-free__anomaly-free,Accelerometer2RMS,111,9.8699
screen,anomaly-free__anomaly-free,Accelerometer2RMS,112,8.8673
screen,anomaly-free__anomaly-free,Accelerometer2RMS,113,8.4867
screen,anomaly-free__anomaly-free,Accelerometer2RMS,114,9.7413
screen,anomaly-free__anomaly-free,Accelerometer2RMS,115,9.5357
screen,anomaly-free__anomaly-free,Accelerometer2RMS,116,8.9313
screen,anomaly-free__anomaly-free,Accelerometer2RMS,117,9.6408
screen,anomaly-free__anomaly-free,Accelerometer2RMS,118,9.5418
screen,anomaly-free__anomaly-free,Accelerometer2RMS,119,9.3987
screen,anomaly-free__anomaly-free,Accelerometer2RMS,120,8.406
screen,anomaly-free__anomaly-free,Accelerometer2RMS,121,12.1896
screen,anomaly-free__anomaly-free,Accelerometer2RMS,122,11.5135
screen,anomaly-free__anomaly-free,Accelerometer2RMS,123,10.7721
screen,anomaly-free__anomaly-free,Accelerometer2RMS,124,10.7949
screen,anomaly-free__anomaly-free,Accelerometer2RMS,125,11.3826
screen,anomaly-free__anomaly-free,Accelerometer2RMS,126,11.3407
screen,anomaly-free__anomaly-free,Accelerometer2RMS,127,11.8744
screen,anomaly-free__anomaly-free,Accelerometer2RMS,128,11.193
screen,anomaly-free__anomaly-free,Accelerometer2RMS,129,11.0256
screen,anomaly-free__anomaly-free,Accelerometer2RMS,130,11.1679
screen,anomaly-free__anomaly-free,Accelerometer2RMS,131,11.2159
screen,anomaly-free__anomaly-free,Accelerometer2RMS,132,11.6285
screen,anomaly-free__anomaly-free,Accelerometer2RMS,133,13.5682
screen,anomaly-free__anomaly-free,Accelerometer2RMS,134,12.1309
screen,anomaly-free__anomaly-free,Accelerometer2RMS,135,13.0757
screen,anomaly-free__anomaly-free,Accelerometer2RMS,136,12.9501
screen,anomaly-free__anomaly-free,Accelerometer2RMS,137,13.3497
screen,anomaly-free__anomaly-free,Accelerometer2RMS,138,12.3639
screen,anomaly-free__anomaly-free,Accelerometer2RMS,139,12.3532
screen,anomaly-free__anomaly-free,Accelerometer2RMS,140,11.6323
screen,anomaly-free__anomaly-free,Accelerometer2RMS,141,21.9034
screen,anomaly-free__anomaly-free,Accelerometer2RMS,142,11.8523
screen,anomaly-free__anomaly-free,Accelerometer2RMS,143,11.9201
screen,anomaly-free__anomaly-free,Accelerometer2RMS,144,11.5189
screen,anomaly-free__anomaly-free,Accelerometer2RMS,145,12.1827
screen,anomaly-free__anomaly-free,Accelerometer2RMS,146,12.491
screen,anomaly-free__anomaly-free,Accelerometer2RMS,147,11.5052
screen,anomaly-free__anomaly-free,Accelerometer2RMS,148,11.7754
screen,anomaly-free__anomaly-free,Accelerometer2RMS,149,12.0388
screen,anomaly-free__anomaly-free,Accelerometer2RMS,150,11.2555
screen,anomaly-free__anomaly-free,Accelerometer2RMS,151,11.2905
screen,anomaly-free__anomaly-free,Accelerometer2RMS,152,9.6134
screen,anomaly-free__anomaly-free,Accelerometer2RMS,153,8.8734
screen,anomaly-free__anomaly-free,Accelerometer2RMS,154,9.3858
screen,anomaly-free__anomaly-free,Accelerometer2RMS,155,9.9697
screen,anomaly-free__anomaly-free,Accelerometer2RMS,156,8.9229
screen,anomaly-free__anomaly-free,Accelerometer2RMS,157,9.2708
screen,anomaly-free__anomaly-free,Accelerometer2RMS,158,8.5697
screen,anomaly-free__anomaly-free,Accelerometer2RMS,159,7.1766
screen,anomaly-free__anomaly-free,Accelerometer2RMS,160,5.6281
screen,anomaly-free__anomaly-free,Accelerometer2RMS,161,5.8542
screen,anomaly-free__anomaly-free,Accelerometer2RMS,162,20.9465
screen,anomaly-free__anomaly-free,Accelerometer2RMS,163,5.4035
screen,anomaly-free__anomaly-free,Accelerometer2RMS,164,5.5634
screen,anomaly-free__anomaly-free,Accelerometer2RMS,165,14.0562
screen,anomaly-free__anomaly-free,Accelerometer2RMS,166,5.1675
screen,anomaly-free__anomaly-free,Current,0,3.0399
screen,anomaly-free__anomaly-free,Current,1,2.8731
screen,anomaly-free__anomaly-free,Current,2,3.3164
screen,anomaly-free__anomaly-free,Current,3,3.2933
screen,anomaly-free__anomaly-free,Current,4,3.3485
screen,anomaly-free__anomaly-free,Current,5,3.4699
screen,anomaly-free__anomaly-free,Current,6,2.1969
screen,anomaly-free__anomaly-free,Current,7,3.3802
screen,anomaly-free__anomaly-free,Current,8,3.5247
screen,anomaly-free__anomaly-free,Current,9,2.9602
screen,anomaly-free__anomaly-free,Current,10,3.3561
screen,anomaly-free__anomaly-free,Current,11,1.934
screen,anomaly-free__anomaly-free,Current,12,3.4086
screen,anomaly-free__anomaly-free,Current,13,3.42
screen,anomaly-free__anomaly-free,Current,14,3.4286
screen,anomaly-free__anomaly-free,Current,15,3.3801
screen,anomaly-free__anomaly-free,Current,16,3.0627
screen,anomaly-free__anomaly-free,Current,17,2.3059
screen,anomaly-free__anomaly-free,Current,18,3.4892
screen,anomaly-free__anomaly-free,Current,19,3.3621
screen,anomaly-free__anomaly-free,Current,20,2.7011
screen,anomaly-free__anomaly-free,Current,21,3.2865
screen,anomaly-free__anomaly-free,Current,22,3.241
screen,anomaly-free__anomaly-free,Current,23,3.4579
screen,anomaly-free__anomaly-free,Current,24,3.4133
screen,anomaly-free__anomaly-free,Current,25,3.3492
screen,anomaly-free__anomaly-free,Current,26,3.4255
screen,anomaly-free__anomaly-free,Current,27,1.8724
screen,anomaly-free__anomaly-free,Current,28,3.4797
screen,anomaly-free__anomaly-free,Current,29,3.3559
screen,anomaly-free__anomaly-free,Current,30,3.4052
screen,anomaly-free__anomaly-free,Current,31,3.3025
screen,anomaly-free__anomaly-free,Current,32,3.4467
screen,anomaly-free__anomaly-free,Current,33,2.7997
screen,anomaly-free__anomaly-free,Current,34,3.4169
screen,anomaly-free__anomaly-free,Current,35,3.3645
screen,anomaly-free__anomaly-free,Current,36,3.5002
screen,anomaly-free__anomaly-free,Current,37,3.3724
screen,anomaly-free__anomaly-free,Current,38,3.371
screen,anomaly-free__anomaly-free,Current,39,3.1195
screen,anomaly-free__anomaly-free,Current,40,3.4577
screen,anomaly-free__anomaly-free,Current,41,1.8509
screen,anomaly-free__anomaly-free,Current,42,2.8782
screen,anomaly-free__anomaly-free,Current,43,3.1695
screen,anomaly-free__anomaly-free,Current,44,2.0707
screen,anomaly-free__anomaly-free,Current,45,3.1557
screen,anomaly-free__anomaly-free,Current,46,3.3952
screen,anomaly-free__anomaly-free,Current,47,3.2441
screen,anomaly-free__anomaly-free,Current,48,2.1412
screen,anomaly-free__anomaly-free,Current,49,3.4176
screen,anomaly-free__anomaly-free,Current,50,3.1827
screen,anomaly-free__anomaly-free,Current,51,2.7821
screen,anomaly-free__anomaly-free,Current,52,3.4754
screen,anomaly-free__anomaly-free,Current,53,3.5726
screen,anomaly-free__anomaly-free,Current,54,2.9049
screen,anomaly-free__anomaly-free,Current,55,2.5092
screen,anomaly-free__anomaly-free,Current,56,3.4925
screen,anomaly-free__anomaly-free,Current,57,3.1182
screen,anomaly-free__anomaly-free,Current,58,3.2598
screen,anomaly-free__anomaly-free,Current,59,3.2266
screen,anomaly-free__anomaly-free,Current,60,3.1863
screen,anomaly-free__anomaly-free,Current,61,2.6607
screen,anomaly-free__anomaly-free,Current,62,3.0231
screen,anomaly-free__anomaly-free,Current,63,1.984
screen,anomaly-free__anomaly-free,Current,64,3.3827
screen,anomaly-free__anomaly-free,Current,65,2.5674
screen,anomaly-free__anomaly-free,Current,66,2.0487
screen,anomaly-free__anomaly-free,Current,67,3.5107
screen,anomaly-free__anomaly-free,Current,68,2.8704
screen,anomaly-free__anomaly-free,Current,69,3.5518
screen,anomaly-free__anomaly-free,Current,70,2.5456
screen,anomaly-free__anomaly-free,Current,71,3.4533
screen,anomaly-free__anomaly-free,Current,72,3.1292
screen,anomaly-free__anomaly-free,Current,73,3.3191
screen,anomaly-free__anomaly-free,Current,74,3.4153
screen,anomaly-free__anomaly-free,Current,75,3.3911
screen,anomaly-free__anomaly-free,Current,76,3.4925
screen,anomaly-free__anomaly-free,Current,77,3.2025
screen,anomaly-free__anomaly-free,Current,78,2.9945
screen,anomaly-free__anomaly-free,Current,79,3.0183
screen,anomaly-free__anomaly-free,Current,80,3.3832
screen,anomaly-free__anomaly-free,Current,81,3.4735
screen,anomaly-free__anomaly-free,Current,82,2.9817
screen,anomaly-free__anomaly-free,Current,83,2.7744
screen,anomaly-free__anomaly-free,Current,84,2.9657
