tool,experiment,folder,group,window_key,window_index,role,label,label_majority,score,refusal
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:63,63,stream,0,0,63.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:64,64,stream,0,0,64.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:65,65,stream,0,0,65.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:66,66,stream,0,0,66.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:67,67,stream,0,0,67.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:68,68,stream,0,0,68.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:69,69,stream,0,0,69.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:70,70,stream,0,0,70.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:71,71,stream,0,0,71.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:72,72,stream,0,0,72.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:73,73,stream,0,0,73.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:74,74,stream,0,0,74.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:75,75,stream,0,0,75.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:76,76,stream,0,0,76.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:77,77,stream,0,0,77.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:78,78,stream,0,0,78.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:79,79,stream,0,0,79.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:80,80,stream,0,0,80.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:81,81,stream,0,0,81.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:82,82,stream,0,0,82.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:83,83,stream,0,0,83.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:84,84,stream,0,0,84.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:85,85,stream,0,0,85.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:86,86,stream,0,0,86.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:87,87,stream,0,0,87.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:88,88,stream,0,0,88.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:89,89,stream,0,0,89.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:90,90,stream,0,0,90.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:91,91,stream,0,0,91.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:92,92,stream,0,0,92.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:93,93,stream,0,0,93.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:94,94,stream,0,0,94.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:95,95,stream,0,0,95.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:96,96,stream,0,0,96.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:97,97,stream,0,0,97.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:98,98,stream,0,0,98.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:99,99,stream,0,0,99.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:100,100,stream,0,0,100.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:101,101,stream,0,0,101.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:102,102,stream,0,0,102.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:103,103,stream,0,0,103.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:104,104,stream,0,0,104.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:105,105,stream,0,0,105.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:106,106,stream,0,0,106.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:107,107,stream,0,0,107.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:108,108,stream,0,0,108.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:109,109,stream,0,0,109.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:110,110,stream,0,0,110.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:111,111,stream,0,0,111.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:112,112,stream,0,0,112.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:113,113,stream,0,0,113.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:114,114,stream,0,0,114.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:115,115,stream,0,0,115.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:116,116,stream,0,0,116.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:117,117,stream,0,0,117.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:118,118,stream,0,0,118.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:119,119,stream,0,0,119.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:120,120,stream,0,0,120.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:121,121,stream,0,0,121.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:122,122,stream,0,0,122.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:123,123,stream,0,0,123.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:124,124,stream,0,0,124.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:125,125,stream,0,0,125.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:126,126,stream,0,0,126.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:127,127,stream,0,0,127.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:128,128,stream,0,0,128.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:129,129,stream,0,0,129.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:130,130,stream,0,0,130.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:131,131,stream,0,0,131.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:132,132,stream,0,0,132.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:133,133,stream,0,0,133.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:134,134,stream,0,0,134.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:135,135,stream,0,0,135.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:136,136,stream,0,0,136.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:137,137,stream,0,0,137.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:138,138,stream,0,0,138.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:139,139,stream,0,0,139.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:140,140,stream,0,0,140.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:141,141,stream,0,0,141.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:142,142,stream,0,0,142.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:143,143,stream,0,0,143.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:144,144,stream,0,0,144.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:145,145,stream,0,0,145.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:146,146,stream,0,0,146.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:147,147,stream,0,0,147.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:148,148,stream,0,0,148.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:149,149,stream,0,0,149.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:150,150,stream,0,0,150.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:151,151,stream,0,0,151.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:152,152,stream,0,0,152.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:153,153,stream,0,0,153.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:154,154,stream,0,0,154.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:155,155,stream,0,0,155.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:156,156,stream,0,0,156.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:157,157,stream,0,0,157.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:158,158,stream,0,0,158.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:159,159,stream,0,0,159.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:160,160,stream,0,0,160.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:161,161,stream,0,0,161.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:162,162,stream,0,0,162.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:163,163,stream,0,0,163.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:164,164,stream,0,0,164.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:165,165,stream,0,0,165.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:166,166,stream,0,0,166.0,
clock,other__1,other,labelled,other__1:0,0,baseline,0,0,0.0,
clock,other__1,other,labelled,other__1:1,1,baseline,0,0,1.0,
clock,other__1,other,labelled,other__1:2,2,baseline,0,0,2.0,
clock,other__1,other,labelled,other__1:3,3,stream,0,0,3.0,
clock,other__1,other,labelled,other__1:4,4,stream,0,0,4.0,
clock,other__1,other,labelled,other__1:5,5,stream,0,0,5.0,
clock,other__1,other,labelled,other__1:6,6,stream,0,0,6.0,
clock,other__1,other,labelled,other__1:7,7,stream,0,0,7.0,
clock,other__1,other,labelled,other__1:8,8,stream,0,0,8.0,
clock,other__1,other,labelled,other__1:9,9,stream,1,0,9.0,
clock,other__1,other,labelled,other__1:10,10,stream,1,1,10.0,
clock,other__1,other,labelled,other__1:11,11,stream,1,1,11.0,
clock,other__1,other,labelled,other__1:12,12,stream,1,1,12.0,
clock,other__1,other,labelled,other__1:13,13,stream,1,1,13.0,
clock,other__10,other,labelled,other__10:0,0,baseline,0,0,0.0,
clock,other__10,other,labelled,other__10:1,1,baseline,0,0,1.0,
clock,other__10,other,labelled,other__10:2,2,baseline,0,0,2.0,
clock,other__10,other,labelled,other__10:3,3,stream,0,0,3.0,
clock,other__10,other,labelled,other__10:4,4,stream,0,0,4.0,
clock,other__10,other,labelled,other__10:5,5,stream,0,0,5.0,
clock,other__10,other,labelled,other__10:6,6,stream,0,0,6.0,
clock,other__10,other,labelled,other__10:7,7,stream,0,0,7.0,
clock,other__10,other,labelled,other__10:8,8,stream,0,0,8.0,
clock,other__10,other,labelled,other__10:9,9,stream,0,0,9.0,
clock,other__10,other,labelled,other__10:10,10,stream,1,1,10.0,
clock,other__10,other,labelled,other__10:11,11,stream,1,1,11.0,
clock,other__10,other,labelled,other__10:12,12,stream,1,1,12.0,
clock,other__10,other,labelled,other__10:13,13,stream,1,1,13.0,
clock,other__10,other,labelled,other__10:14,14,stream,1,1,14.0,
clock,other__10,other,labelled,other__10:15,15,stream,1,1,15.0,
clock,other__10,other,labelled,other__10:16,16,stream,1,1,16.0,
clock,other__10,other,labelled,other__10:17,17,stream,1,1,17.0,
clock,other__10,other,labelled,other__10:18,18,stream,1,1,18.0,
clock,other__10,other,labelled,other__10:19,19,stream,1,1,19.0,
clock,other__10,other,labelled,other__10:20,20,stream,1,0,20.0,
clock,other__10,other,labelled,other__10:21,21,stream,0,0,21.0,
clock,other__10,other,labelled,other__10:22,22,stream,0,0,22.0,
clock,other__10,other,labelled,other__10:23,23,stream,0,0,23.0,
clock,other__11,other,labelled,other__11:0,0,baseline,0,0,0.0,
clock,other__11,other,labelled,other__11:1,1,baseline,0,0,1.0,
clock,other__11,other,labelled,other__11:2,2,baseline,0,0,2.0,
clock,other__11,other,labelled,other__11:3,3,stream,0,0,3.0,
clock,other__11,other,labelled,other__11:4,4,stream,0,0,4.0,
clock,other__11,other,labelled,other__11:5,5,stream,0,0,5.0,
clock,other__11,other,labelled,other__11:6,6,stream,0,0,6.0,
clock,other__11,other,labelled,other__11:7,7,stream,0,0,7.0,
clock,other__11,other,labelled,other__11:8,8,stream,0,0,8.0,
clock,other__11,other,labelled,other__11:9,9,stream,0,0,9.0,
clock,other__11,other,labelled,other__11:10,10,stream,1,1,10.0,
clock,other__11,other,labelled,other__11:11,11,stream,1,1,11.0,
clock,other__11,other,labelled,other__11:12,12,stream,1,1,12.0,
clock,other__11,other,labelled,other__11:13,13,stream,1,1,13.0,
clock,other__11,other,labelled,other__11:14,14,stream,1,1,14.0,
clock,other__11,other,labelled,other__11:15,15,stream,1,1,15.0,
clock,other__11,other,labelled,other__11:16,16,stream,1,1,16.0,
clock,other__11,other,labelled,other__11:17,17,stream,1,1,17.0,
clock,other__11,other,labelled,other__11:18,18,stream,0,0,18.0,
clock,other__11,other,labelled,other__11:19,19,stream,0,0,19.0,
clock,other__11,other,labelled,other__11:20,20,stream,0,0,20.0,
clock,other__12,other,labelled,other__12:0,0,baseline,0,0,0.0,
clock,other__12,other,labelled,other__12:1,1,baseline,0,0,1.0,
clock,other__12,other,labelled,other__12:2,2,baseline,0,0,2.0,
clock,other__12,other,labelled,other__12:3,3,stream,0,0,3.0,
clock,other__12,other,labelled,other__12:4,4,stream,0,0,4.0,
clock,other__12,other,labelled,other__12:5,5,stream,0,0,5.0,
clock,other__12,other,labelled,other__12:6,6,stream,0,0,6.0,
clock,other__12,other,labelled,other__12:7,7,stream,0,0,7.0,
clock,other__12,other,labelled,other__12:8,8,stream,0,0,8.0,
clock,other__12,other,labelled,other__12:9,9,stream,0,0,9.0,
clock,other__12,other,labelled,other__12:10,10,stream,1,1,10.0,
clock,other__12,other,labelled,other__12:11,11,stream,1,1,11.0,
clock,other__12,other,labelled,other__12:12,12,stream,1,1,12.0,
clock,other__12,other,labelled,other__12:13,13,stream,1,1,13.0,
clock,other__12,other,labelled,other__12:14,14,stream,1,1,14.0,
clock,other__12,other,labelled,other__12:15,15,stream,1,1,15.0,
clock,other__12,other,labelled,other__12:16,16,stream,1,1,16.0,
clock,other__12,other,labelled,other__12:17,17,stream,1,0,17.0,
clock,other__12,other,labelled,other__12:18,18,stream,0,0,18.0,
clock,other__12,other,labelled,other__12:19,19,stream,0,0,19.0,
clock,other__12,other,labelled,other__12:20,20,stream,0,0,20.0,
clock,other__13,other,labelled,other__13:0,0,baseline,0,0,0.0,
clock,other__13,other,labelled,other__13:1,1,baseline,0,0,1.0,
clock,other__13,other,labelled,other__13:2,2,baseline,0,0,2.0,
clock,other__13,other,labelled,other__13:3,3,stream,0,0,3.0,
clock,other__13,other,labelled,other__13:4,4,stream,0,0,4.0,
clock,other__13,other,labelled,other__13:5,5,stream,0,0,5.0,
clock,other__13,other,labelled,other__13:6,6,stream,0,0,6.0,
clock,other__13,other,labelled,other__13:7,7,stream,0,0,7.0,
clock,other__13,other,labelled,other__13:8,8,stream,0,0,8.0,
clock,other__13,other,labelled,other__13:9,9,stream,1,0,9.0,
clock,other__13,other,labelled,other__13:10,10,stream,1,1,10.0,
clock,other__13,other,labelled,other__13:11,11,stream,1,1,11.0,
clock,other__13,other,labelled,other__13:12,12,stream,1,1,12.0,
clock,other__13,other,labelled,other__13:13,13,stream,1,1,13.0,
clock,other__13,other,labelled,other__13:14,14,stream,1,1,14.0,
clock,other__13,other,labelled,other__13:15,15,stream,1,1,15.0,
clock,other__13,other,labelled,other__13:16,16,stream,0,0,16.0,
clock,other__13,other,labelled,other__13:17,17,stream,0,0,17.0,
clock,other__13,other,labelled,other__13:18,18,stream,0,0,18.0,
clock,other__14,other,labelled,other__14:0,0,baseline,0,0,0.0,
clock,other__14,other,labelled,other__14:1,1,baseline,0,0,1.0,
clock,other__14,other,labelled,other__14:2,2,baseline,0,0,2.0,
clock,other__14,other,labelled,other__14:3,3,stream,0,0,3.0,
clock,other__14,other,labelled,other__14:4,4,stream,0,0,4.0,
clock,other__14,other,labelled,other__14:5,5,stream,0,0,5.0,
clock,other__14,other,labelled,other__14:6,6,stream,0,0,6.0,
clock,other__14,other,labelled,other__14:7,7,stream,0,0,7.0,
clock,other__14,other,labelled,other__14:8,8,stream,0,0,8.0,
clock,other__14,other,labelled,other__14:9,9,stream,0,0,9.0,
clock,other__14,other,labelled,other__14:10,10,stream,1,1,10.0,
clock,other__14,other,labelled,other__14:11,11,stream,1,1,11.0,
clock,other__14,other,labelled,other__14:12,12,stream,1,1,12.0,
