tool,design,split,fold,window_key,score
clock,own-history,own-history,0,316,0
clock,own-history,own-history,0,320,0
clock,own-history,own-history,0,324,0
clock,own-history,own-history,0,328,0
clock,own-history,own-history,0,334,0
clock,own-history,own-history,0,338,0
clock,own-history,own-history,0,342,0
clock,own-history,own-history,0,346,0
clock,own-history,own-history,0,350,0
clock,own-history,own-history,0,357,0
clock,own-history,own-history,0,358,1
clock,own-history,own-history,0,362,0
clock,own-history,own-history,0,366,0
clock,own-history,own-history,0,370,0
clock,own-history,own-history,0,374,0
clock,own-history,own-history,0,378,0
clock,own-history,own-history,0,382,0
clock,own-history,own-history,0,386,0
clock,own-history,own-history,0,390,0
clock,own-history,own-history,0,394,0
clock,own-history,own-history,0,398,0
clock,own-history,own-history,0,402,0
clock,own-history,own-history,0,406,0
clock,own-history,own-history,0,410,0
clock,own-history,own-history,0,414,0
clock,own-history,own-history,0,418,0
clock,own-history,own-history,0,422,0
clock,own-history,own-history,0,426,0
clock,own-history,own-history,0,430,0
clock,own-history,own-history,0,434,0
clock,own-history,own-history,0,438,0
clock,own-history,own-history,0,442,0
clock,own-history,own-history,0,446,0
clock,own-history,own-history,0,450,0
clock,own-history,own-history,0,579,0
clock,own-history,own-history,0,580,1
clock,own-history,own-history,0,581,2
clock,own-history,own-history,0,591,0
clock,own-history,own-history,0,595,0
clock,own-history,own-history,0,599,0
clock,own-history,own-history,0,603,0
clock,own-history,own-history,0,607,0
clock,own-history,own-history,0,611,0
clock,own-history,own-history,0,615,0
clock,own-history,own-history,0,619,0
clock,own-history,own-history,0,623,0
clock,own-history,own-history,0,627,0
clock,own-history,own-history,0,631,0
clock,own-history,own-history,0,635,0
clock,own-history,own-history,0,639,0
clock,own-history,own-history,0,643,0
clock,own-history,own-history,0,647,0
clock,own-history,own-history,0,651,0
clock,own-history,own-history,0,655,0
clock,own-history,own-history,0,659,0
clock,own-history,own-history,0,663,0
clock,own-history,own-history,0,667,0
clock,own-history,own-history,0,671,0
clock,own-history,own-history,0,675,0
clock,own-history,own-history,0,679,0
clock,own-history,own-history,0,683,0
clock,own-history,own-history,0,687,0
clock,own-history,own-history,0,691,0
clock,own-history,own-history,0,695,0
clock,own-history,own-history,0,699,0
clock,own-history,own-history,0,703,0
clock,own-history,own-history,0,707,0
clock,own-history,own-history,0,711,0
clock,own-history,own-history,0,715,0
clock,own-history,own-history,0,719,0
clock,own-history,own-history,0,723,0
clock,own-history,own-history,0,727,0
clock,own-history,own-history,0,731,0
clock,own-history,own-history,0,735,0
clock,own-history,own-history,0,739,0
clock,own-history,own-history,0,743,0
clock,own-history,own-history,0,747,0
clock,own-history,own-history,0,751,0
clock,own-history,own-history,0,755,0
clock,own-history,own-history,0,759,0
clock,own-history,own-history,0,763,0
clock,own-history,own-history,0,767,0
clock,own-history,own-history,0,771,0
clock,own-history,own-history,0,775,0
clock,own-history,own-history,0,779,0
clock,own-history,own-history,0,783,0
clock,own-history,own-history,0,787,0
clock,own-history,own-history,0,791,0
clock,own-history,own-history,0,795,0
clock,own-history,own-history,0,799,0
clock,own-history,own-history,0,803,0
clock,own-history,own-history,0,807,0
clock,own-history,own-history,0,811,0
clock,own-history,own-history,0,815,0
clock,own-history,own-history,0,819,0
clock,own-history,own-history,0,823,0
clock,own-history,own-history,0,827,0
clock,own-history,own-history,0,831,0
clock,own-history,own-history,0,835,0
clock,own-history,own-history,0,839,0
clock,own-history,own-history,0,843,0
clock,own-history,own-history,0,847,0
clock,own-history,own-history,0,851,0
clock,own-history,own-history,0,855,0
clock,own-history,own-history,0,859,0
clock,own-history,own-history,0,863,0
clock,own-history,own-history,0,867,0
clock,own-history,own-history,0,871,0
clock,own-history,own-history,0,875,0
clock,own-history,own-history,0,879,0
clock,own-history,own-history,0,883,0
clock,own-history,own-history,0,887,0
clock,own-history,own-history,0,891,0
clock,own-history,own-history,0,895,0
clock,own-history,own-history,0,899,0
clock,own-history,own-history,0,903,0
clock,own-history,own-history,0,907,0
clock,own-history,own-history,0,911,0
clock,own-history,own-history,0,915,0
clock,own-history,own-history,0,919,0
clock,own-history,own-history,0,923,0
clock,own-history,own-history,0,927,0
clock,own-history,own-history,0,931,0
clock,own-history,own-history,0,935,0
clock,own-history,own-history,0,939,0
clock,own-history,own-history,0,943,0
clock,own-history,own-history,0,947,0
clock,own-history,own-history,0,951,0
clock,own-history,own-history,0,955,0
clock,own-history,own-history,0,959,0
clock,own-history,own-history,0,963,0
clock,own-history,own-history,0,967,0
clock,own-history,own-history,0,971,0
clock,own-history,own-history,0,975,0
clock,own-history,own-history,0,979,0
clock,own-history,own-history,0,983,0
clock,own-history,own-history,0,987,0
clock,own-history,own-history,0,991,0
clock,own-history,own-history,0,995,0
clock,own-history,own-history,0,999,0
clock,own-history,own-history,0,1003,0
clock,own-history,own-history,0,1007,0
clock,own-history,own-history,0,1011,0
clock,own-history,own-history,0,1015,0
clock,own-history,own-history,0,1019,0
clock,own-history,own-history,0,1023,0
clock,own-history,own-history,0,1027,0
clock,own-history,own-history,0,1031,0
clock,own-history,own-history,0,1035,0
clock,own-history,own-history,0,1039,0
clock,own-history,own-history,0,1046,0
clock,own-history,own-history,0,1050,0
clock,own-history,own-history,0,1054,0
clock,own-history,own-history,0,1058,0
clock,own-history,own-history,0,1062,0
clock,own-history,own-history,0,1066,0
clock,own-history,own-history,0,1070,0
clock,own-history,own-history,0,1074,0
clock,own-history,own-history,0,1078,0
clock,own-history,own-history,0,1082,0
clock,own-history,own-history,0,1086,0
clock,own-history,own-history,0,1090,0
clock,own-history,own-history,0,1094,0
clock,own-history,own-history,0,1104,0
clock,own-history,own-history,0,1108,0
clock,own-history,own-history,0,1112,0
clock,own-history,own-history,0,1116,0
clock,own-history,own-history,0,1120,0
clock,own-history,own-history,0,1124,0
clock,own-history,own-history,0,1128,0
clock,own-history,own-history,0,1132,0
clock,own-history,own-history,0,1136,0
clock,own-history,own-history,0,1140,0
clock,own-history,own-history,0,1144,0
clock,own-history,own-history,0,1148,0
clock,own-history,own-history,0,1152,0
clock,own-history,own-history,0,1156,0
clock,own-history,own-history,0,1160,0
clock,own-history,own-history,0,1164,0
clock,own-history,own-history,0,1168,0
clock,own-history,own-history,0,1172,0
clock,own-history,own-history,0,1176,0
clock,own-history,own-history,0,1180,0
clock,own-history,own-history,0,1184,0
clock,own-history,own-history,0,1188,0
clock,own-history,own-history,0,1192,0
clock,own-history,own-history,0,1196,0
clock,own-history,own-history,0,1200,0
clock,own-history,own-history,0,1204,0
clock,own-history,own-history,0,1208,0
clock,own-history,own-history,0,1212,0
clock,own-history,own-history,0,1216,0
clock,own-history,own-history,0,1220,0
clock,own-history,own-history,0,1224,0
clock,own-history,own-history,0,1228,0
clock,own-history,own-history,0,1232,0
clock,own-history,own-history,0,1236,0
clock,own-history,own-history,0,1240,0
clock,own-history,own-history,0,1244,0
clock,own-history,own-history,0,1248,0
clock,own-history,own-history,0,1252,0
clock,own-history,own-history,0,1256,0
clock,own-history,own-history,0,1260,0
clock,own-history,own-history,0,1264,0
clock,own-history,own-history,0,1268,0
clock,own-history,own-history,0,1272,0
clock,own-history,own-history,0,1276,0
clock,own-history,own-history,0,1280,0
clock,own-history,own-history,0,1284,0
clock,own-history,own-history,0,1288,0
clock,own-history,own-history,0,1292,0
clock,own-history,own-history,0,1296,0
clock,own-history,own-history,0,1300,0
clock,own-history,own-history,0,1304,0
clock,own-history,own-history,0,1308,0
clock,own-history,own-history,0,1312,0
clock,own-history,own-history,0,1316,0
clock,own-history,own-history,0,1320,0
clock,own-history,own-history,0,1324,0
clock,own-history,own-history,0,1328,0
clock,own-history,own-history,0,1332,0
clock,own-history,own-history,0,1336,0
clock,own-history,own-history,0,1340,0
clock,own-history,own-history,0,1344,0
clock,own-history,own-history,0,1348,0
clock,own-history,own-history,0,1352,0
clock,own-history,own-history,0,1356,0
clock,own-history,own-history,0,1360,0
clock,own-history,own-history,0,1364,0
clock,own-history,own-history,0,1368,0
clock,own-history,own-history,0,1372,0
clock,own-history,own-history,0,1376,0
clock,own-history,own-history,0,1380,0
clock,own-history,own-history,0,1384,0
clock,own-history,own-history,0,1388,0
clock,own-history,own-history,0,1392,0
clock,own-history,own-history,0,1396,0
clock,own-history,own-history,0,1400,0
clock,own-history,own-history,0,1404,0
clock,own-history,own-history,0,1408,0
clock,own-history,own-history,0,1415,0
clock,own-history,own-history,0,1419,0
clock,own-history,own-history,0,1423,0
clock,own-history,own-history,0,1427,0
clock,own-history,own-history,0,1431,0
clock,own-history,own-history,0,1435,0
clock,own-history,own-history,0,1439,0
clock,own-history,own-history,0,1443,0
clock,own-history,own-history,0,1447,0
clock,own-history,own-history,0,1451,0
clock,own-history,own-history,0,1455,0
clock,own-history,own-history,0,1459,0
clock,own-history,own-history,0,1463,0
clock,own-history,own-history,0,1467,0
clock,own-history,own-history,0,1471,0
clock,own-history,own-history,0,1475,0
clock,own-history,own-history,0,1479,0
clock,own-history,own-history,0,1483,0
clock,own-history,own-history,0,1487,0
clock,own-history,own-history,0,1491,0
clock,own-history,own-history,0,1495,0
clock,own-history,own-history,0,1499,0
clock,own-history,own-history,0,1560,0
clock,own-history,own-history,0,1564,0
clock,own-history,own-history,0,1568,0
clock,own-history,own-history,0,1572,0
clock,own-history,own-history,0,1576,0
clock,own-history,own-history,0,1580,0
clock,own-history,own-history,0,1584,0
clock,own-history,own-history,0,1588,0
clock,own-history,own-history,0,1592,0
clock,own-history,own-history,0,1596,0
clock,own-history,own-history,0,1600,0
clock,own-history,own-history,0,1604,0
clock,own-history,own-history,0,1608,0
clock,own-history,own-history,0,1612,0
clock,own-history,own-history,0,1616,0
clock,own-history,own-history,0,1620,0
clock,own-history,own-history,0,1624,0
clock,own-history,own-history,0,1628,0
clock,own-history,own-history,0,1632,0
clock,own-history,own-history,0,1792,0
clock,own-history,own-history,0,1796,0
clock,own-history,own-history,0,1800,0
clock,own-history,own-history,0,1804,0
clock,own-history,own-history,0,1808,0
clock,own-history,own-history,0,1812,0
clock,own-history,own-history,0,1816,0
clock,own-history,own-history,0,1820,0
clock,own-history,own-history,0,1824,0
clock,own-history,own-history,0,1828,0
clock,own-history,own-history,0,1832,0
clock,own-history,own-history,0,1836,0
clock,own-history,own-history,0,1840,0
clock,own-history,own-history,0,1844,0
clock,own-history,own-history,0,1848,0
clock,own-history,own-history,0,1852,0
clock,own-history,own-history,0,1856,0
clock,own-history,own-history,0,1860,0
clock,own-history,own-history,0,1864,0
clock,own-history,own-history,0,1868,0
clock,own-history,own-history,0,1872,0
clock,own-history,own-history,0,1876,0
clock,own-history,own-history,0,1880,0
clock,own-history,own-history,0,1884,0
clock,own-history,own-history,0,1888,0
clock,own-history,own-history,0,1892,0
clock,own-history,own-history,0,1896,0
clock,own-history,own-history,0,1900,0
clock,own-history,own-history,0,1904,0
clock,own-history,own-history,0,1908,0
clock,own-history,own-history,0,1912,0
clock,own-history,own-history,0,1916,0
clock,own-history,own-history,0,1920,0
clock,own-history,own-history,0,1924,0
clock,own-history,own-history,0,1928,0
clock,own-history,own-history,0,1932,0
clock,own-history,own-history,0,1936,0
clock,own-history,own-history,0,1940,0
clock,own-history,own-history,0,1944,0
clock,own-history,own-history,0,1948,0
clock,own-history,own-history,0,1952,0
clock,own-history,own-history,0,1956,0
clock,own-history,own-history,0,1960,0
clock,own-history,own-history,0,1964,0
clock,own-history,own-history,0,1968,0
clock,own-history,own-history,0,1972,0
clock,own-history,own-history,0,1976,0
clock,own-history,own-history,0,1980,0
clock,own-history,own-history,0,1984,0
clock,own-history,own-history,0,1988,0
clock,own-history,own-history,0,1992,0
clock,own-history,own-history,0,1993,1
clock,own-history,own-history,0,1994,2
clock,own-history,own-history,0,1995,3
clock,own-history,own-history,0,1996,4
clock,own-history,own-history,0,1997,5
clock,own-history,own-history,0,1998,6
clock,own-history,own-history,0,1999,7
clock,own-history,own-history,0,2000,8
clock,own-history,own-history,0,2001,9
clock,own-history,own-history,0,2002,10
clock,own-history,own-history,0,2003,11
clock,own-history,own-history,0,2004,12
clock,own-history,own-history,0,2005,13
clock,own-history,own-history,0,2006,14
clock,own-history,own-history,0,2007,15
clock,own-history,own-history,0,2008,16
clock,own-history,own-history,0,2009,17
clock,own-history,own-history,0,2010,18
clock,own-history,own-history,0,2011,19
clock,own-history,own-history,0,2012,20
clock,own-history,own-history,0,2013,21
clock,own-history,own-history,0,2014,22
clock,own-history,own-history,0,2018,0
clock,own-history,own-history,0,2022,0
clock,own-history,own-history,0,2026,0
clock,own-history,own-history,0,2030,0
clock,own-history,own-history,0,2034,0
clock,own-history,own-history,0,2038,0
clock,own-history,own-history,0,2042,0
clock,own-history,own-history,0,2046,0
clock,own-history,own-history,0,2050,0
clock,own-history,own-history,0,2054,0
clock,own-history,own-history,0,2058,0
clock,own-history,own-history,0,2062,0
clock,own-history,own-history,0,2066,0
clock,own-history,own-history,0,2070,0
clock,own-history,own-history,0,2074,0
clock,own-history,own-history,0,2078,0
clock,own-history,own-history,0,2082,0
clock,own-history,own-history,0,2086,0
clock,own-history,own-history,0,2090,0
clock,own-history,own-history,0,2094,0
clock,own-history,own-history,0,2098,0
clock,own-history,own-history,0,2102,0
clock,own-history,own-history,0,2106,0
clock,own-history,own-history,0,2110,0
clock,own-history,own-history,0,2114,0
clock,own-history,own-history,0,2118,0
clock,own-history,own-history,0,2122,0
clock,own-history,own-history,0,2126,0
clock,own-history,own-history,0,2130,0
clock,own-history,own-history,0,2134,0
clock,own-history,own-history,0,2138,0
clock,own-history,own-history,0,2142,0
clock,own-history,own-history,0,2146,0
clock,own-history,own-history,0,2150,0
clock,own-history,own-history,0,2154,0
clock,own-history,own-history,0,2158,0
clock,own-history,own-history,0,2162,0
clock,own-history,own-history,0,2166,0
clock,own-history,own-history,0,2170,0
clock,own-history,own-history,0,2174,0
clock,own-history,own-history,0,2178,0
clock,own-history,own-history,0,2182,0
clock,own-history,own-history,0,2186,0
clock,own-history,own-history,0,2190,0
clock,own-history,own-history,0,2194,0
clock,own-history,own-history,0,2198,0
clock,own-history,own-history,0,2202,0
clock,own-history,own-history,0,2206,0
clock,own-history,own-history,0,2210,0
clock,own-history,own-history,0,2214,0
clock,own-history,own-history,0,2218,0
clock,own-history,own-history,0,2222,0
clock,own-history,own-history,0,2226,0
clock,own-history,own-history,0,2230,0
clock,own-history,own-history,0,2234,0
clock,own-history,own-history,0,2238,0
clock,own-history,own-history,0,2242,0
clock,own-history,own-history,0,2246,0
clock,own-history,own-history,0,2250,0
clock,own-history,own-history,0,2254,0
clock,own-history,own-history,0,2258,0
clock,own-history,own-history,0,2262,0
clock,own-history,own-history,0,2266,0
clock,own-history,own-history,0,2270,0
clock,own-history,own-history,0,2271,1
clock,own-history,own-history,0,2272,2
clock,own-history,own-history,0,2273,3
clock,own-history,own-history,0,2274,4
clock,own-history,own-history,0,2275,5
clock,own-history,own-history,0,2276,6
clock,own-history,own-history,0,2277,7
clock,own-history,own-history,0,2278,8
clock,own-history,own-history,0,2279,9
clock,own-history,own-history,0,2280,10
clock,own-history,own-history,0,2284,0
clock,own-history,own-history,0,2285,1
clock,own-history,own-history,0,2286,2
clock,own-history,own-history,0,2287,3
clock,own-history,own-history,0,2288,4
clock,own-history,own-history,0,2289,5
clock,own-history,own-history,0,2290,6
clock,own-history,own-history,0,2291,7
clock,own-history,own-history,0,2292,8
clock,own-history,own-history,0,2293,9
clock,own-history,own-history,0,2294,10
clock,own-history,own-history,0,2295,11
clock,own-history,own-history,0,2296,12
clock,own-history,own-history,0,2297,13
clock,own-history,own-history,0,2298,14
clock,own-history,own-history,0,2299,15
clock,own-history,own-history,0,2300,16
clock,own-history,own-history,0,2301,17
clock,own-history,own-history,0,2302,18
clock,own-history,own-history,0,2303,19
clock,own-history,own-history,0,2304,20
clock,own-history,own-history,0,2305,21
clock,own-history,own-history,0,2306,22
clock,own-history,own-history,0,2307,23
clock,own-history,own-history,0,2308,24
clock,own-history,own-history,0,2309,25
clock,own-history,own-history,0,2310,26
clock,own-history,own-history,0,2311,27
clock,own-history,own-history,0,2312,28
clock,own-history,own-history,0,2313,29
clock,own-history,own-history,0,2314,30
clock,own-history,own-history,0,2315,31
clock,own-history,own-history,0,2319,0
clock,own-history,own-history,0,2320,1
clock,own-history,own-history,0,2321,2
clock,own-history,own-history,0,2322,3
clock,own-history,own-history,0,2323,4
clock,own-history,own-history,0,2324,5
clock,own-history,own-history,0,2325,6
clock,own-history,own-history,0,2326,7
clock,own-history,own-history,0,2327,8
clock,own-history,own-history,0,2328,9
clock,own-history,own-history,0,2329,10
clock,own-history,own-history,0,2330,11
clock,own-history,own-history,0,2331,12
clock,own-history,own-history,0,2332,13
clock,own-history,own-history,0,2333,14
clock,own-history,own-history,0,2334,15
clock,own-history,own-history,0,2335,16
clock,own-history,own-history,0,2336,17
clock,own-history,own-history,0,2337,18
clock,own-history,own-history,0,2338,19
clock,own-history,own-history,0,2339,20
clock,own-history,own-history,0,2340,21
clock,own-history,own-history,0,2341,22
clock,own-history,own-history,0,2342,23
clock,own-history,own-history,0,2343,24
clock,own-history,own-history,0,2344,25
clock,own-history,own-history,0,2345,26
clock,own-history,own-history,0,2346,27
clock,own-history,own-history,0,2362,0
clock,own-history,own-history,0,2366,0
clock,own-history,own-history,0,2370,0
clock,own-history,own-history,0,2374,0
clock,own-history,own-history,0,2378,0
clock,own-history,own-history,0,2382,0
clock,own-history,own-history,0,2386,0
clock,own-history,own-history,0,2390,0
clock,own-history,own-history,0,2394,0
clock,own-history,own-history,0,2398,0
clock,own-history,own-history,0,2402,0
clock,own-history,own-history,0,2406,0
clock,own-history,own-history,0,2410,0
clock,own-history,own-history,0,2414,0
clock,own-history,own-history,0,2418,0
clock,own-history,own-history,0,2422,0
clock,own-history,own-history,0,2426,0
clock,own-history,own-history,0,2430,0
clock,own-history,own-history,0,2434,0
clock,own-history,own-history,0,2438,0
clock,own-history,own-history,0,2442,0
clock,own-history,own-history,0,2446,0
clock,own-history,own-history,0,2450,0
clock,own-history,own-history,0,2454,0
clock,own-history,own-history,0,2458,0
clock,own-history,own-history,0,2462,0
clock,own-history,own-history,0,2466,0
clock,own-history,own-history,0,2470,0
clock,own-history,own-history,0,2474,0
clock,own-history,own-history,0,2478,0
clock,own-history,own-history,0,2482,0
clock,own-history,own-history,0,2486,0
clock,own-history,own-history,0,2490,0
clock,own-history,own-history,0,2494,0
clock,own-history,own-history,0,2498,0
clock,own-history,own-history,0,2502,0
clock,own-history,own-history,0,2506,0
clock,own-history,own-history,0,2510,0
clock,own-history,own-history,0,2514,0
clock,own-history,own-history,0,2518,0
clock,own-history,own-history,0,2522,0
clock,own-history,own-history,0,2526,0
clock,own-history,own-history,0,2530,0
clock,own-history,own-history,0,2534,0
clock,own-history,own-history,0,2538,0
clock,own-history,own-history,0,2542,0
clock,own-history,own-history,0,2546,0
clock,own-history,own-history,0,2550,0
clock,own-history,own-history,0,2554,0
clock,own-history,own-history,0,2558,0
clock,own-history,own-history,0,2562,0
clock,own-history,own-history,0,2566,0
clock,own-history,own-history,0,2570,0
clock,own-history,own-history,0,2574,0
clock,own-history,own-history,0,2578,0
clock,own-history,own-history,0,2582,0
clock,own-history,own-history,0,2586,0
clock,own-history,own-history,0,2676,0
clock,own-history,own-history,0,2677,1
clock,own-history,own-history,0,2678,2
clock,own-history,own-history,0,2679,3
clock,own-history,own-history,0,2680,4
clock,own-history,own-history,0,2681,5
clock,own-history,own-history,0,2682,6
clock,own-history,own-history,0,2683,7
clock,own-history,own-history,0,2684,8
clock,own-history,own-history,0,2685,9
clock,own-history,own-history,0,2686,10
clock,own-history,own-history,0,2687,11
clock,own-history,own-history,0,2688,12
clock,own-history,own-history,0,2689,13
clock,own-history,own-history,0,2690,14
clock,own-history,own-history,0,2691,15
clock,own-history,own-history,0,2692,16
clock,own-history,own-history,0,2696,0
clock,own-history,own-history,0,2700,0
clock,own-history,own-history,0,2704,0
clock,own-history,own-history,0,2705,1
clock,own-history,own-history,0,2709,0
clock,own-history,own-history,0,2710,1
clock,own-history,own-history,0,2711,2
clock,own-history,own-history,0,2712,3
clock,own-history,own-history,0,2713,4
clock,own-history,own-history,0,2714,5
clock,own-history,own-history,0,2715,6
clock,own-history,own-history,0,2716,7
clock,own-history,own-history,0,2717,8
clock,own-history,own-history,0,2718,9
clock,own-history,own-history,0,2719,10
clock,own-history,own-history,0,2720,11
clock,own-history,own-history,0,2721,12
clock,own-history,own-history,0,2722,13
clock,own-history,own-history,0,2723,14
clock,own-history,own-history,0,2724,15
clock,own-history,own-history,0,2725,16
clock,own-history,own-history,0,2726,17
clock,own-history,own-history,0,2727,18
clock,own-history,own-history,0,2728,19
clock,own-history,own-history,0,2732,0
clock,own-history,own-history,0,2733,1
clock,own-history,own-history,0,2734,2
clock,own-history,own-history,0,2735,3
clock,own-history,own-history,0,2740,0
clock,own-history,own-history,0,2748,0
clock,own-history,own-history,0,2763,0
clock,own-history,own-history,0,2764,1
clock,own-history,own-history,0,2765,2
clock,own-history,own-history,0,2766,3
clock,own-history,own-history,0,2767,4
clock,own-history,own-history,0,2768,5
clock,own-history,own-history,0,2769,6
clock,own-history,own-history,0,2770,7
clock,own-history,own-history,0,2771,8
clock,own-history,own-history,0,2772,9
clock,own-history,own-history,0,2773,10
clock,own-history,own-history,0,2774,11
clock,own-history,own-history,0,2775,12
clock,own-history,own-history,0,2776,13
clock,own-history,own-history,0,2777,14
clock,own-history,own-history,0,2781,0
clock,own-history,own-history,0,2782,1
clock,own-history,own-history,0,2783,2
clock,own-history,own-history,0,2784,3
clock,own-history,own-history,0,2785,4
clock,own-history,own-history,0,2786,5
clock,own-history,own-history,0,2790,0
clock,own-history,own-history,0,2791,1
clock,own-history,own-history,0,2812,0
clock,own-history,own-history,0,2816,0
clock,own-history,own-history,0,2820,0
clock,own-history,own-history,0,2824,0
clock,own-history,own-history,0,2828,0
clock,own-history,own-history,0,2835,0
clock,own-history,own-history,0,2839,0
clock,own-history,own-history,0,2843,0
clock,own-history,own-history,0,2847,0
clock,own-history,own-history,0,2851,0
clock,own-history,own-history,0,2855,0
clock,own-history,own-history,0,2859,0
clock,own-history,own-history,0,2863,0
clock,own-history,own-history,0,2867,0
clock,own-history,own-history,0,2871,0
clock,own-history,own-history,0,2875,0
clock,own-history,own-history,0,2879,0
clock,own-history,own-history,0,2883,0
clock,own-history,own-history,0,2891,0
clock,own-history,own-history,0,2895,0
clock,own-history,own-history,0,2899,0
clock,own-history,own-history,0,2903,0
clock,own-history,own-history,0,2907,0
clock,own-history,own-history,0,2911,0
clock,own-history,own-history,0,2915,0
clock,own-history,own-history,0,2919,0
clock,own-history,own-history,0,2923,0
clock,own-history,own-history,0,2927,0
clock,own-history,own-history,0,2931,0
clock,own-history,own-history,0,2935,0
clock,own-history,own-history,0,2939,0
clock,own-history,own-history,0,2940,1
clock,own-history,own-history,0,2952,0
clock,own-history,own-history,0,2953,1
clock,own-history,own-history,0,2954,2
clock,own-history,own-history,0,2955,3
clock,own-history,own-history,0,2956,4
clock,own-history,own-history,0,2957,5
clock,own-history,own-history,0,2958,6
clock,own-history,own-history,0,2959,7
clock,own-history,own-history,0,2966,0
clock,own-history,own-history,0,2967,1
clock,own-history,own-history,0,2968,2
clock,own-history,own-history,0,2969,3
clock,own-history,own-history,0,2970,4
clock,own-history,own-history,0,2971,5
clock,own-history,own-history,0,2972,6
clock,own-history,own-history,0,2973,7
clock,own-history,own-history,0,2974,8
clock,own-history,own-history,0,2975,9
clock,own-history,own-history,0,2976,10
clock,own-history,own-history,0,2977,11
clock,own-history,own-history,0,2978,12
clock,own-history,own-history,0,2979,13
clock,own-history,own-history,0,2980,14
clock,own-history,own-history,0,2981,15
clock,own-history,own-history,0,2982,16
clock,own-history,own-history,0,2983,17
clock,own-history,own-history,0,2984,18
clock,own-history,own-history,0,2985,19
clock,own-history,own-history,0,2986,20
clock,own-history,own-history,0,2987,21
clock,own-history,own-history,0,2988,22
clock,own-history,own-history,0,2989,23
clock,own-history,own-history,0,2990,24
clock,own-history,own-history,0,2991,25
clock,own-history,own-history,0,2992,26
clock,own-history,own-history,0,2993,27
clock,own-history,own-history,0,2994,28
clock,own-history,own-history,0,2995,29
clock,own-history,own-history,0,2996,30
clock,own-history,own-history,0,2997,31
clock,own-history,own-history,0,2998,32
clock,own-history,own-history,0,2999,33
clock,own-history,own-history,0,3000,34
clock,own-history,own-history,0,3001,35
clock,own-history,own-history,0,3002,36
clock,own-history,own-history,0,3003,37
clock,own-history,own-history,0,3004,38
clock,own-history,own-history,0,3005,39
clock,own-history,own-history,0,3006,40
