window_key,instance,well,folder_label,window_index,onset_offset,role,design_label,label,transient_only,onset_kind,classes,window_start,fold
61,WELL-00019_20210617032654,WELL-00019,8,11,-4,baseline,0,0,False,transient,0,2021-06-17T14:38:56+00:00,3
62,WELL-00019_20210617032654,WELL-00019,8,12,-3,baseline,0,0,False,transient,0,2021-06-17T15:38:56+00:00,3
63,WELL-00019_20210617032654,WELL-00019,8,13,-2,pre,0,0,False,transient,0,2021-06-17T16:38:56+00:00,3
64,WELL-00019_20210617032654,WELL-00019,8,15,0,post0,1,1,True,transient,108,2021-06-17T18:38:56+00:00,3
65,WELL-00019_20210617032654,WELL-00019,8,16,1,post1,1,1,True,transient,108,2021-06-17T19:38:56+00:00,3
66,WELL-00021_20180611011218,WELL-00021,7,0,-5,baseline,0,0,False,transient,0,2018-06-11T02:04:06+00:00,3
67,WELL-00021_20180611011218,WELL-00021,7,1,-4,baseline,0,0,False,transient,0,2018-06-11T03:04:06+00:00,3
68,WELL-00021_20180611011218,WELL-00021,7,2,-3,baseline,0,0,False,transient,0,2018-06-11T04:04:06+00:00,3
69,WELL-00021_20180611011218,WELL-00021,7,3,-2,pre,0,0,False,transient,0,2018-06-11T05:04:06+00:00,3
70,WELL-00021_20180611011218,WELL-00021,7,5,0,post0,1,1,True,transient,107,2018-06-11T07:04:06+00:00,3
71,WELL-00021_20180611011218,WELL-00021,7,6,1,post1,1,1,True,transient,107,2018-06-11T08:04:06+00:00,3
72,WELL-00021_20190403013307,WELL-00021,7,3,-5,baseline,0,0,False,transient,0,2019-04-03T04:59:05+00:00,3
73,WELL-00021_20190403013307,WELL-00021,7,4,-4,baseline,0,0,False,transient,0,2019-04-03T05:59:05+00:00,3
74,WELL-00021_20190403013307,WELL-00021,7,5,-3,baseline,0,0,False,transient,0,2019-04-03T06:59:05+00:00,3
75,WELL-00021_20190403013307,WELL-00021,7,6,-2,pre,0,0,False,transient,0,2019-04-03T07:59:05+00:00,3
76,WELL-00021_20190403013307,WELL-00021,7,8,0,post0,1,1,True,transient,107,2019-04-03T09:59:05+00:00,3
77,WELL-00021_20190403013307,WELL-00021,7,9,1,post1,1,1,True,transient,107,2019-04-03T10:59:05+00:00,3
78,WELL-00022_20180802233838,WELL-00022,7,18,-5,baseline,0,0,False,transient,0,2018-08-03T18:35:24+00:00,0
79,WELL-00022_20180802233838,WELL-00022,7,19,-4,baseline,0,0,False,transient,0,2018-08-03T19:35:24+00:00,0
80,WELL-00022_20180802233838,WELL-00022,7,20,-3,baseline,0,0,False,transient,0,2018-08-03T20:35:24+00:00,0
81,WELL-00022_20180802233838,WELL-00022,7,21,-2,pre,0,0,False,transient,0,2018-08-03T21:35:24+00:00,0
82,WELL-00022_20180802233838,WELL-00022,7,23,0,post0,1,1,True,transient,107,2018-08-03T23:35:24+00:00,0
83,WELL-00022_20180802233838,WELL-00022,7,24,1,post1,1,1,True,transient,107,2018-08-04T00:35:24+00:00,0
84,WELL-00022_20180912025800,WELL-00022,7,3,-5,baseline,0,0,False,transient,0,2018-09-12T06:03:28+00:00,0
85,WELL-00022_20180912025800,WELL-00022,7,4,-4,baseline,0,0,False,transient,0,2018-09-12T07:03:28+00:00,0
86,WELL-00022_20180912025800,WELL-00022,7,5,-3,baseline,0,0,False,transient,0,2018-09-12T08:03:28+00:00,0
87,WELL-00022_20180912025800,WELL-00022,7,6,-2,pre,0,0,False,transient,0,2018-09-12T09:03:28+00:00,0
88,WELL-00022_20180912025800,WELL-00022,7,8,0,post0,1,1,True,transient,107,2018-09-12T11:03:28+00:00,0
89,WELL-00022_20180912025800,WELL-00022,7,9,1,post1,1,1,True,transient,107,2018-09-12T12:03:28+00:00,0
90,WELL-00022_20180919003240,WELL-00022,7,5,-5,baseline,0,0,False,transient,0,2018-09-19T06:30:37+00:00,0
91,WELL-00022_20180919003240,WELL-00022,7,6,-4,baseline,0,0,False,transient,0,2018-09-19T07:30:37+00:00,0
92,WELL-00022_20180919003240,WELL-00022,7,7,-3,baseline,0,0,False,transient,0,2018-09-19T08:30:37+00:00,0
93,WELL-00022_20180919003240,WELL-00022,7,8,-2,pre,0,0,False,transient,0,2018-09-19T09:30:37+00:00,0
94,WELL-00022_20180919003240,WELL-00022,7,10,0,post0,1,1,True,transient,107,2018-09-19T11:30:37+00:00,0
95,WELL-00022_20180919003240,WELL-00022,7,11,1,post1,1,1,True,transient,107,2018-09-19T12:30:37+00:00,0
96,WELL-00022_20180925003447,WELL-00022,7,9,-5,baseline,0,0,False,transient,0,2018-09-25T10:12:34+00:00,0
97,WELL-00022_20180925003447,WELL-00022,7,10,-4,baseline,0,0,False,transient,0,2018-09-25T11:12:34+00:00,0
98,WELL-00022_20180925003447,WELL-00022,7,11,-3,baseline,0,0,False,transient,0,2018-09-25T12:12:34+00:00,0
99,WELL-00022_20180925003447,WELL-00022,7,12,-2,pre,0,0,False,transient,0,2018-09-25T13:12:34+00:00,0
100,WELL-00022_20180925003447,WELL-00022,7,14,0,post0,1,1,True,transient,107,2018-09-25T15:12:34+00:00,0
101,WELL-00022_20180925003447,WELL-00022,7,15,1,post1,1,1,True,transient,107,2018-09-25T16:12:34+00:00,0
102,WELL-00022_20181007080700,WELL-00022,7,17,-5,baseline,0,0,False,transient,0,2018-10-08T01:39:01+00:00,0
103,WELL-00022_20181007080700,WELL-00022,7,18,-4,baseline,0,0,False,transient,0,2018-10-08T02:39:01+00:00,0
104,WELL-00022_20181007080700,WELL-00022,7,19,-3,baseline,0,0,False,transient,0,2018-10-08T03:39:01+00:00,0
105,WELL-00022_20181007080700,WELL-00022,7,20,-2,pre,0,0,False,transient,0,2018-10-08T04:39:01+00:00,0
106,WELL-00022_20181007080700,WELL-00022,7,22,0,post0,1,1,True,transient,107,2018-10-08T06:39:01+00:00,0
107,WELL-00022_20181007080700,WELL-00022,7,23,1,post1,1,1,True,transient,107,2018-10-08T07:39:01+00:00,0
108,WELL-00022_20181020133850,WELL-00022,7,5,-5,baseline,0,0,False,transient,0,2018-10-20T19:06:37+00:00,0
109,WELL-00022_20181020133850,WELL-00022,7,6,-4,baseline,0,0,False,transient,0,2018-10-20T20:06:37+00:00,0
110,WELL-00022_20181020133850,WELL-00022,7,7,-3,baseline,0,0,False,transient,0,2018-10-20T21:06:37+00:00,0
111,WELL-00022_20181020133850,WELL-00022,7,8,-2,pre,0,0,False,transient,0,2018-10-20T22:06:37+00:00,0
112,WELL-00022_20181020133850,WELL-00022,7,10,0,post0,1,1,True,transient,107,2018-10-21T00:06:37+00:00,0
113,WELL-00022_20181020133850,WELL-00022,7,11,1,post1,1,1,True,transient,107,2018-10-21T01:06:37+00:00,0
114,WELL-00022_20181026005827,WELL-00022,7,24,-5,baseline,0,0,False,transient,0,2018-10-27T01:14:30+00:00,0
115,WELL-00022_20181026005827,WELL-00022,7,25,-4,baseline,0,0,False,transient,0,2018-10-27T02:14:30+00:00,0
116,WELL-00022_20181026005827,WELL-00022,7,26,-3,baseline,0,0,False,transient,0,2018-10-27T03:14:30+00:00,0
117,WELL-00022_20181026005827,WELL-00022,7,27,-2,pre,0,0,False,transient,0,2018-10-27T04:14:30+00:00,0
118,WELL-00022_20181026005827,WELL-00022,7,29,0,post0,1,1,True,transient,107,2018-10-27T06:14:30+00:00,0
119,WELL-00022_20181026005827,WELL-00022,7,30,1,post1,1,1,True,transient,107,2018-10-27T07:14:30+00:00,0
120,WELL-00022_20181101193049,WELL-00022,7,2,-5,baseline,0,0,False,transient,0,2018-11-01T22:06:18+00:00,0
121,WELL-00022_20181101193049,WELL-00022,7,3,-4,baseline,0,0,False,transient,0,2018-11-01T23:06:18+00:00,0
122,WELL-00022_20181101193049,WELL-00022,7,4,-3,baseline,0,0,False,transient,0,2018-11-02T00:06:18+00:00,0
123,WELL-00022_20181101193049,WELL-00022,7,5,-2,pre,0,0,False,transient,0,2018-11-02T01:06:18+00:00,0
124,WELL-00022_20181101193049,WELL-00022,7,7,0,post0,1,1,True,transient,107,2018-11-02T03:06:18+00:00,0
125,WELL-00022_20181101193049,WELL-00022,7,8,1,post1,1,1,True,transient,107,2018-11-02T04:06:18+00:00,0
126,WELL-00023_20180826212652,WELL-00023,7,4,-5,baseline,0,0,False,transient,0,2018-08-27T02:11:00+00:00,2
127,WELL-00023_20180826212652,WELL-00023,7,5,-4,baseline,0,0,False,transient,0,2018-08-27T03:11:00+00:00,2
128,WELL-00023_20180826212652,WELL-00023,7,6,-3,baseline,0,0,False,transient,0,2018-08-27T04:11:00+00:00,2
129,WELL-00023_20180826212652,WELL-00023,7,7,-2,pre,0,0,False,transient,0,2018-08-27T05:11:00+00:00,2
130,WELL-00023_20180826212652,WELL-00023,7,9,0,post0,1,1,True,transient,107,2018-08-27T07:11:00+00:00,2
131,WELL-00023_20180826212652,WELL-00023,7,10,1,post1,1,1,True,transient,107,2018-08-27T08:11:00+00:00,2
132,WELL-00023_20181014121654,WELL-00023,7,14,-5,baseline,0,0,False,transient,0,2018-10-15T02:26:20+00:00,2
133,WELL-00023_20181014121654,WELL-00023,7,15,-4,baseline,0,0,False,transient,0,2018-10-15T03:26:20+00:00,2
134,WELL-00023_20181014121654,WELL-00023,7,16,-3,baseline,0,0,False,transient,0,2018-10-15T04:26:20+00:00,2
135,WELL-00023_20181014121654,WELL-00023,7,17,-2,pre,0,0,False,transient,0,2018-10-15T05:26:20+00:00,2
136,WELL-00023_20181014121654,WELL-00023,7,19,0,post0,1,1,True,transient,107,2018-10-15T07:26:20+00:00,2
137,WELL-00023_20181014121654,WELL-00023,7,20,1,post1,1,1,True,transient,107,2018-10-15T08:26:20+00:00,2
138,WELL-00023_20181019115124,WELL-00023,7,14,-5,baseline,0,0,False,transient,0,2018-10-20T01:56:44+00:00,2
139,WELL-00023_20181019115124,WELL-00023,7,15,-4,baseline,0,0,False,transient,0,2018-10-20T02:56:44+00:00,2
140,WELL-00023_20181019115124,WELL-00023,7,16,-3,baseline,0,0,False,transient,0,2018-10-20T03:56:44+00:00,2
141,WELL-00023_20181019115124,WELL-00023,7,17,-2,pre,0,0,False,transient,0,2018-10-20T04:56:44+00:00,2
142,WELL-00023_20181019115124,WELL-00023,7,19,0,post0,1,1,True,transient,107,2018-10-20T06:56:44+00:00,2
143,WELL-00023_20181019115124,WELL-00023,7,20,1,post1,1,1,True,transient,107,2018-10-20T07:56:44+00:00,2
144,WELL-00023_20181030045054,WELL-00023,7,2,-5,baseline,0,0,False,transient,0,2018-10-30T06:56:44+00:00,2
145,WELL-00023_20181030045054,WELL-00023,7,3,-4,baseline,0,0,False,transient,0,2018-10-30T07:56:44+00:00,2
146,WELL-00023_20181030045054,WELL-00023,7,4,-3,baseline,0,0,False,transient,0,2018-10-30T08:56:44+00:00,2
147,WELL-00023_20181030045054,WELL-00023,7,5,-2,pre,0,0,False,transient,0,2018-10-30T09:56:44+00:00,2
148,WELL-00023_20181030045054,WELL-00023,7,7,0,post0,1,1,True,transient,107,2018-10-30T11:56:44+00:00,2
149,WELL-00023_20181030045054,WELL-00023,7,8,1,post1,1,1,True,transient,107,2018-10-30T12:56:44+00:00,2
150,WELL-00024_20160712123044,WELL-00024,7,3,-5,baseline,0,0,False,transient,0,2016-07-12T15:38:47+00:00,1
151,WELL-00024_20160712123044,WELL-00024,7,4,-4,baseline,0,0,False,transient,0,2016-07-12T16:38:47+00:00,1
152,WELL-00024_20160712123044,WELL-00024,7,5,-3,baseline,0,0,False,transient,0,2016-07-12T17:38:47+00:00,1
153,WELL-00024_20160712123044,WELL-00024,7,6,-2,pre,0,0,False,transient,0,2016-07-12T18:38:47+00:00,1
154,WELL-00024_20160712123044,WELL-00024,7,8,0,post0,1,1,True,transient,107,2016-07-12T20:38:47+00:00,1
155,WELL-00024_20160712123044,WELL-00024,7,9,1,post1,1,1,True,transient,107,2016-07-12T21:38:47+00:00,1
156,WELL-00024_20160720230624,WELL-00024,7,7,-5,baseline,0,0,False,transient,0,2016-07-21T06:44:18+00:00,1
157,WELL-00024_20160720230624,WELL-00024,7,8,-4,baseline,0,0,False,transient,0,2016-07-21T07:44:18+00:00,1
158,WELL-00024_20160720230624,WELL-00024,7,9,-3,baseline,0,0,False,transient,0,2016-07-21T08:44:18+00:00,1
159,WELL-00024_20160720230624,WELL-00024,7,10,-2,pre,0,0,False,transient,0,2016-07-21T09:44:18+00:00,1
160,WELL-00024_20160720230624,WELL-00024,7,12,0,post0,1,1,True,transient,107,2016-07-21T11:44:18+00:00,1
161,WELL-00024_20160720230624,WELL-00024,7,13,1,post1,1,1,True,transient,107,2016-07-21T12:44:18+00:00,1
162,WELL-00024_20160722105543,WELL-00024,7,5,-5,baseline,0,0,False,transient,0,2016-07-22T15:56:59+00:00,1
163,WELL-00024_20160722105543,WELL-00024,7,6,-4,baseline,0,0,False,transient,0,2016-07-22T16:56:59+00:00,1
164,WELL-00024_20160722105543,WELL-00024,7,7,-3,baseline,0,0,False,transient,0,2016-07-22T17:56:59+00:00,1
165,WELL-00024_20160722105543,WELL-00024,7,8,-2,pre,0,0,False,transient,0,2016-07-22T18:56:59+00:00,1
166,WELL-00024_20160722105543,WELL-00024,7,10,0,post0,1,1,True,transient,107,2016-07-22T20:56:59+00:00,1
167,WELL-00024_20160722105543,WELL-00024,7,11,1,post1,1,1,True,transient,107,2016-07-22T21:56:59+00:00,1
168,WELL-00024_20160729172014,WELL-00024,7,0,-5,baseline,0,0,False,transient,0,2016-07-29T18:01:27+00:00,1
169,WELL-00024_20160729172014,WELL-00024,7,1,-4,baseline,0,0,False,transient,0,2016-07-29T19:01:27+00:00,1
170,WELL-00024_20160729172014,WELL-00024,7,2,-3,baseline,0,0,False,transient,0,2016-07-29T20:01:27+00:00,1
171,WELL-00024_20160729172014,WELL-00024,7,3,-2,pre,0,0,False,transient,0,2016-07-29T21:01:27+00:00,1
172,WELL-00024_20160729172014,WELL-00024,7,5,0,post0,1,1,True,transient,107,2016-07-29T23:01:27+00:00,1
173,WELL-00024_20160729172014,WELL-00024,7,6,1,post1,1,1,True,transient,107,2016-07-30T00:01:27+00:00,1
174,WELL-00024_20160825100303,WELL-00024,7,5,-5,baseline,0,0,False,transient,0,2016-08-25T16:02:59+00:00,1
175,WELL-00024_20160825100303,WELL-00024,7,6,-4,baseline,0,0,False,transient,0,2016-08-25T17:02:59+00:00,1
176,WELL-00024_20160825100303,WELL-00024,7,7,-3,baseline,0,0,False,transient,0,2016-08-25T18:02:59+00:00,1
177,WELL-00024_20160825100303,WELL-00024,7,8,-2,pre,0,0,False,transient,0,2016-08-25T19:02:59+00:00,1
178,WELL-00024_20160825100303,WELL-00024,7,10,0,post0,1,1,True,transient,107,2016-08-25T21:02:59+00:00,1
179,WELL-00024_20160825100303,WELL-00024,7,11,1,post1,1,1,True,transient,107,2016-08-25T22:02:59+00:00,1
180,WELL-00024_20160909220000,WELL-00024,7,14,-5,baseline,0,0,False,transient,0,2016-09-10T12:59:22+00:00,1
181,WELL-00024_20160909220000,WELL-00024,7,15,-4,baseline,0,0,False,transient,0,2016-09-10T13:59:22+00:00,1
182,WELL-00024_20160909220000,WELL-00024,7,16,-3,baseline,0,0,False,transient,0,2016-09-10T14:59:22+00:00,1
183,WELL-00024_20160909220000,WELL-00024,7,17,-2,pre,0,0,False,transient,0,2016-09-10T15:59:22+00:00,1
184,WELL-00024_20160909220000,WELL-00024,7,19,0,post0,1,1,True,transient,107,2016-09-10T17:59:22+00:00,1
185,WELL-00024_20160909220000,WELL-00024,7,20,1,post1,1,1,True,transient,107,2016-09-10T18:59:22+00:00,1
186,WELL-00024_20161001112049,WELL-00024,7,1,-5,baseline,0,0,False,transient,0,2016-10-01T12:31:12+00:00,1
187,WELL-00024_20161001112049,WELL-00024,7,2,-4,baseline,0,0,False,transient,0,2016-10-01T13:31:12+00:00,1
188,WELL-00024_20161001112049,WELL-00024,7,3,-3,baseline,0,0,False,transient,0,2016-10-01T14:31:12+00:00,1
189,WELL-00024_20161001112049,WELL-00024,7,4,-2,pre,0,0,False,transient,0,2016-10-01T15:31:12+00:00,1
190,WELL-00024_20161001112049,WELL-00024,7,6,0,post0,1,1,True,transient,107,2016-10-01T17:31:12+00:00,1
191,WELL-00024_20161001112049,WELL-00024,7,7,1,post1,1,1,True,transient,107,2016-10-01T18:31:12+00:00,1
192,WELL-00024_20161026065657,WELL-00024,7,2,-5,baseline,0,0,False,transient,0,2016-10-26T09:17:09+00:00,1
193,WELL-00024_20161026065657,WELL-00024,7,3,-4,baseline,0,0,False,transient,0,2016-10-26T10:17:09+00:00,1
194,WELL-00024_20161026065657,WELL-00024,7,4,-3,baseline,0,0,False,transient,0,2016-10-26T11:17:09+00:00,1
195,WELL-00024_20161026065657,WELL-00024,7,5,-2,pre,0,0,False,transient,0,2016-10-26T12:17:09+00:00,1
196,WELL-00024_20161026065657,WELL-00024,7,7,0,post0,1,1,True,transient,107,2016-10-26T14:17:09+00:00,1
197,WELL-00024_20161026065657,WELL-00024,7,8,1,post1,1,1,True,transient,107,2016-10-26T15:17:09+00:00,1
198,WELL-00025_20200629194141,WELL-00025,8,19,-5,baseline,0,0,False,transient,0,2020-06-30T15:30:57+00:00,1
199,WELL-00025_20200629194141,WELL-00025,8,20,-4,baseline,0,0,False,transient,0,2020-06-30T16:30:57+00:00,1
200,WELL-00025_20200629194141,WELL-00025,8,21,-3,baseline,0,0,False,transient,0,2020-06-30T17:30:57+00:00,1
201,WELL-00025_20200629194141,WELL-00025,8,22,-2,pre,0,0,False,transient,0,2020-06-30T18:30:57+00:00,1
202,WELL-00025_20200629194141,WELL-00025,8,24,0,post0,1,1,True,transient,108,2020-06-30T20:30:57+00:00,1
203,WELL-00025_20200629194141,WELL-00025,8,25,1,post1,1,1,True,transient,108,2020-06-30T21:30:57+00:00,1
204,WELL-00026_20160601130000,WELL-00026,8,1,-5,baseline,0,0,False,transient,0,2016-06-01T14:58:20+00:00,4
205,WELL-00026_20160601130000,WELL-00026,8,2,-4,baseline,0,0,False,transient,0,2016-06-01T15:58:20+00:00,4
206,WELL-00026_20160601130000,WELL-00026,8,3,-3,baseline,0,0,False,transient,0,2016-06-01T16:58:20+00:00,4
207,WELL-00026_20160601130000,WELL-00026,8,4,-2,pre,0,0,False,transient,0,2016-06-01T17:58:20+00:00,4
208,WELL-00026_20160601130000,WELL-00026,8,6,0,post0,1,1,True,transient,108,2016-06-01T19:58:20+00:00,4
209,WELL-00026_20160601130000,WELL-00026,8,7,1,post1,1,1,True,transient,108,2016-06-01T20:58:20+00:00,4
210,WELL-00026_20170207230000,WELL-00026,8,32,-5,baseline,0,0,False,transient,0,2017-02-09T07:05:35+00:00,4
211,WELL-00026_20170207230000,WELL-00026,8,33,-4,baseline,0,0,False,transient,0,2017-02-09T08:05:35+00:00,4
212,WELL-00026_20170207230000,WELL-00026,8,34,-3,baseline,0,0,False,transient,0,2017-02-09T09:05:35+00:00,4
213,WELL-00026_20170207230000,WELL-00026,8,35,-2,pre,0,0,False,transient,0,2017-02-09T10:05:35+00:00,4
214,WELL-00026_20170207230000,WELL-00026,8,37,0,post0,1,1,True,transient,108,2017-02-09T12:05:35+00:00,4
215,WELL-00026_20170207230000,WELL-00026,8,38,1,post1,1,1,True,transient,108,2017-02-09T13:05:35+00:00,4
216,WELL-00026_20170608230000,WELL-00026,8,61,-5,baseline,0,0,False,transient,0,2017-06-11T12:05:03+00:00,4
217,WELL-00026_20170608230000,WELL-00026,8,62,-4,baseline,0,0,False,transient,0,2017-06-11T13:05:03+00:00,4
218,WELL-00026_20170608230000,WELL-00026,8,63,-3,baseline,0,0,False,transient,0,2017-06-11T14:05:03+00:00,4
219,WELL-00026_20170608230000,WELL-00026,8,64,-2,pre,0,0,False,transient,0,2017-06-11T15:05:03+00:00,4
220,WELL-00026_20170608230000,WELL-00026,8,66,0,post0,1,1,True,transient,108,2017-06-11T17:05:03+00:00,4
221,WELL-00026_20170608230000,WELL-00026,8,67,1,post1,1,1,True,transient,108,2017-06-11T18:05:03+00:00,4
222,WELL-00027_20230918170106,WELL-00027,8,9,-5,baseline,0,0,False,transient,0,2023-09-19T02:38:48+00:00,0
