instance,well,window_key,window_index,onset_offset,role,variable,n_context_minutes,n_context_filled,n_target_minutes,n_target_skipped,surprise,refusal
WELL-00001_20170226130146,WELL-00001,7,6,-4,baseline,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20170226130146,WELL-00001,7,6,-4,baseline,P-TPT,240,0,60,0,0.3083,
WELL-00001_20170226130146,WELL-00001,7,6,-4,baseline,T-TPT,240,0,60,0,0.2201,
WELL-00001_20170226130146,WELL-00001,8,7,-3,baseline,P-ANULAR,240,0,60,0,0.3311,
WELL-00001_20170226130146,WELL-00001,8,7,-3,baseline,P-JUS-CKGL,240,0,60,0,0.2503,
WELL-00001_20170226130146,WELL-00001,8,7,-3,baseline,P-MON-CKP,240,0,60,0,0.3871,
WELL-00001_20170226130146,WELL-00001,8,7,-3,baseline,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20170226130146,WELL-00001,8,7,-3,baseline,P-TPT,240,0,60,0,0.417,
WELL-00001_20170226130146,WELL-00001,8,7,-3,baseline,T-TPT,240,0,60,0,0.1139,
WELL-00001_20170226130146,WELL-00001,9,8,-2,pre,P-ANULAR,240,0,60,0,0.1457,
WELL-00001_20170226130146,WELL-00001,9,8,-2,pre,P-JUS-CKGL,240,0,60,0,0.1556,
WELL-00001_20170226130146,WELL-00001,9,8,-2,pre,P-MON-CKP,240,0,60,0,0.3756,
WELL-00001_20170226130146,WELL-00001,9,8,-2,pre,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20170226130146,WELL-00001,9,8,-2,pre,P-TPT,240,0,60,0,0.2799,
WELL-00001_20170226130146,WELL-00001,9,8,-2,pre,T-TPT,240,0,60,0,0.3924,
WELL-00001_20170226130146,WELL-00001,10,10,0,post0,P-ANULAR,240,0,60,0,0.1848,
WELL-00001_20170226130146,WELL-00001,10,10,0,post0,P-JUS-CKGL,240,0,60,0,0.1556,
WELL-00001_20170226130146,WELL-00001,10,10,0,post0,P-MON-CKP,240,0,60,0,0.3168,
WELL-00001_20170226130146,WELL-00001,10,10,0,post0,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20170226130146,WELL-00001,10,10,0,post0,P-TPT,240,0,60,0,0.5685,
WELL-00001_20170226130146,WELL-00001,10,10,0,post0,T-TPT,240,0,60,0,0.1358,
WELL-00001_20170226130146,WELL-00001,11,11,1,post1,P-ANULAR,240,0,60,0,0.2224,
WELL-00001_20170226130146,WELL-00001,11,11,1,post1,P-JUS-CKGL,240,0,60,0,0.1538,
WELL-00001_20170226130146,WELL-00001,11,11,1,post1,P-MON-CKP,240,0,60,0,0.427,
WELL-00001_20170226130146,WELL-00001,11,11,1,post1,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20170226130146,WELL-00001,11,11,1,post1,P-TPT,240,0,60,0,0.4053,
WELL-00001_20170226130146,WELL-00001,11,11,1,post1,T-TPT,240,0,60,0,0.4183,
WELL-00002_20140212160333,WELL-00002,12,0,-5,baseline,P-ANULAR,11,,60,,,"context: 11 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,12,0,-5,baseline,P-JUS-CKGL,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,12,0,-5,baseline,P-MON-CKP,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,12,0,-5,baseline,P-PDG,11,,60,,,"context: 11 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,12,0,-5,baseline,P-TPT,11,,60,,,"context: 11 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,12,0,-5,baseline,T-TPT,11,,60,,,"context: 11 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,13,1,-4,baseline,P-ANULAR,71,169,60,0,2.1971,
WELL-00002_20140212160333,WELL-00002,13,1,-4,baseline,P-JUS-CKGL,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,13,1,-4,baseline,P-MON-CKP,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,13,1,-4,baseline,P-PDG,71,,60,,,context is constant: the surprise has no scale
WELL-00002_20140212160333,WELL-00002,13,1,-4,baseline,P-TPT,71,169,60,0,0.0358,
WELL-00002_20140212160333,WELL-00002,13,1,-4,baseline,T-TPT,71,169,60,0,0.1877,
WELL-00002_20140212160333,WELL-00002,14,2,-3,baseline,P-ANULAR,131,109,60,0,1.6029,
WELL-00002_20140212160333,WELL-00002,14,2,-3,baseline,P-JUS-CKGL,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,14,2,-3,baseline,P-MON-CKP,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,14,2,-3,baseline,P-PDG,131,,60,,,context is constant: the surprise has no scale
WELL-00002_20140212160333,WELL-00002,14,2,-3,baseline,P-TPT,131,109,60,0,6.701,
WELL-00002_20140212160333,WELL-00002,14,2,-3,baseline,T-TPT,131,109,60,0,0.4679,
WELL-00002_20140212160333,WELL-00002,15,3,-2,pre,P-ANULAR,191,49,60,0,0.2124,
WELL-00002_20140212160333,WELL-00002,15,3,-2,pre,P-JUS-CKGL,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,15,3,-2,pre,P-MON-CKP,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,15,3,-2,pre,P-PDG,191,,60,,,context is constant: the surprise has no scale
WELL-00002_20140212160333,WELL-00002,15,3,-2,pre,P-TPT,191,49,60,0,1.2411,
WELL-00002_20140212160333,WELL-00002,15,3,-2,pre,T-TPT,191,49,60,0,0.1307,
WELL-00002_20140212160333,WELL-00002,16,5,0,post0,P-ANULAR,240,0,60,0,0.155,
WELL-00002_20140212160333,WELL-00002,16,5,0,post0,P-JUS-CKGL,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,16,5,0,post0,P-MON-CKP,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,16,5,0,post0,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00002_20140212160333,WELL-00002,16,5,0,post0,P-TPT,240,0,60,0,3.3495,
WELL-00002_20140212160333,WELL-00002,16,5,0,post0,T-TPT,240,0,60,0,0.8498,
WELL-00002_20140212160333,WELL-00002,17,6,1,post1,P-ANULAR,240,0,60,0,0.0775,
WELL-00002_20140212160333,WELL-00002,17,6,1,post1,P-JUS-CKGL,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,17,6,1,post1,P-MON-CKP,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00002_20140212160333,WELL-00002,17,6,1,post1,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00002_20140212160333,WELL-00002,17,6,1,post1,P-TPT,240,0,60,0,0.2066,
WELL-00002_20140212160333,WELL-00002,17,6,1,post1,T-TPT,240,0,60,0,0.5613,
WELL-00006_20170731170930,WELL-00006,18,11,-5,baseline,P-ANULAR,240,0,60,0,0.2072,
WELL-00006_20170731170930,WELL-00006,18,11,-5,baseline,P-JUS-CKGL,240,0,60,0,0.8457,
WELL-00006_20170731170930,WELL-00006,18,11,-5,baseline,P-MON-CKP,240,0,60,0,0.259,
WELL-00006_20170731170930,WELL-00006,18,11,-5,baseline,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20170731170930,WELL-00006,18,11,-5,baseline,P-TPT,240,0,60,0,0.0604,
WELL-00006_20170731170930,WELL-00006,18,11,-5,baseline,T-TPT,240,0,60,0,0.567,
WELL-00006_20170731170930,WELL-00006,19,12,-4,baseline,P-ANULAR,240,0,60,0,0.1534,
WELL-00006_20170731170930,WELL-00006,19,12,-4,baseline,P-JUS-CKGL,240,0,60,0,0.0742,
WELL-00006_20170731170930,WELL-00006,19,12,-4,baseline,P-MON-CKP,240,0,60,0,0.186,
WELL-00006_20170731170930,WELL-00006,19,12,-4,baseline,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20170731170930,WELL-00006,19,12,-4,baseline,P-TPT,240,0,60,0,0.009,
WELL-00006_20170731170930,WELL-00006,19,12,-4,baseline,T-TPT,240,0,60,0,0.373,
WELL-00006_20170731170930,WELL-00006,20,13,-3,baseline,P-ANULAR,240,0,60,0,0.7469,
WELL-00006_20170731170930,WELL-00006,20,13,-3,baseline,P-JUS-CKGL,240,0,60,0,0.2629,
WELL-00006_20170731170930,WELL-00006,20,13,-3,baseline,P-MON-CKP,240,0,60,0,0.1558,
WELL-00006_20170731170930,WELL-00006,20,13,-3,baseline,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20170731170930,WELL-00006,20,13,-3,baseline,P-TPT,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20170731170930,WELL-00006,20,13,-3,baseline,T-TPT,240,0,60,0,0.2022,
WELL-00006_20170731170930,WELL-00006,21,14,-2,pre,P-ANULAR,240,0,60,0,0.1489,
WELL-00006_20170731170930,WELL-00006,21,14,-2,pre,P-JUS-CKGL,240,0,60,0,0.2461,
WELL-00006_20170731170930,WELL-00006,21,14,-2,pre,P-MON-CKP,240,0,60,0,0.1559,
WELL-00006_20170731170930,WELL-00006,21,14,-2,pre,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20170731170930,WELL-00006,21,14,-2,pre,P-TPT,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20170731170930,WELL-00006,21,14,-2,pre,T-TPT,240,0,60,0,0.2374,
WELL-00006_20170731170930,WELL-00006,22,16,0,post0,P-ANULAR,240,0,60,0,0.8442,
WELL-00006_20170731170930,WELL-00006,22,16,0,post0,P-JUS-CKGL,240,0,60,0,0.1559,
WELL-00006_20170731170930,WELL-00006,22,16,0,post0,P-MON-CKP,240,0,60,0,0.1797,
WELL-00006_20170731170930,WELL-00006,22,16,0,post0,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20170731170930,WELL-00006,22,16,0,post0,P-TPT,240,0,60,0,0.4977,
WELL-00006_20170731170930,WELL-00006,22,16,0,post0,T-TPT,240,0,60,0,0.9779,
WELL-00006_20170731170930,WELL-00006,23,17,1,post1,P-ANULAR,240,0,60,0,0.6647,
WELL-00006_20170731170930,WELL-00006,23,17,1,post1,P-JUS-CKGL,240,0,60,0,0.1559,
WELL-00006_20170731170930,WELL-00006,23,17,1,post1,P-MON-CKP,240,0,60,0,0.3754,
WELL-00006_20170731170930,WELL-00006,23,17,1,post1,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20170731170930,WELL-00006,23,17,1,post1,P-TPT,240,0,60,0,0.8269,
WELL-00006_20170731170930,WELL-00006,23,17,1,post1,T-TPT,240,0,60,0,1.0796,
WELL-00006_20180617190257,WELL-00006,24,7,-5,baseline,P-ANULAR,240,0,60,0,0.4075,
WELL-00006_20180617190257,WELL-00006,24,7,-5,baseline,P-JUS-CKGL,240,0,60,0,0.1093,
WELL-00006_20180617190257,WELL-00006,24,7,-5,baseline,P-MON-CKP,240,0,60,0,0.4253,
WELL-00006_20180617190257,WELL-00006,24,7,-5,baseline,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20180617190257,WELL-00006,24,7,-5,baseline,P-TPT,240,0,60,0,0.0064,
WELL-00006_20180617190257,WELL-00006,24,7,-5,baseline,T-TPT,240,0,60,0,0.316,
WELL-00006_20180617190257,WELL-00006,25,8,-4,baseline,P-ANULAR,240,0,60,0,0.0405,
WELL-00006_20180617190257,WELL-00006,25,8,-4,baseline,P-JUS-CKGL,240,0,60,0,0.1092,
WELL-00006_20180617190257,WELL-00006,25,8,-4,baseline,P-MON-CKP,240,0,60,0,0.2167,
WELL-00006_20180617190257,WELL-00006,25,8,-4,baseline,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20180617190257,WELL-00006,25,8,-4,baseline,P-TPT,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20180617190257,WELL-00006,25,8,-4,baseline,T-TPT,240,0,60,0,0.2352,
WELL-00006_20180617190257,WELL-00006,26,9,-3,baseline,P-ANULAR,240,0,60,0,0.505,
WELL-00006_20180617190257,WELL-00006,26,9,-3,baseline,P-JUS-CKGL,240,0,60,0,0.1092,
WELL-00006_20180617190257,WELL-00006,26,9,-3,baseline,P-MON-CKP,240,0,60,0,0.361,
WELL-00006_20180617190257,WELL-00006,26,9,-3,baseline,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20180617190257,WELL-00006,26,9,-3,baseline,P-TPT,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20180617190257,WELL-00006,26,9,-3,baseline,T-TPT,240,0,60,0,0.3256,
WELL-00006_20180617190257,WELL-00006,27,10,-2,pre,P-ANULAR,240,0,60,0,0.2633,
WELL-00006_20180617190257,WELL-00006,27,10,-2,pre,P-JUS-CKGL,240,0,60,0,0.1114,
WELL-00006_20180617190257,WELL-00006,27,10,-2,pre,P-MON-CKP,240,0,60,0,0.2313,
WELL-00006_20180617190257,WELL-00006,27,10,-2,pre,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20180617190257,WELL-00006,27,10,-2,pre,P-TPT,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20180617190257,WELL-00006,27,10,-2,pre,T-TPT,240,0,60,0,0.3176,
WELL-00006_20180617190257,WELL-00006,28,12,0,post0,P-ANULAR,240,0,60,0,0.1511,
WELL-00006_20180617190257,WELL-00006,28,12,0,post0,P-JUS-CKGL,240,0,60,0,0.4898,
WELL-00006_20180617190257,WELL-00006,28,12,0,post0,P-MON-CKP,240,0,60,0,0.4828,
WELL-00006_20180617190257,WELL-00006,28,12,0,post0,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20180617190257,WELL-00006,28,12,0,post0,P-TPT,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20180617190257,WELL-00006,28,12,0,post0,T-TPT,240,0,60,0,1.82,
WELL-00006_20180617190257,WELL-00006,29,13,1,post1,P-ANULAR,240,0,60,0,0.6952,
WELL-00006_20180617190257,WELL-00006,29,13,1,post1,P-JUS-CKGL,240,0,60,0,0.1388,
WELL-00006_20180617190257,WELL-00006,29,13,1,post1,P-MON-CKP,240,0,60,0,1.2278,
WELL-00006_20180617190257,WELL-00006,29,13,1,post1,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00006_20180617190257,WELL-00006,29,13,1,post1,P-TPT,240,0,60,0,1.2054,
WELL-00006_20180617190257,WELL-00006,29,13,1,post1,T-TPT,240,0,60,0,0.8894,
WELL-00014_20160304155906,WELL-00014,30,1,-5,baseline,P-ANULAR,64,176,60,0,0.1962,
WELL-00014_20160304155906,WELL-00014,30,1,-5,baseline,P-JUS-CKGL,64,176,60,0,0.4235,
WELL-00014_20160304155906,WELL-00014,30,1,-5,baseline,P-MON-CKP,64,176,60,0,0.6268,
WELL-00014_20160304155906,WELL-00014,30,1,-5,baseline,P-PDG,64,176,60,0,0.196,
WELL-00014_20160304155906,WELL-00014,30,1,-5,baseline,P-TPT,64,176,60,0,0.1518,
WELL-00014_20160304155906,WELL-00014,30,1,-5,baseline,T-TPT,64,176,60,0,0.1953,
WELL-00014_20160304155906,WELL-00014,31,2,-4,baseline,P-ANULAR,124,116,60,0,0.6949,
WELL-00014_20160304155906,WELL-00014,31,2,-4,baseline,P-JUS-CKGL,124,116,60,0,0.4153,
WELL-00014_20160304155906,WELL-00014,31,2,-4,baseline,P-MON-CKP,124,116,60,0,0.6971,
WELL-00014_20160304155906,WELL-00014,31,2,-4,baseline,P-PDG,124,116,60,0,0.2295,
WELL-00014_20160304155906,WELL-00014,31,2,-4,baseline,P-TPT,124,116,60,0,0.1553,
WELL-00014_20160304155906,WELL-00014,31,2,-4,baseline,T-TPT,124,116,60,0,0.6034,
WELL-00014_20160304155906,WELL-00014,32,3,-3,baseline,P-ANULAR,184,56,60,0,0.4715,
WELL-00014_20160304155906,WELL-00014,32,3,-3,baseline,P-JUS-CKGL,184,56,60,0,0.1901,
WELL-00014_20160304155906,WELL-00014,32,3,-3,baseline,P-MON-CKP,184,56,60,0,0.368,
WELL-00014_20160304155906,WELL-00014,32,3,-3,baseline,P-PDG,184,56,60,0,0.2488,
WELL-00014_20160304155906,WELL-00014,32,3,-3,baseline,P-TPT,184,56,60,0,0.1854,
WELL-00014_20160304155906,WELL-00014,32,3,-3,baseline,T-TPT,184,56,60,0,0.1528,
WELL-00014_20160304155906,WELL-00014,33,4,-2,pre,P-ANULAR,240,0,60,0,0.1255,
WELL-00014_20160304155906,WELL-00014,33,4,-2,pre,P-JUS-CKGL,240,0,60,0,0.1973,
WELL-00014_20160304155906,WELL-00014,33,4,-2,pre,P-MON-CKP,240,0,60,0,0.2683,
WELL-00014_20160304155906,WELL-00014,33,4,-2,pre,P-PDG,240,0,60,0,0.2786,
WELL-00014_20160304155906,WELL-00014,33,4,-2,pre,P-TPT,240,0,60,0,0.4319,
WELL-00014_20160304155906,WELL-00014,33,4,-2,pre,T-TPT,240,0,60,0,0.2069,
WELL-00014_20160304155906,WELL-00014,34,6,0,post0,P-ANULAR,240,0,60,0,0.0705,
WELL-00014_20160304155906,WELL-00014,34,6,0,post0,P-JUS-CKGL,240,0,60,0,0.2991,
WELL-00014_20160304155906,WELL-00014,34,6,0,post0,P-MON-CKP,240,0,60,0,0.2417,
WELL-00014_20160304155906,WELL-00014,34,6,0,post0,P-PDG,240,0,60,0,0.2017,
WELL-00014_20160304155906,WELL-00014,34,6,0,post0,P-TPT,240,0,60,0,0.3082,
WELL-00014_20160304155906,WELL-00014,34,6,0,post0,T-TPT,240,0,60,0,0.0596,
WELL-00014_20160304155906,WELL-00014,35,7,1,post1,P-ANULAR,240,0,60,0,0.1104,
WELL-00014_20160304155906,WELL-00014,35,7,1,post1,P-JUS-CKGL,240,0,60,0,0.182,
WELL-00014_20160304155906,WELL-00014,35,7,1,post1,P-MON-CKP,240,0,60,0,0.2987,
WELL-00014_20160304155906,WELL-00014,35,7,1,post1,P-PDG,240,0,60,0,0.1887,
WELL-00014_20160304155906,WELL-00014,35,7,1,post1,P-TPT,240,0,60,0,0.165,
WELL-00014_20160304155906,WELL-00014,35,7,1,post1,T-TPT,240,0,60,0,0.1082,
WELL-00014_20160306070000,WELL-00014,36,0,-5,baseline,P-ANULAR,2,,60,,,"context: 2 of 240 minutes with data, fewer than 60"
WELL-00014_20160306070000,WELL-00014,36,0,-5,baseline,P-JUS-CKGL,2,,60,,,"context: 2 of 240 minutes with data, fewer than 60"
WELL-00014_20160306070000,WELL-00014,36,0,-5,baseline,P-MON-CKP,2,,60,,,"context: 2 of 240 minutes with data, fewer than 60"
WELL-00014_20160306070000,WELL-00014,36,0,-5,baseline,P-PDG,2,,60,,,"context: 2 of 240 minutes with data, fewer than 60"
WELL-00014_20160306070000,WELL-00014,36,0,-5,baseline,P-TPT,2,,60,,,"context: 2 of 240 minutes with data, fewer than 60"
WELL-00014_20160306070000,WELL-00014,36,0,-5,baseline,T-TPT,2,,60,,,"context: 2 of 240 minutes with data, fewer than 60"
WELL-00014_20160306070000,WELL-00014,37,1,-4,baseline,P-ANULAR,62,,60,,,context is constant: the surprise has no scale
WELL-00014_20160306070000,WELL-00014,37,1,-4,baseline,P-JUS-CKGL,62,178,60,0,0.9507,
WELL-00014_20160306070000,WELL-00014,37,1,-4,baseline,P-MON-CKP,62,178,60,0,0.3016,
WELL-00014_20160306070000,WELL-00014,37,1,-4,baseline,P-PDG,62,178,60,0,0.5415,
WELL-00014_20160306070000,WELL-00014,37,1,-4,baseline,P-TPT,62,178,60,0,0.1643,
WELL-00014_20160306070000,WELL-00014,37,1,-4,baseline,T-TPT,62,178,60,0,0.1957,
WELL-00014_20160306070000,WELL-00014,38,2,-3,baseline,P-ANULAR,122,,60,,,context is constant: the surprise has no scale
WELL-00014_20160306070000,WELL-00014,38,2,-3,baseline,P-JUS-CKGL,122,118,60,0,1.8864,
WELL-00014_20160306070000,WELL-00014,38,2,-3,baseline,P-MON-CKP,122,118,60,0,0.3014,
WELL-00014_20160306070000,WELL-00014,38,2,-3,baseline,P-PDG,122,118,60,0,0.5867,
WELL-00014_20160306070000,WELL-00014,38,2,-3,baseline,P-TPT,122,118,60,0,0.1079,
WELL-00014_20160306070000,WELL-00014,38,2,-3,baseline,T-TPT,122,118,60,0,0.2381,
WELL-00014_20160306070000,WELL-00014,39,3,-2,pre,P-ANULAR,182,,60,,,context is constant: the surprise has no scale
WELL-00014_20160306070000,WELL-00014,39,3,-2,pre,P-JUS-CKGL,182,58,60,0,0.5873,
WELL-00014_20160306070000,WELL-00014,39,3,-2,pre,P-MON-CKP,182,58,60,0,0.3862,
WELL-00014_20160306070000,WELL-00014,39,3,-2,pre,P-PDG,182,58,60,0,0.3099,
WELL-00014_20160306070000,WELL-00014,39,3,-2,pre,P-TPT,182,58,60,0,0.4147,
WELL-00014_20160306070000,WELL-00014,39,3,-2,pre,T-TPT,182,58,60,0,0.4943,
WELL-00014_20160306070000,WELL-00014,40,5,0,post0,P-ANULAR,240,0,60,0,0.2627,
WELL-00014_20160306070000,WELL-00014,40,5,0,post0,P-JUS-CKGL,240,0,60,0,0.1152,
WELL-00014_20160306070000,WELL-00014,40,5,0,post0,P-MON-CKP,240,0,60,0,0.2943,
WELL-00014_20160306070000,WELL-00014,40,5,0,post0,P-PDG,240,0,60,0,0.2282,
WELL-00014_20160306070000,WELL-00014,40,5,0,post0,P-TPT,240,0,60,0,0.2553,
WELL-00014_20160306070000,WELL-00014,40,5,0,post0,T-TPT,240,0,60,0,0.2403,
WELL-00014_20160306070000,WELL-00014,41,6,1,post1,P-ANULAR,240,0,60,0,0.1645,
WELL-00014_20160306070000,WELL-00014,41,6,1,post1,P-JUS-CKGL,240,0,60,0,0.5554,
WELL-00014_20160306070000,WELL-00014,41,6,1,post1,P-MON-CKP,240,0,60,0,0.3449,
WELL-00014_20160306070000,WELL-00014,41,6,1,post1,P-PDG,240,0,60,0,0.1913,
WELL-00014_20160306070000,WELL-00014,41,6,1,post1,P-TPT,240,0,60,0,0.2139,
WELL-00014_20160306070000,WELL-00014,41,6,1,post1,T-TPT,240,0,60,0,0.1638,
WELL-00019_20120601165020,WELL-00019,42,24,-5,baseline,P-ANULAR,0,,0,,,"context: 0 of 240 minutes with data, fewer than 60"
WELL-00019_20120601165020,WELL-00019,42,24,-5,baseline,P-JUS-CKGL,240,0,60,0,0.5045,
