tool,instance,well,folder_label,onset_kind,fold,n_baseline_scored,baseline_max,pre,post0,post1,refusal
chronos-bolt-small surprise,WELL-00019_20210617032654,WELL-00019,8,transient,3,3,0.7759,0.3901,14.1266,0.3651,
chronos-bolt-small surprise,WELL-00021_20180611011218,WELL-00021,7,transient,3,2,,0.5268,0.7948,0.2696,"0 of 6 variables scored, fewer than 4; P-ANULAR: context: 52 of 240 minutes with data, fewer than 60; P-JUS-CKGL: context: 52 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 52 of 240 minutes with data, fewer than 60; P-PDG: context: 52 of 240 minutes with data, fewer than 60; P-TPT: context: 52 of 240 minutes with data, fewer than 60; T-TPT: context: 52 of 240 minutes with data, fewer than 60; baseline: 2 of 3 windows scored, no threshold"
chronos-bolt-small surprise,WELL-00021_20190403013307,WELL-00021,7,transient,3,3,0.428,0.2533,0.478,0.6375,
chronos-bolt-small surprise,WELL-00022_20180802233838,WELL-00022,7,transient,0,3,0.317,0.3125,0.7181,0.3842,
chronos-bolt-small surprise,WELL-00022_20180912025800,WELL-00022,7,transient,0,3,0.6036,0.8445,0.2728,0.3018,
chronos-bolt-small surprise,WELL-00022_20180919003240,WELL-00022,7,transient,0,3,0.4648,0.4692,0.2872,0.2555,
chronos-bolt-small surprise,WELL-00022_20180925003447,WELL-00022,7,transient,0,3,0.4303,0.2288,0.3414,0.2542,
chronos-bolt-small surprise,WELL-00022_20181007080700,WELL-00022,7,transient,0,3,0.4044,0.31,0.5035,0.3042,
chronos-bolt-small surprise,WELL-00022_20181020133850,WELL-00022,7,transient,0,3,0.3222,0.2892,0.4209,0.237,
chronos-bolt-small surprise,WELL-00022_20181026005827,WELL-00022,7,transient,0,3,0.4112,0.2896,0.4253,0.3045,
chronos-bolt-small surprise,WELL-00022_20181101193049,WELL-00022,7,transient,0,3,0.9928,0.3598,1.2574,0.2471,
chronos-bolt-small surprise,WELL-00023_20180826212652,WELL-00023,7,transient,2,0,,,,,"2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context: 0 of 240 minutes with data, fewer than 60; baseline: 0 of 3 windows scored, no threshold; post0: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context: 0 of 240 minutes with data, fewer than 60; post1: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context: 0 of 240 minutes with data, fewer than 60; pre: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context: 0 of 240 minutes with data, fewer than 60"
chronos-bolt-small surprise,WELL-00023_20181014121654,WELL-00023,7,transient,2,0,,,,,"2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale; baseline: 0 of 3 windows scored, no threshold; post0: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale; post1: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale; pre: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale"
chronos-bolt-small surprise,WELL-00023_20181019115124,WELL-00023,7,transient,2,0,,,,,"2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale; baseline: 0 of 3 windows scored, no threshold; post0: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale; post1: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale; pre: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale"
chronos-bolt-small surprise,WELL-00023_20181030045054,WELL-00023,7,transient,2,0,,,,,"2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale; baseline: 0 of 3 windows scored, no threshold; post0: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale; post1: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale; pre: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale"
chronos-bolt-small surprise,WELL-00024_20160712123044,WELL-00024,7,transient,1,3,0.46,0.2864,0.9066,0.2653,
chronos-bolt-small surprise,WELL-00024_20160720230624,WELL-00024,7,transient,1,3,0.4913,0.3325,0.3922,0.5223,
chronos-bolt-small surprise,WELL-00024_20160722105543,WELL-00024,7,transient,1,3,0.3426,0.3994,0.4003,0.3299,
chronos-bolt-small surprise,WELL-00024_20160729172014,WELL-00024,7,transient,1,2,,0.288,0.3152,0.3405,"0 of 6 variables scored, fewer than 4; P-ANULAR: context: 42 of 240 minutes with data, fewer than 60; P-JUS-CKGL: context: 42 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 42 of 240 minutes with data, fewer than 60; P-PDG: context: 42 of 240 minutes with data, fewer than 60; P-TPT: context: 42 of 240 minutes with data, fewer than 60; T-TPT: context: 42 of 240 minutes with data, fewer than 60; baseline: 2 of 3 windows scored, no threshold"
chronos-bolt-small surprise,WELL-00024_20160825100303,WELL-00024,7,transient,1,3,1.0322,0.3427,0.3664,0.4103,
chronos-bolt-small surprise,WELL-00024_20160909220000,WELL-00024,7,transient,1,3,0.4078,0.2771,0.3103,0.4775,
chronos-bolt-small surprise,WELL-00024_20161001112049,WELL-00024,7,transient,1,3,0.2886,0.2952,0.3074,0.3159,
chronos-bolt-small surprise,WELL-00024_20161026065657,WELL-00024,7,transient,1,3,0.3577,0.2133,0.3497,0.342,
chronos-bolt-small surprise,WELL-00025_20200629194141,WELL-00025,8,transient,1,3,0.4027,0.3248,1.7678,0.5349,
chronos-bolt-small surprise,WELL-00026_20160601130000,WELL-00026,8,transient,4,3,1.1082,0.3262,0.3901,0.4408,
chronos-bolt-small surprise,WELL-00026_20170207230000,WELL-00026,8,transient,4,3,0.3999,0.2904,0.3261,0.2339,
chronos-bolt-small surprise,WELL-00026_20170608230000,WELL-00026,8,transient,4,3,0.5967,0.2852,0.2866,0.3425,
chronos-bolt-small surprise,WELL-00027_20230918170106,WELL-00027,8,transient,0,0,,,,,"3 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale; baseline: 0 of 3 windows scored, no threshold; post0: 3 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale; post1: 3 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale; pre: 3 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; T-TPT: context is constant: the surprise has no scale"
chronos-bolt-small surprise,WELL-00028_20210617053128,WELL-00028,8,transient,2,3,0.371,0.3435,8.8197,0.319,
chronos-bolt-small surprise,WELL-00029_20201020231724,WELL-00029,8,transient,2,3,0.3812,0.2386,156.0914,0.7848,
chronos-bolt-small surprise,WELL-00030_20141108012623,WELL-00030,8,transient,2,3,0.5341,0.3163,7.4998,0.383,
chronos-bolt-small surprise,WELL-00031_20140403170404,WELL-00031,8,transient,1,0,,,,,"2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context is constant: the surprise has no scale; T-TPT: context: 0 of 240 minutes with data, fewer than 60; baseline: 0 of 3 windows scored, no threshold; post0: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context is constant: the surprise has no scale; T-TPT: context: 0 of 240 minutes with data, fewer than 60; post1: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context is constant: the surprise has no scale; T-TPT: context: 0 of 240 minutes with data, fewer than 60; pre: 2 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 0 of 240 minutes with data, fewer than 60; P-TPT: context is constant: the surprise has no scale; T-TPT: context: 0 of 240 minutes with data, fewer than 60"
chronos-bolt-small surprise,WELL-00032_20110830235321,WELL-00032,8,transient,0,0,,,,,"3 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale; T-TPT: context is constant: the surprise has no scale; baseline: 0 of 3 windows scored, no threshold; post0: 3 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale; T-TPT: context is constant: the surprise has no scale; post1: 3 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale; T-TPT: context is constant: the surprise has no scale; pre: 3 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale; T-TPT: context is constant: the surprise has no scale"
chronos-bolt-small surprise,WELL-00037_20181011071238,WELL-00037,9,transient,3,2,,0.2647,0.3782,0.3699,"0 of 6 variables scored, fewer than 4; P-ANULAR: context: 0 of 240 minutes with data, fewer than 60; P-JUS-CKGL: context: 49 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 49 of 240 minutes with data, fewer than 60; P-PDG: context: 49 of 240 minutes with data, fewer than 60; P-TPT: context: 49 of 240 minutes with data, fewer than 60; T-TPT: context: 49 of 240 minutes with data, fewer than 60; baseline: 2 of 3 windows scored, no threshold"
chronos-bolt-small surprise,WELL-00040_20181013160242,WELL-00040,9,transient,0,0,,,,,"0 of 6 variables scored, fewer than 4; P-ANULAR: context: 57 of 240 minutes with data, fewer than 60; P-JUS-CKGL: context: 57 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 57 of 240 minutes with data, fewer than 60; P-PDG: context: 57 of 240 minutes with data, fewer than 60; P-TPT: context: 57 of 240 minutes with data, fewer than 60; T-TPT: context: 57 of 240 minutes with data, fewer than 60; 3 of 6 variables scored, fewer than 4; P-PDG: context is constant: the surprise has no scale; P-TPT: context is constant: the surprise has no scale; T-TPT: context is constant: the surprise has no scale; baseline: 0 of 3 windows scored, no threshold; post0: 3 of 6 variables scored, fewer than 4; P-PDG: context is constant: the surprise has no scale; P-TPT: context is constant: the surprise has no scale; T-TPT: context is constant: the surprise has no scale; post1: 3 of 6 variables scored, fewer than 4; P-PDG: context is constant: the surprise has no scale; P-TPT: context is constant: the surprise has no scale; T-TPT: context is constant: the surprise has no scale; pre: 3 of 6 variables scored, fewer than 4; P-PDG: context is constant: the surprise has no scale; P-TPT: context is constant: the surprise has no scale; T-TPT: context is constant: the surprise has no scale"
chronos-bolt-small surprise,WELL-00041_20181013160201,WELL-00041,9,transient,1,2,,0.1841,0.3667,0.6457,"0 of 6 variables scored, fewer than 4; P-ANULAR: context: 59 of 240 minutes with data, fewer than 60; P-JUS-CKGL: context: 59 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 59 of 240 minutes with data, fewer than 60; P-PDG: context: 59 of 240 minutes with data, fewer than 60; P-TPT: context: 59 of 240 minutes with data, fewer than 60; T-TPT: context: 59 of 240 minutes with data, fewer than 60; baseline: 2 of 3 windows scored, no threshold"
chronos-bolt-small surprise,WELL-00042_20141217142745,WELL-00042,9,transient,4,3,0.6087,0.4158,0.7689,0.5494,
chronos-bolt-small surprise,WELL-00042_20141221190219,WELL-00042,9,transient,4,2,,0.365,0.3304,0.2455,"0 of 6 variables scored, fewer than 4; P-ANULAR: context: 1 of 240 minutes with data, fewer than 60; P-JUS-CKGL: context: 1 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 1 of 240 minutes with data, fewer than 60; P-PDG: context: 1 of 240 minutes with data, fewer than 60; P-TPT: context: 1 of 240 minutes with data, fewer than 60; T-TPT: context: 1 of 240 minutes with data, fewer than 60; baseline: 2 of 3 windows scored, no threshold"
clock,WELL-00001_20140124083303,WELL-00001,1,transient,4,3,10.0,11.0,13.0,14.0,
clock,WELL-00001_20170226130146,WELL-00001,7,transient,4,3,7.0,8.0,10.0,11.0,
clock,WELL-00002_20140212160333,WELL-00002,6,transient,3,3,2.0,3.0,5.0,6.0,
clock,WELL-00006_20170731170930,WELL-00006,1,transient,2,3,13.0,14.0,16.0,17.0,
clock,WELL-00006_20180617190257,WELL-00006,1,transient,2,3,9.0,10.0,12.0,13.0,
clock,WELL-00014_20160304155906,WELL-00014,9,transient,2,3,3.0,4.0,6.0,7.0,
clock,WELL-00014_20160306070000,WELL-00014,9,transient,2,3,2.0,3.0,5.0,6.0,
clock,WELL-00019_20120601165020,WELL-00019,8,transient,3,3,26.0,27.0,29.0,30.0,
clock,WELL-00019_20141117190526,WELL-00019,8,transient,3,3,9.0,10.0,12.0,13.0,
clock,WELL-00019_20150614025713,WELL-00019,8,transient,3,3,12.0,13.0,15.0,16.0,
clock,WELL-00019_20210617032654,WELL-00019,8,transient,3,3,12.0,13.0,15.0,16.0,
clock,WELL-00021_20180611011218,WELL-00021,7,transient,3,3,2.0,3.0,5.0,6.0,
clock,WELL-00021_20190403013307,WELL-00021,7,transient,3,3,5.0,6.0,8.0,9.0,
clock,WELL-00022_20180802233838,WELL-00022,7,transient,0,3,20.0,21.0,23.0,24.0,
clock,WELL-00022_20180912025800,WELL-00022,7,transient,0,3,5.0,6.0,8.0,9.0,
clock,WELL-00022_20180919003240,WELL-00022,7,transient,0,3,7.0,8.0,10.0,11.0,
clock,WELL-00022_20180925003447,WELL-00022,7,transient,0,3,11.0,12.0,14.0,15.0,
clock,WELL-00022_20181007080700,WELL-00022,7,transient,0,3,19.0,20.0,22.0,23.0,
clock,WELL-00022_20181020133850,WELL-00022,7,transient,0,3,7.0,8.0,10.0,11.0,
clock,WELL-00022_20181026005827,WELL-00022,7,transient,0,3,26.0,27.0,29.0,30.0,
clock,WELL-00022_20181101193049,WELL-00022,7,transient,0,3,4.0,5.0,7.0,8.0,
clock,WELL-00023_20180826212652,WELL-00023,7,transient,2,3,6.0,7.0,9.0,10.0,
clock,WELL-00023_20181014121654,WELL-00023,7,transient,2,3,16.0,17.0,19.0,20.0,
clock,WELL-00023_20181019115124,WELL-00023,7,transient,2,3,16.0,17.0,19.0,20.0,
clock,WELL-00023_20181030045054,WELL-00023,7,transient,2,3,4.0,5.0,7.0,8.0,
clock,WELL-00024_20160712123044,WELL-00024,7,transient,1,3,5.0,6.0,8.0,9.0,
clock,WELL-00024_20160720230624,WELL-00024,7,transient,1,3,9.0,10.0,12.0,13.0,
clock,WELL-00024_20160722105543,WELL-00024,7,transient,1,3,7.0,8.0,10.0,11.0,
clock,WELL-00024_20160729172014,WELL-00024,7,transient,1,3,2.0,3.0,5.0,6.0,
clock,WELL-00024_20160825100303,WELL-00024,7,transient,1,3,7.0,8.0,10.0,11.0,
clock,WELL-00024_20160909220000,WELL-00024,7,transient,1,3,16.0,17.0,19.0,20.0,
clock,WELL-00024_20161001112049,WELL-00024,7,transient,1,3,3.0,4.0,6.0,7.0,
clock,WELL-00024_20161026065657,WELL-00024,7,transient,1,3,4.0,5.0,7.0,8.0,
clock,WELL-00025_20200629194141,WELL-00025,8,transient,1,3,21.0,22.0,24.0,25.0,
clock,WELL-00026_20160601130000,WELL-00026,8,transient,4,3,3.0,4.0,6.0,7.0,
clock,WELL-00026_20170207230000,WELL-00026,8,transient,4,3,34.0,35.0,37.0,38.0,
clock,WELL-00026_20170608230000,WELL-00026,8,transient,4,3,63.0,64.0,66.0,67.0,
clock,WELL-00027_20230918170106,WELL-00027,8,transient,0,3,11.0,12.0,14.0,15.0,
clock,WELL-00028_20210617053128,WELL-00028,8,transient,2,3,10.0,11.0,13.0,14.0,
clock,WELL-00029_20201020231724,WELL-00029,8,transient,2,3,13.0,14.0,16.0,17.0,
clock,WELL-00030_20141108012623,WELL-00030,8,transient,2,3,6.0,7.0,9.0,10.0,
clock,WELL-00031_20140403170404,WELL-00031,8,transient,1,3,5.0,6.0,8.0,9.0,
clock,WELL-00032_20110830235321,WELL-00032,8,transient,0,3,8.0,9.0,11.0,12.0,
clock,WELL-00037_20181011071238,WELL-00037,9,transient,3,3,2.0,3.0,5.0,6.0,
clock,WELL-00040_20181013160242,WELL-00040,9,transient,0,3,2.0,3.0,5.0,6.0,
clock,WELL-00041_20181013160201,WELL-00041,9,transient,1,3,2.0,3.0,5.0,6.0,
clock,WELL-00042_20141217142745,WELL-00042,9,transient,4,3,3.0,4.0,6.0,7.0,
clock,WELL-00042_20141221190219,WELL-00042,9,transient,4,3,2.0,3.0,5.0,6.0,
clock (same instances),WELL-00001_20140124083303,WELL-00001,1,transient,4,3,10.0,11.0,13.0,14.0,
clock (same instances),WELL-00001_20170226130146,WELL-00001,7,transient,4,3,7.0,8.0,10.0,11.0,
clock (same instances),WELL-00006_20170731170930,WELL-00006,1,transient,2,3,13.0,14.0,16.0,17.0,
clock (same instances),WELL-00006_20180617190257,WELL-00006,1,transient,2,3,9.0,10.0,12.0,13.0,
clock (same instances),WELL-00014_20160304155906,WELL-00014,9,transient,2,3,3.0,4.0,6.0,7.0,
clock (same instances),WELL-00019_20120601165020,WELL-00019,8,transient,3,3,26.0,27.0,29.0,30.0,
clock (same instances),WELL-00019_20141117190526,WELL-00019,8,transient,3,3,9.0,10.0,12.0,13.0,
clock (same instances),WELL-00019_20150614025713,WELL-00019,8,transient,3,3,12.0,13.0,15.0,16.0,
clock (same instances),WELL-00019_20210617032654,WELL-00019,8,transient,3,3,12.0,13.0,15.0,16.0,
clock (same instances),WELL-00021_20190403013307,WELL-00021,7,transient,3,3,5.0,6.0,8.0,9.0,
clock (same instances),WELL-00022_20180802233838,WELL-00022,7,transient,0,3,20.0,21.0,23.0,24.0,
clock (same instances),WELL-00022_20180912025800,WELL-00022,7,transient,0,3,5.0,6.0,8.0,9.0,
clock (same instances),WELL-00022_20180919003240,WELL-00022,7,transient,0,3,7.0,8.0,10.0,11.0,
clock (same instances),WELL-00022_20180925003447,WELL-00022,7,transient,0,3,11.0,12.0,14.0,15.0,
clock (same instances),WELL-00022_20181007080700,WELL-00022,7,transient,0,3,19.0,20.0,22.0,23.0,
clock (same instances),WELL-00022_20181020133850,WELL-00022,7,transient,0,3,7.0,8.0,10.0,11.0,
clock (same instances),WELL-00022_20181026005827,WELL-00022,7,transient,0,3,26.0,27.0,29.0,30.0,
clock (same instances),WELL-00022_20181101193049,WELL-00022,7,transient,0,3,4.0,5.0,7.0,8.0,
clock (same instances),WELL-00024_20160712123044,WELL-00024,7,transient,1,3,5.0,6.0,8.0,9.0,
clock (same instances),WELL-00024_20160720230624,WELL-00024,7,transient,1,3,9.0,10.0,12.0,13.0,
clock (same instances),WELL-00024_20160722105543,WELL-00024,7,transient,1,3,7.0,8.0,10.0,11.0,
clock (same instances),WELL-00024_20160825100303,WELL-00024,7,transient,1,3,7.0,8.0,10.0,11.0,
clock (same instances),WELL-00024_20160909220000,WELL-00024,7,transient,1,3,16.0,17.0,19.0,20.0,
clock (same instances),WELL-00024_20161001112049,WELL-00024,7,transient,1,3,3.0,4.0,6.0,7.0,
clock (same instances),WELL-00024_20161026065657,WELL-00024,7,transient,1,3,4.0,5.0,7.0,8.0,
clock (same instances),WELL-00025_20200629194141,WELL-00025,8,transient,1,3,21.0,22.0,24.0,25.0,
clock (same instances),WELL-00026_20160601130000,WELL-00026,8,transient,4,3,3.0,4.0,6.0,7.0,
clock (same instances),WELL-00026_20170207230000,WELL-00026,8,transient,4,3,34.0,35.0,37.0,38.0,
clock (same instances),WELL-00026_20170608230000,WELL-00026,8,transient,4,3,63.0,64.0,66.0,67.0,
clock (same instances),WELL-00028_20210617053128,WELL-00028,8,transient,2,3,10.0,11.0,13.0,14.0,
clock (same instances),WELL-00029_20201020231724,WELL-00029,8,transient,2,3,13.0,14.0,16.0,17.0,
clock (same instances),WELL-00030_20141108012623,WELL-00030,8,transient,2,3,6.0,7.0,9.0,10.0,
clock (same instances),WELL-00042_20141217142745,WELL-00042,9,transient,4,3,3.0,4.0,6.0,7.0,
