bed,group,instance,well,folder_label,method,delta,n_stream_windows,n_usable_variables,first_fault_window,alarm_window,alarm_subgroup,alarm_label,outcome,delay_windows,max_log10_martingale,refusal
aligned,aligned,WELL-00006_20180617190257,WELL-00006,1,clock,0.01,3,3.0,12.0,10.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00006_20180617190257,WELL-00006,1,clock,0.05,3,3.0,12.0,10.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00006_20180617190257,WELL-00006,1,conformal,0.01,3,3.0,12.0,10.0,9.0,0.0,false_alarm,,115.3644,
aligned,aligned,WELL-00006_20180617190257,WELL-00006,1,conformal,0.05,3,3.0,12.0,10.0,6.0,0.0,false_alarm,,115.3644,
aligned,aligned,WELL-00006_20180617190257,WELL-00006,1,reversed,0.01,3,3.0,,,,,none,,-0.301,
aligned,aligned,WELL-00006_20180617190257,WELL-00006,1,reversed,0.05,3,3.0,,,,,none,,-0.301,
aligned,aligned,WELL-00006_20180617190257,WELL-00006,1,worst_baseline,,3,3.0,12.0,12.0,,1.0,detection,0.0,,
aligned,aligned,WELL-00014_20160304155906,WELL-00014,9,clock,0.01,3,6.0,6.0,4.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00014_20160304155906,WELL-00014,9,clock,0.05,3,6.0,6.0,4.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00014_20160304155906,WELL-00014,9,conformal,0.01,3,6.0,6.0,4.0,12.0,0.0,false_alarm,,168.3273,
aligned,aligned,WELL-00014_20160304155906,WELL-00014,9,conformal,0.05,3,6.0,6.0,4.0,10.0,0.0,false_alarm,,168.3273,
aligned,aligned,WELL-00014_20160304155906,WELL-00014,9,reversed,0.01,3,6.0,,,,,none,,-0.301,
aligned,aligned,WELL-00014_20160304155906,WELL-00014,9,reversed,0.05,3,6.0,,,,,none,,-0.301,
aligned,aligned,WELL-00014_20160304155906,WELL-00014,9,worst_baseline,,3,6.0,6.0,4.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00014_20160306070000,WELL-00014,9,clock,0.01,3,5.0,5.0,3.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00014_20160306070000,WELL-00014,9,clock,0.05,3,5.0,5.0,3.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00014_20160306070000,WELL-00014,9,conformal,0.01,3,5.0,5.0,3.0,5.0,0.0,false_alarm,,54.1134,
aligned,aligned,WELL-00014_20160306070000,WELL-00014,9,conformal,0.05,3,5.0,5.0,3.0,4.0,0.0,false_alarm,,54.1134,
aligned,aligned,WELL-00014_20160306070000,WELL-00014,9,reversed,0.01,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00014_20160306070000,WELL-00014,9,reversed,0.05,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00014_20160306070000,WELL-00014,9,worst_baseline,,3,5.0,5.0,3.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00019_20120601165020,WELL-00019,8,clock,0.01,3,5.0,29.0,27.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00019_20120601165020,WELL-00019,8,clock,0.05,3,5.0,29.0,27.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00019_20120601165020,WELL-00019,8,conformal,0.01,3,5.0,29.0,29.0,8.0,1.0,detection,0.0,110.4485,
aligned,aligned,WELL-00019_20120601165020,WELL-00019,8,conformal,0.05,3,5.0,29.0,29.0,6.0,1.0,detection,0.0,110.4485,
aligned,aligned,WELL-00019_20120601165020,WELL-00019,8,reversed,0.01,3,5.0,,,,,none,,-0.244,
aligned,aligned,WELL-00019_20120601165020,WELL-00019,8,reversed,0.05,3,5.0,,,,,none,,-0.244,
aligned,aligned,WELL-00019_20120601165020,WELL-00019,8,worst_baseline,,3,5.0,29.0,29.0,,1.0,detection,0.0,,
aligned,aligned,WELL-00019_20141117190526,WELL-00019,8,clock,0.01,3,5.0,12.0,10.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00019_20141117190526,WELL-00019,8,clock,0.05,3,5.0,12.0,10.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00019_20141117190526,WELL-00019,8,conformal,0.01,3,5.0,12.0,12.0,47.0,1.0,detection,0.0,27.4629,
aligned,aligned,WELL-00019_20141117190526,WELL-00019,8,conformal,0.05,3,5.0,12.0,12.0,43.0,1.0,detection,0.0,27.4629,
aligned,aligned,WELL-00019_20141117190526,WELL-00019,8,reversed,0.01,3,5.0,,,,,none,,0.2746,
aligned,aligned,WELL-00019_20141117190526,WELL-00019,8,reversed,0.05,3,5.0,,,,,none,,0.2746,
aligned,aligned,WELL-00019_20141117190526,WELL-00019,8,worst_baseline,,3,5.0,12.0,10.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00019_20150614025713,WELL-00019,8,clock,0.01,3,5.0,15.0,13.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00019_20150614025713,WELL-00019,8,clock,0.05,3,5.0,15.0,13.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00019_20150614025713,WELL-00019,8,conformal,0.01,3,5.0,15.0,15.0,17.0,1.0,detection,0.0,94.971,
aligned,aligned,WELL-00019_20150614025713,WELL-00019,8,conformal,0.05,3,5.0,15.0,15.0,15.0,1.0,detection,0.0,94.971,
aligned,aligned,WELL-00019_20150614025713,WELL-00019,8,reversed,0.01,3,5.0,,12.0,7.0,,alarm,,2.8599,
aligned,aligned,WELL-00019_20150614025713,WELL-00019,8,reversed,0.05,3,5.0,,12.0,4.0,,alarm,,2.8599,
aligned,aligned,WELL-00019_20150614025713,WELL-00019,8,worst_baseline,,3,5.0,15.0,15.0,,1.0,detection,0.0,,
aligned,aligned,WELL-00019_20210617032654,WELL-00019,8,clock,0.01,3,2.0,15.0,13.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00019_20210617032654,WELL-00019,8,clock,0.05,3,2.0,15.0,13.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00019_20210617032654,WELL-00019,8,conformal,0.01,3,2.0,15.0,15.0,10.0,1.0,detection,0.0,33.9476,
aligned,aligned,WELL-00019_20210617032654,WELL-00019,8,conformal,0.05,3,2.0,15.0,15.0,9.0,1.0,detection,0.0,33.9476,
aligned,aligned,WELL-00019_20210617032654,WELL-00019,8,reversed,0.01,3,2.0,,,,,none,,-0.1721,
aligned,aligned,WELL-00019_20210617032654,WELL-00019,8,reversed,0.05,3,2.0,,,,,none,,-0.1721,
aligned,aligned,WELL-00019_20210617032654,WELL-00019,8,worst_baseline,,3,2.0,15.0,15.0,,1.0,detection,0.0,,
aligned,aligned,WELL-00021_20180611011218,WELL-00021,7,clock,0.01,3,5.0,5.0,3.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00021_20180611011218,WELL-00021,7,clock,0.05,3,5.0,5.0,3.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00021_20180611011218,WELL-00021,7,conformal,0.01,3,5.0,5.0,3.0,15.0,0.0,false_alarm,,78.444,
aligned,aligned,WELL-00021_20180611011218,WELL-00021,7,conformal,0.05,3,5.0,5.0,3.0,13.0,0.0,false_alarm,,78.444,
aligned,aligned,WELL-00021_20180611011218,WELL-00021,7,reversed,0.01,3,5.0,,,,,none,,-0.2815,
aligned,aligned,WELL-00021_20180611011218,WELL-00021,7,reversed,0.05,3,5.0,,,,,none,,-0.2815,
aligned,aligned,WELL-00021_20180611011218,WELL-00021,7,worst_baseline,,3,5.0,5.0,3.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00021_20190403013307,WELL-00021,7,clock,0.01,3,5.0,8.0,6.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00021_20190403013307,WELL-00021,7,clock,0.05,3,5.0,8.0,6.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00021_20190403013307,WELL-00021,7,conformal,0.01,3,5.0,8.0,6.0,3.0,0.0,false_alarm,,171.4322,
aligned,aligned,WELL-00021_20190403013307,WELL-00021,7,conformal,0.05,3,5.0,8.0,6.0,2.0,0.0,false_alarm,,171.4322,
aligned,aligned,WELL-00021_20190403013307,WELL-00021,7,reversed,0.01,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00021_20190403013307,WELL-00021,7,reversed,0.05,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00021_20190403013307,WELL-00021,7,worst_baseline,,3,5.0,8.0,6.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00022_20180802233838,WELL-00022,7,clock,0.01,3,5.0,23.0,21.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20180802233838,WELL-00022,7,clock,0.05,3,5.0,23.0,21.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20180802233838,WELL-00022,7,conformal,0.01,3,5.0,23.0,21.0,8.0,0.0,false_alarm,,6.2338,
aligned,aligned,WELL-00022_20180802233838,WELL-00022,7,conformal,0.05,3,5.0,23.0,21.0,5.0,0.0,false_alarm,,6.2338,
aligned,aligned,WELL-00022_20180802233838,WELL-00022,7,reversed,0.01,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00022_20180802233838,WELL-00022,7,reversed,0.05,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00022_20180802233838,WELL-00022,7,worst_baseline,,3,5.0,23.0,21.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00022_20180912025800,WELL-00022,7,clock,0.01,3,5.0,8.0,6.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20180912025800,WELL-00022,7,clock,0.05,3,5.0,8.0,6.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20180912025800,WELL-00022,7,conformal,0.01,3,5.0,8.0,,,,none,,1.6279,
aligned,aligned,WELL-00022_20180912025800,WELL-00022,7,conformal,0.05,3,5.0,8.0,6.0,2.0,0.0,false_alarm,,1.6279,
aligned,aligned,WELL-00022_20180912025800,WELL-00022,7,reversed,0.01,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00022_20180912025800,WELL-00022,7,reversed,0.05,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00022_20180912025800,WELL-00022,7,worst_baseline,,3,5.0,8.0,6.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00022_20180919003240,WELL-00022,7,clock,0.01,3,5.0,10.0,8.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20180919003240,WELL-00022,7,clock,0.05,3,5.0,10.0,8.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20180919003240,WELL-00022,7,conformal,0.01,3,5.0,10.0,8.0,54.0,0.0,false_alarm,,4.1809,
aligned,aligned,WELL-00022_20180919003240,WELL-00022,7,conformal,0.05,3,5.0,10.0,8.0,45.0,0.0,false_alarm,,4.1809,
aligned,aligned,WELL-00022_20180919003240,WELL-00022,7,reversed,0.01,3,5.0,,,,,none,,-0.2084,
aligned,aligned,WELL-00022_20180919003240,WELL-00022,7,reversed,0.05,3,5.0,,,,,none,,-0.2084,
aligned,aligned,WELL-00022_20180919003240,WELL-00022,7,worst_baseline,,3,5.0,10.0,,,,none,,,
aligned,aligned,WELL-00022_20180925003447,WELL-00022,7,clock,0.01,3,5.0,14.0,12.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20180925003447,WELL-00022,7,clock,0.05,3,5.0,14.0,12.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20180925003447,WELL-00022,7,conformal,0.01,3,5.0,14.0,,,,none,,0.5515,
aligned,aligned,WELL-00022_20180925003447,WELL-00022,7,conformal,0.05,3,5.0,14.0,,,,none,,0.5515,
aligned,aligned,WELL-00022_20180925003447,WELL-00022,7,reversed,0.01,3,5.0,,,,,none,,-0.0222,
aligned,aligned,WELL-00022_20180925003447,WELL-00022,7,reversed,0.05,3,5.0,,,,,none,,-0.0222,
aligned,aligned,WELL-00022_20180925003447,WELL-00022,7,worst_baseline,,3,5.0,14.0,12.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00022_20181007080700,WELL-00022,7,clock,0.01,3,5.0,22.0,20.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20181007080700,WELL-00022,7,clock,0.05,3,5.0,22.0,20.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20181007080700,WELL-00022,7,conformal,0.01,3,5.0,22.0,,,,none,,0.7959,
aligned,aligned,WELL-00022_20181007080700,WELL-00022,7,conformal,0.05,3,5.0,22.0,,,,none,,0.7959,
aligned,aligned,WELL-00022_20181007080700,WELL-00022,7,reversed,0.01,3,5.0,,,,,none,,-0.2873,
aligned,aligned,WELL-00022_20181007080700,WELL-00022,7,reversed,0.05,3,5.0,,,,,none,,-0.2873,
aligned,aligned,WELL-00022_20181007080700,WELL-00022,7,worst_baseline,,3,5.0,22.0,,,,none,,,
aligned,aligned,WELL-00022_20181020133850,WELL-00022,7,clock,0.01,3,5.0,10.0,8.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20181020133850,WELL-00022,7,clock,0.05,3,5.0,10.0,8.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20181020133850,WELL-00022,7,conformal,0.01,3,5.0,10.0,8.0,44.0,0.0,false_alarm,,87.9635,
aligned,aligned,WELL-00022_20181020133850,WELL-00022,7,conformal,0.05,3,5.0,10.0,8.0,41.0,0.0,false_alarm,,87.9635,
aligned,aligned,WELL-00022_20181020133850,WELL-00022,7,reversed,0.01,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00022_20181020133850,WELL-00022,7,reversed,0.05,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00022_20181020133850,WELL-00022,7,worst_baseline,,3,5.0,10.0,10.0,,1.0,detection,0.0,,
aligned,aligned,WELL-00022_20181026005827,WELL-00022,7,clock,0.01,3,5.0,29.0,27.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20181026005827,WELL-00022,7,clock,0.05,3,5.0,29.0,27.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20181026005827,WELL-00022,7,conformal,0.01,3,5.0,29.0,29.0,9.0,1.0,detection,0.0,31.6571,
aligned,aligned,WELL-00022_20181026005827,WELL-00022,7,conformal,0.05,3,5.0,29.0,29.0,7.0,1.0,detection,0.0,31.6571,
aligned,aligned,WELL-00022_20181026005827,WELL-00022,7,reversed,0.01,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00022_20181026005827,WELL-00022,7,reversed,0.05,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00022_20181026005827,WELL-00022,7,worst_baseline,,3,5.0,29.0,29.0,,1.0,detection,0.0,,
aligned,aligned,WELL-00022_20181101193049,WELL-00022,7,clock,0.01,3,5.0,7.0,5.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20181101193049,WELL-00022,7,clock,0.05,3,5.0,7.0,5.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00022_20181101193049,WELL-00022,7,conformal,0.01,3,5.0,7.0,7.0,6.0,1.0,detection,0.0,5.2915,
aligned,aligned,WELL-00022_20181101193049,WELL-00022,7,conformal,0.05,3,5.0,7.0,7.0,4.0,1.0,detection,0.0,5.2915,
aligned,aligned,WELL-00022_20181101193049,WELL-00022,7,reversed,0.01,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00022_20181101193049,WELL-00022,7,reversed,0.05,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00022_20181101193049,WELL-00022,7,worst_baseline,,3,5.0,7.0,5.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00023_20180826212652,WELL-00023,7,clock,0.01,3,2.0,9.0,7.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00023_20180826212652,WELL-00023,7,clock,0.05,3,2.0,9.0,7.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00023_20180826212652,WELL-00023,7,conformal,0.01,3,2.0,9.0,7.0,8.0,0.0,false_alarm,,16.9951,
aligned,aligned,WELL-00023_20180826212652,WELL-00023,7,conformal,0.05,3,2.0,9.0,7.0,5.0,0.0,false_alarm,,16.9951,
aligned,aligned,WELL-00023_20180826212652,WELL-00023,7,reversed,0.01,3,2.0,,,,,none,,-0.301,
aligned,aligned,WELL-00023_20180826212652,WELL-00023,7,reversed,0.05,3,2.0,,,,,none,,-0.301,
aligned,aligned,WELL-00023_20180826212652,WELL-00023,7,worst_baseline,,3,2.0,9.0,,,,none,,,
aligned,aligned,WELL-00023_20181014121654,WELL-00023,7,clock,0.01,3,2.0,19.0,17.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00023_20181014121654,WELL-00023,7,clock,0.05,3,2.0,19.0,17.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00023_20181014121654,WELL-00023,7,conformal,0.01,3,2.0,19.0,17.0,5.0,0.0,false_alarm,,104.8081,
aligned,aligned,WELL-00023_20181014121654,WELL-00023,7,conformal,0.05,3,2.0,19.0,17.0,4.0,0.0,false_alarm,,104.8081,
aligned,aligned,WELL-00023_20181014121654,WELL-00023,7,reversed,0.01,3,2.0,,,,,none,,-0.301,
aligned,aligned,WELL-00023_20181014121654,WELL-00023,7,reversed,0.05,3,2.0,,,,,none,,-0.301,
aligned,aligned,WELL-00023_20181014121654,WELL-00023,7,worst_baseline,,3,2.0,19.0,17.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00023_20181019115124,WELL-00023,7,clock,0.01,3,2.0,19.0,17.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00023_20181019115124,WELL-00023,7,clock,0.05,3,2.0,19.0,17.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00023_20181019115124,WELL-00023,7,conformal,0.01,3,2.0,19.0,17.0,32.0,0.0,false_alarm,,56.8457,
aligned,aligned,WELL-00023_20181019115124,WELL-00023,7,conformal,0.05,3,2.0,19.0,17.0,30.0,0.0,false_alarm,,56.8457,
aligned,aligned,WELL-00023_20181019115124,WELL-00023,7,reversed,0.01,3,2.0,,,,,none,,-0.2753,
aligned,aligned,WELL-00023_20181019115124,WELL-00023,7,reversed,0.05,3,2.0,,,,,none,,-0.2753,
aligned,aligned,WELL-00023_20181019115124,WELL-00023,7,worst_baseline,,3,2.0,19.0,17.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00023_20181030045054,WELL-00023,7,clock,0.01,3,2.0,7.0,5.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00023_20181030045054,WELL-00023,7,clock,0.05,3,2.0,7.0,5.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00023_20181030045054,WELL-00023,7,conformal,0.01,3,2.0,7.0,,,,none,,0.8296,
aligned,aligned,WELL-00023_20181030045054,WELL-00023,7,conformal,0.05,3,2.0,7.0,,,,none,,0.8296,
aligned,aligned,WELL-00023_20181030045054,WELL-00023,7,reversed,0.01,3,2.0,,,,,none,,-0.2873,
aligned,aligned,WELL-00023_20181030045054,WELL-00023,7,reversed,0.05,3,2.0,,,,,none,,-0.2873,
aligned,aligned,WELL-00023_20181030045054,WELL-00023,7,worst_baseline,,3,2.0,7.0,7.0,,1.0,detection,0.0,,
aligned,aligned,WELL-00024_20160712123044,WELL-00024,7,clock,0.01,3,3.0,8.0,6.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00024_20160712123044,WELL-00024,7,clock,0.05,3,3.0,8.0,6.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00024_20160712123044,WELL-00024,7,conformal,0.01,3,3.0,8.0,,,,none,,-0.2753,
aligned,aligned,WELL-00024_20160712123044,WELL-00024,7,conformal,0.05,3,3.0,8.0,,,,none,,-0.2753,
aligned,aligned,WELL-00024_20160712123044,WELL-00024,7,reversed,0.01,3,3.0,,,,,none,,1.0305,
aligned,aligned,WELL-00024_20160712123044,WELL-00024,7,reversed,0.05,3,3.0,,,,,none,,1.0305,
aligned,aligned,WELL-00024_20160712123044,WELL-00024,7,worst_baseline,,3,3.0,8.0,,,,none,,,
aligned,aligned,WELL-00024_20160720230624,WELL-00024,7,clock,0.01,3,4.0,12.0,10.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00024_20160720230624,WELL-00024,7,clock,0.05,3,4.0,12.0,10.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00024_20160720230624,WELL-00024,7,conformal,0.01,3,4.0,12.0,10.0,14.0,0.0,false_alarm,,41.8887,
aligned,aligned,WELL-00024_20160720230624,WELL-00024,7,conformal,0.05,3,4.0,12.0,10.0,12.0,0.0,false_alarm,,41.8887,
aligned,aligned,WELL-00024_20160720230624,WELL-00024,7,reversed,0.01,3,4.0,,,,,none,,-0.301,
aligned,aligned,WELL-00024_20160720230624,WELL-00024,7,reversed,0.05,3,4.0,,,,,none,,-0.301,
aligned,aligned,WELL-00024_20160720230624,WELL-00024,7,worst_baseline,,3,4.0,12.0,10.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00024_20160722105543,WELL-00024,7,clock,0.01,3,5.0,10.0,8.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00024_20160722105543,WELL-00024,7,clock,0.05,3,5.0,10.0,8.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00024_20160722105543,WELL-00024,7,conformal,0.01,3,5.0,10.0,10.0,5.0,1.0,detection,0.0,20.9249,
aligned,aligned,WELL-00024_20160722105543,WELL-00024,7,conformal,0.05,3,5.0,10.0,10.0,3.0,1.0,detection,0.0,20.9249,
aligned,aligned,WELL-00024_20160722105543,WELL-00024,7,reversed,0.01,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00024_20160722105543,WELL-00024,7,reversed,0.05,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00024_20160722105543,WELL-00024,7,worst_baseline,,3,5.0,10.0,8.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00024_20160729172014,WELL-00024,7,clock,0.01,3,5.0,5.0,3.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00024_20160729172014,WELL-00024,7,clock,0.05,3,5.0,5.0,3.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00024_20160729172014,WELL-00024,7,conformal,0.01,3,5.0,5.0,,,,none,,1.5566,
aligned,aligned,WELL-00024_20160729172014,WELL-00024,7,conformal,0.05,3,5.0,5.0,6.0,18.0,1.0,detection,1.0,1.5566,
aligned,aligned,WELL-00024_20160729172014,WELL-00024,7,reversed,0.01,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00024_20160729172014,WELL-00024,7,reversed,0.05,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00024_20160729172014,WELL-00024,7,worst_baseline,,3,5.0,5.0,6.0,,1.0,detection,1.0,,
aligned,aligned,WELL-00024_20160825100303,WELL-00024,7,clock,0.01,3,5.0,10.0,8.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00024_20160825100303,WELL-00024,7,clock,0.05,3,5.0,10.0,8.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00024_20160825100303,WELL-00024,7,conformal,0.01,3,5.0,10.0,,,,none,,-0.2479,
aligned,aligned,WELL-00024_20160825100303,WELL-00024,7,conformal,0.05,3,5.0,10.0,,,,none,,-0.2479,
aligned,aligned,WELL-00024_20160825100303,WELL-00024,7,reversed,0.01,3,5.0,,,,,none,,-0.301,
