bed,record,scoring,position,window_index,label,role,score,refusal
3w_aligned,WELL-00002_20140212160333,static,4,5,1,stream,3.8609,
3w_aligned,WELL-00002_20140212160333,static,5,6,1,stream,3.3041,
3w_aligned,WELL-00006_20170731170930,clock,0,11,0,threshold,0.0,
3w_aligned,WELL-00006_20170731170930,clock,1,12,0,threshold,1.0,
3w_aligned,WELL-00006_20170731170930,clock,2,13,0,threshold,2.0,
3w_aligned,WELL-00006_20170731170930,clock,3,14,0,stream,3.0,
3w_aligned,WELL-00006_20170731170930,clock,4,16,1,stream,4.0,
3w_aligned,WELL-00006_20170731170930,clock,5,17,1,stream,5.0,
3w_aligned,WELL-00006_20170731170930,differenced,0,11,0,threshold,6.1454,
3w_aligned,WELL-00006_20170731170930,differenced,1,12,0,threshold,3.3436,
3w_aligned,WELL-00006_20170731170930,differenced,2,13,0,threshold,3.3436,
3w_aligned,WELL-00006_20170731170930,differenced,3,14,0,stream,0.0,
3w_aligned,WELL-00006_20170731170930,differenced,4,16,1,stream,3.1303,
3w_aligned,WELL-00006_20170731170930,differenced,5,17,1,stream,4.0181,
3w_aligned,WELL-00006_20170731170930,rolling,0,11,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00006_20170731170930,rolling,1,12,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00006_20170731170930,rolling,2,13,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00006_20170731170930,rolling,3,14,0,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00006_20170731170930,rolling,4,16,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00006_20170731170930,rolling,5,17,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00006_20170731170930,static,0,11,0,threshold,3.7962,
3w_aligned,WELL-00006_20170731170930,static,1,12,0,threshold,1.4952,
3w_aligned,WELL-00006_20170731170930,static,2,13,0,threshold,1.3415,
3w_aligned,WELL-00006_20170731170930,static,3,14,0,stream,2.2408,
3w_aligned,WELL-00006_20170731170930,static,4,16,1,stream,4.1434,
3w_aligned,WELL-00006_20170731170930,static,5,17,1,stream,6.1331,
3w_aligned,WELL-00006_20180617190257,clock,0,7,0,threshold,0.0,
3w_aligned,WELL-00006_20180617190257,clock,1,8,0,threshold,1.0,
3w_aligned,WELL-00006_20180617190257,clock,2,9,0,threshold,2.0,
3w_aligned,WELL-00006_20180617190257,clock,3,10,0,stream,3.0,
3w_aligned,WELL-00006_20180617190257,clock,4,12,1,stream,4.0,
3w_aligned,WELL-00006_20180617190257,clock,5,13,1,stream,5.0,
3w_aligned,WELL-00006_20180617190257,differenced,0,7,0,threshold,3.9788,
3w_aligned,WELL-00006_20180617190257,differenced,1,8,0,threshold,4.9803,
3w_aligned,WELL-00006_20180617190257,differenced,2,9,0,threshold,4.5852,
3w_aligned,WELL-00006_20180617190257,differenced,3,10,0,stream,135.5726,
3w_aligned,WELL-00006_20180617190257,differenced,4,12,1,stream,135.5726,
3w_aligned,WELL-00006_20180617190257,differenced,5,13,1,stream,135.5726,
3w_aligned,WELL-00006_20180617190257,rolling,0,7,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00006_20180617190257,rolling,1,8,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00006_20180617190257,rolling,2,9,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00006_20180617190257,rolling,3,10,0,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00006_20180617190257,rolling,4,12,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00006_20180617190257,rolling,5,13,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00006_20180617190257,static,0,7,0,threshold,3.4429,
3w_aligned,WELL-00006_20180617190257,static,1,8,0,threshold,3.2232,
3w_aligned,WELL-00006_20180617190257,static,2,9,0,threshold,3.5975,
3w_aligned,WELL-00006_20180617190257,static,3,10,0,stream,2.8331,
3w_aligned,WELL-00006_20180617190257,static,4,12,1,stream,6.6322,
3w_aligned,WELL-00006_20180617190257,static,5,13,1,stream,17.1611,
3w_aligned,WELL-00014_20160304155906,clock,0,1,0,threshold,0.0,
3w_aligned,WELL-00014_20160304155906,clock,1,2,0,threshold,1.0,
3w_aligned,WELL-00014_20160304155906,clock,2,3,0,threshold,2.0,
3w_aligned,WELL-00014_20160304155906,clock,3,4,0,stream,3.0,
3w_aligned,WELL-00014_20160304155906,clock,4,6,1,stream,4.0,
3w_aligned,WELL-00014_20160304155906,clock,5,7,1,stream,5.0,
3w_aligned,WELL-00014_20160304155906,differenced,0,1,0,threshold,26.6424,
3w_aligned,WELL-00014_20160304155906,differenced,1,2,0,threshold,26.6424,
3w_aligned,WELL-00014_20160304155906,differenced,2,3,0,threshold,2.4778,
3w_aligned,WELL-00014_20160304155906,differenced,3,4,0,stream,2.7837,
3w_aligned,WELL-00014_20160304155906,differenced,4,6,1,stream,3.5446,
3w_aligned,WELL-00014_20160304155906,differenced,5,7,1,stream,2.9208,
3w_aligned,WELL-00014_20160304155906,rolling,0,1,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00014_20160304155906,rolling,1,2,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00014_20160304155906,rolling,2,3,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00014_20160304155906,rolling,3,4,0,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00014_20160304155906,rolling,4,6,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00014_20160304155906,rolling,5,7,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00014_20160304155906,static,0,1,0,threshold,6.6391,
3w_aligned,WELL-00014_20160304155906,static,1,2,0,threshold,2.0196,
3w_aligned,WELL-00014_20160304155906,static,2,3,0,threshold,2.1039,
3w_aligned,WELL-00014_20160304155906,static,3,4,0,stream,3.9872,
3w_aligned,WELL-00014_20160304155906,static,4,6,1,stream,8.181,
3w_aligned,WELL-00014_20160304155906,static,5,7,1,stream,10.2779,
3w_aligned,WELL-00014_20160306070000,clock,0,0,0,threshold,0.0,
3w_aligned,WELL-00014_20160306070000,clock,1,1,0,threshold,1.0,
3w_aligned,WELL-00014_20160306070000,clock,2,2,0,threshold,2.0,
3w_aligned,WELL-00014_20160306070000,clock,3,3,0,stream,3.0,
3w_aligned,WELL-00014_20160306070000,clock,4,5,1,stream,4.0,
3w_aligned,WELL-00014_20160306070000,clock,5,6,1,stream,5.0,
3w_aligned,WELL-00014_20160306070000,differenced,0,0,0,threshold,2.8216,
3w_aligned,WELL-00014_20160306070000,differenced,1,1,0,threshold,3.1855,
3w_aligned,WELL-00014_20160306070000,differenced,2,2,0,threshold,4.3484,
3w_aligned,WELL-00014_20160306070000,differenced,3,3,0,stream,4.0836,
3w_aligned,WELL-00014_20160306070000,differenced,4,5,1,stream,6.9015,
3w_aligned,WELL-00014_20160306070000,differenced,5,6,1,stream,5.6545,
3w_aligned,WELL-00014_20160306070000,rolling,0,0,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00014_20160306070000,rolling,1,1,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00014_20160306070000,rolling,2,2,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00014_20160306070000,rolling,3,3,0,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00014_20160306070000,rolling,4,5,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00014_20160306070000,rolling,5,6,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00014_20160306070000,static,0,0,0,threshold,1.9418,
3w_aligned,WELL-00014_20160306070000,static,1,1,0,threshold,1.9617,
3w_aligned,WELL-00014_20160306070000,static,2,2,0,threshold,1.8935,
3w_aligned,WELL-00014_20160306070000,static,3,3,0,stream,3.3242,
3w_aligned,WELL-00014_20160306070000,static,4,5,1,stream,6.7313,
3w_aligned,WELL-00014_20160306070000,static,5,6,1,stream,8.6905,
3w_aligned,WELL-00019_20120601165020,clock,0,24,0,threshold,0.0,
3w_aligned,WELL-00019_20120601165020,clock,1,25,0,threshold,1.0,
3w_aligned,WELL-00019_20120601165020,clock,2,26,0,threshold,2.0,
3w_aligned,WELL-00019_20120601165020,clock,3,27,0,stream,3.0,
3w_aligned,WELL-00019_20120601165020,clock,4,29,1,stream,4.0,
3w_aligned,WELL-00019_20120601165020,clock,5,30,1,stream,5.0,
3w_aligned,WELL-00019_20120601165020,differenced,0,24,0,threshold,3.0065,
3w_aligned,WELL-00019_20120601165020,differenced,1,25,0,threshold,3.253,
3w_aligned,WELL-00019_20120601165020,differenced,2,26,0,threshold,3.374,
3w_aligned,WELL-00019_20120601165020,differenced,3,27,0,stream,3.5342,
3w_aligned,WELL-00019_20120601165020,differenced,4,29,1,stream,22.482,
3w_aligned,WELL-00019_20120601165020,differenced,5,30,1,stream,74.7593,
3w_aligned,WELL-00019_20120601165020,rolling,0,24,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20120601165020,rolling,1,25,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20120601165020,rolling,2,26,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20120601165020,rolling,3,27,0,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20120601165020,rolling,4,29,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20120601165020,rolling,5,30,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20120601165020,static,0,24,0,threshold,3.4402,
3w_aligned,WELL-00019_20120601165020,static,1,25,0,threshold,3.791,
3w_aligned,WELL-00019_20120601165020,static,2,26,0,threshold,3.4494,
3w_aligned,WELL-00019_20120601165020,static,3,27,0,stream,2.9382,
3w_aligned,WELL-00019_20120601165020,static,4,29,1,stream,154.008,
3w_aligned,WELL-00019_20120601165020,static,5,30,1,stream,189.8876,
3w_aligned,WELL-00019_20141117190526,clock,0,7,0,threshold,0.0,
3w_aligned,WELL-00019_20141117190526,clock,1,8,0,threshold,1.0,
3w_aligned,WELL-00019_20141117190526,clock,2,9,0,threshold,2.0,
3w_aligned,WELL-00019_20141117190526,clock,3,10,0,stream,3.0,
3w_aligned,WELL-00019_20141117190526,clock,4,12,1,stream,4.0,
3w_aligned,WELL-00019_20141117190526,clock,5,13,1,stream,5.0,
3w_aligned,WELL-00019_20141117190526,differenced,0,7,0,threshold,1616.3382,
3w_aligned,WELL-00019_20141117190526,differenced,1,8,0,threshold,1230.4165,
3w_aligned,WELL-00019_20141117190526,differenced,2,9,0,threshold,2311.5874,
3w_aligned,WELL-00019_20141117190526,differenced,3,10,0,stream,2311.011,
3w_aligned,WELL-00019_20141117190526,differenced,4,12,1,stream,2196.3245,
3w_aligned,WELL-00019_20141117190526,differenced,5,13,1,stream,2151.0469,
3w_aligned,WELL-00019_20141117190526,rolling,0,7,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20141117190526,rolling,1,8,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20141117190526,rolling,2,9,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20141117190526,rolling,3,10,0,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20141117190526,rolling,4,12,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20141117190526,rolling,5,13,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20141117190526,static,0,7,0,threshold,378.9366,
3w_aligned,WELL-00019_20141117190526,static,1,8,0,threshold,486.2592,
3w_aligned,WELL-00019_20141117190526,static,2,9,0,threshold,542.2261,
3w_aligned,WELL-00019_20141117190526,static,3,10,0,stream,542.2517,
3w_aligned,WELL-00019_20141117190526,static,4,12,1,stream,448.4997,
3w_aligned,WELL-00019_20141117190526,static,5,13,1,stream,561.8393,
3w_aligned,WELL-00019_20150614025713,clock,0,10,0,threshold,0.0,
3w_aligned,WELL-00019_20150614025713,clock,1,11,0,threshold,1.0,
3w_aligned,WELL-00019_20150614025713,clock,2,12,0,threshold,2.0,
3w_aligned,WELL-00019_20150614025713,clock,3,13,0,stream,3.0,
3w_aligned,WELL-00019_20150614025713,clock,4,15,1,stream,4.0,
3w_aligned,WELL-00019_20150614025713,clock,5,16,1,stream,5.0,
3w_aligned,WELL-00019_20150614025713,differenced,0,10,0,threshold,3.6875,
3w_aligned,WELL-00019_20150614025713,differenced,1,11,0,threshold,3.2147,
3w_aligned,WELL-00019_20150614025713,differenced,2,12,0,threshold,2.8932,
3w_aligned,WELL-00019_20150614025713,differenced,3,13,0,stream,2.8957,
3w_aligned,WELL-00019_20150614025713,differenced,4,15,1,stream,28.2648,
3w_aligned,WELL-00019_20150614025713,differenced,5,16,1,stream,2.1929,
3w_aligned,WELL-00019_20150614025713,rolling,0,10,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20150614025713,rolling,1,11,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20150614025713,rolling,2,12,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20150614025713,rolling,3,13,0,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20150614025713,rolling,4,15,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20150614025713,rolling,5,16,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20150614025713,static,0,10,0,threshold,7.2615,
3w_aligned,WELL-00019_20150614025713,static,1,11,0,threshold,7.29,
3w_aligned,WELL-00019_20150614025713,static,2,12,0,threshold,7.2915,
3w_aligned,WELL-00019_20150614025713,static,3,13,0,stream,7.2986,
3w_aligned,WELL-00019_20150614025713,static,4,15,1,stream,71.2455,
3w_aligned,WELL-00019_20150614025713,static,5,16,1,stream,75.7878,
3w_aligned,WELL-00019_20210617032654,clock,0,10,0,threshold,0.0,
3w_aligned,WELL-00019_20210617032654,clock,1,11,0,threshold,1.0,
3w_aligned,WELL-00019_20210617032654,clock,2,12,0,threshold,2.0,
3w_aligned,WELL-00019_20210617032654,clock,3,13,0,stream,3.0,
3w_aligned,WELL-00019_20210617032654,clock,4,15,1,stream,4.0,
3w_aligned,WELL-00019_20210617032654,clock,5,16,1,stream,5.0,
3w_aligned,WELL-00019_20210617032654,differenced,0,10,0,threshold,2.1239,
3w_aligned,WELL-00019_20210617032654,differenced,1,11,0,threshold,2.1361,
3w_aligned,WELL-00019_20210617032654,differenced,2,12,0,threshold,2.9026,
3w_aligned,WELL-00019_20210617032654,differenced,3,13,0,stream,1.7087,
3w_aligned,WELL-00019_20210617032654,differenced,4,15,1,stream,30.4663,
3w_aligned,WELL-00019_20210617032654,differenced,5,16,1,stream,7.8695,
3w_aligned,WELL-00019_20210617032654,rolling,0,10,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20210617032654,rolling,1,11,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20210617032654,rolling,2,12,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20210617032654,rolling,3,13,0,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20210617032654,rolling,4,15,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20210617032654,rolling,5,16,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00019_20210617032654,static,0,10,0,threshold,2.3685,
3w_aligned,WELL-00019_20210617032654,static,1,11,0,threshold,2.4733,
3w_aligned,WELL-00019_20210617032654,static,2,12,0,threshold,2.698,
3w_aligned,WELL-00019_20210617032654,static,3,13,0,stream,1.7538,
3w_aligned,WELL-00019_20210617032654,static,4,15,1,stream,211.8044,
3w_aligned,WELL-00019_20210617032654,static,5,16,1,stream,219.449,
3w_aligned,WELL-00021_20180611011218,clock,0,0,0,threshold,0.0,
3w_aligned,WELL-00021_20180611011218,clock,1,1,0,threshold,1.0,
3w_aligned,WELL-00021_20180611011218,clock,2,2,0,threshold,2.0,
3w_aligned,WELL-00021_20180611011218,clock,3,3,0,stream,3.0,
3w_aligned,WELL-00021_20180611011218,clock,4,5,1,stream,4.0,
3w_aligned,WELL-00021_20180611011218,clock,5,6,1,stream,5.0,
3w_aligned,WELL-00021_20180611011218,differenced,0,0,0,threshold,25.9927,
3w_aligned,WELL-00021_20180611011218,differenced,1,1,0,threshold,28.521,
3w_aligned,WELL-00021_20180611011218,differenced,2,2,0,threshold,35.7211,
3w_aligned,WELL-00021_20180611011218,differenced,3,3,0,stream,33.6128,
3w_aligned,WELL-00021_20180611011218,differenced,4,5,1,stream,35.2452,
3w_aligned,WELL-00021_20180611011218,differenced,5,6,1,stream,28.7134,
3w_aligned,WELL-00021_20180611011218,rolling,0,0,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00021_20180611011218,rolling,1,1,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
