bed,record,variable,scoring,reason,n_windows_unusable,n_windows_total
3w_aligned,WELL-00022_20180802233838,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20180912025800,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20180912025800,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20180919003240,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20180919003240,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20180925003447,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20180925003447,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20181007080700,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20181007080700,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20181020133850,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20181020133850,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20181026005827,P-JUS-CKGL,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20181026005827,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20181026005827,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20181101193049,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20181101193049,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00023_20180826212652,P-ANULAR,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20180826212652,P-PDG,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20180826212652,P-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20180826212652,T-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20180826212652,P-ANULAR,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20180826212652,P-PDG,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20180826212652,P-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20180826212652,T-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181014121654,P-ANULAR,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181014121654,P-PDG,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181014121654,P-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181014121654,T-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00023_20181014121654,P-ANULAR,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181014121654,P-PDG,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181014121654,P-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181014121654,T-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00023_20181019115124,P-ANULAR,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181019115124,P-PDG,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181019115124,P-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181019115124,T-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00023_20181019115124,P-ANULAR,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181019115124,P-PDG,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181019115124,P-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181019115124,T-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00023_20181030045054,P-ANULAR,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181030045054,P-PDG,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181030045054,P-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181030045054,T-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00023_20181030045054,P-ANULAR,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181030045054,P-PDG,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181030045054,P-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00023_20181030045054,T-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160712123044,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160712123044,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160712123044,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160712123044,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160712123044,T-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160720230624,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160720230624,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160720230624,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160722105543,P-JUS-CKGL,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160722105543,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160722105543,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160729172014,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160729172014,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160825100303,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160825100303,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160909220000,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20160909220000,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20161001112049,P-ANULAR,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20161001112049,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20161001112049,P-ANULAR,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20161001112049,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20161001112049,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20161026065657,P-PDG,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00024_20161026065657,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00024_20161026065657,P-PDG,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00024_20161026065657,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00025_20200629194141,P-JUS-CKGL,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00025_20200629194141,P-JUS-CKGL,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00026_20160601130000,P-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00026_20160601130000,T-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00026_20160601130000,P-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00026_20160601130000,T-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00026_20170207230000,P-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00026_20170207230000,T-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00026_20170207230000,P-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00026_20170207230000,T-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00026_20170608230000,P-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00026_20170608230000,T-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00026_20170608230000,P-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00026_20170608230000,T-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00027_20230918170106,P-ANULAR,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00027_20230918170106,P-PDG,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00027_20230918170106,T-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00027_20230918170106,P-ANULAR,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00027_20230918170106,P-PDG,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00027_20230918170106,T-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00028_20210617053128,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00028_20210617053128,T-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00028_20210617053128,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00028_20210617053128,T-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00029_20201020231724,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00029_20201020231724,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00031_20140403170404,P-ANULAR,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00031_20140403170404,P-JUS-CKGL,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00031_20140403170404,P-PDG,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00031_20140403170404,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00031_20140403170404,T-TPT,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00031_20140403170404,P-ANULAR,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00031_20140403170404,P-PDG,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00031_20140403170404,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00031_20140403170404,T-TPT,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00032_20110830235321,P-ANULAR,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00032_20110830235321,P-JUS-CKGL,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00032_20110830235321,P-MON-CKP,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00032_20110830235321,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00032_20110830235321,T-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00032_20110830235321,P-ANULAR,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00032_20110830235321,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00032_20110830235321,T-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00037_20181011071238,P-ANULAR,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00037_20181011071238,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00037_20181011071238,T-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00037_20181011071238,P-ANULAR,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00037_20181011071238,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00037_20181011071238,T-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00040_20181013160242,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00040_20181013160242,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00040_20181013160242,T-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00040_20181013160242,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00040_20181013160242,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00040_20181013160242,T-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00041_20181013160201,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00041_20181013160201,T-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00041_20181013160201,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00041_20181013160201,T-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00042_20141217142745,P-JUS-CKGL,differenced,the scale over the baseline minutes is zero,6,6
3w_own_history,WELL-00001_20140124083303,P-ANULAR,differenced,the scale over the baseline minutes is zero,16,16
3w_own_history,WELL-00001_20140124083303,P-JUS-CKGL,differenced,the scale over the baseline minutes is zero,16,16
3w_own_history,WELL-00001_20140124083303,P-PDG,differenced,the scale over the baseline minutes is zero,16,16
3w_own_history,WELL-00001_20140124083303,P-TPT,differenced,the scale over the baseline minutes is zero,16,16
3w_own_history,WELL-00001_20140124083303,P-ANULAR,rolling,the scale over the baseline minutes is zero,10,13
3w_own_history,WELL-00001_20140124083303,P-JUS-CKGL,rolling,the scale over the baseline minutes is zero,13,13
3w_own_history,WELL-00001_20140124083303,P-PDG,rolling,the scale over the baseline minutes is zero,13,13
3w_own_history,WELL-00001_20140124083303,P-TPT,rolling,the scale over the baseline minutes is zero,8,13
3w_own_history,WELL-00001_20140124083303,P-ANULAR,static,the scale over the baseline minutes is zero,16,16
3w_own_history,WELL-00001_20140124083303,P-JUS-CKGL,static,the scale over the baseline minutes is zero,16,16
3w_own_history,WELL-00001_20140124083303,P-PDG,static,the scale over the baseline minutes is zero,16,16
3w_own_history,WELL-00001_20140124083303,P-TPT,static,the scale over the baseline minutes is zero,16,16
3w_own_history,WELL-00001_20170226130146,P-ANULAR,differenced,the scale over the baseline minutes is zero,20,20
3w_own_history,WELL-00001_20170226130146,P-PDG,differenced,the scale over the baseline minutes is zero,20,20
3w_own_history,WELL-00001_20170226130146,P-ANULAR,rolling,the scale over the baseline minutes is zero,1,17
3w_own_history,WELL-00001_20170226130146,P-PDG,rolling,the scale over the baseline minutes is zero,17,17
3w_own_history,WELL-00001_20170226130146,T-TPT,rolling,the scale over the baseline minutes is zero,2,17
3w_own_history,WELL-00001_20170226130146,P-PDG,static,the scale over the baseline minutes is zero,20,20
3w_own_history,WELL-00006_20170731170930,P-ANULAR,differenced,the scale over the baseline minutes is zero,26,26
3w_own_history,WELL-00006_20170731170930,P-JUS-CKGL,differenced,the scale over the baseline minutes is zero,26,26
3w_own_history,WELL-00006_20170731170930,P-MON-CKP,differenced,the scale over the baseline minutes is zero,26,26
3w_own_history,WELL-00006_20170731170930,P-PDG,differenced,the scale over the baseline minutes is zero,26,26
3w_own_history,WELL-00006_20170731170930,P-TPT,differenced,the scale over the baseline minutes is zero,26,26
3w_own_history,WELL-00006_20170731170930,P-PDG,rolling,the scale over the baseline minutes is zero,23,23
3w_own_history,WELL-00006_20170731170930,P-TPT,rolling,the scale over the baseline minutes is zero,14,23
3w_own_history,WELL-00006_20170731170930,T-TPT,rolling,the scale over the baseline minutes is zero,3,23
3w_own_history,WELL-00006_20170731170930,P-PDG,static,the scale over the baseline minutes is zero,26,26
3w_own_history,WELL-00006_20170731170930,P-TPT,static,the scale over the baseline minutes is zero,26,26
3w_own_history,WELL-00006_20180617190257,P-ANULAR,differenced,the scale over the baseline minutes is zero,14,14
3w_own_history,WELL-00006_20180617190257,P-JUS-CKGL,differenced,the scale over the baseline minutes is zero,14,14
3w_own_history,WELL-00006_20180617190257,P-PDG,differenced,the scale over the baseline minutes is zero,14,14
3w_own_history,WELL-00006_20180617190257,P-TPT,differenced,the scale over the baseline minutes is zero,14,14
3w_own_history,WELL-00006_20180617190257,P-ANULAR,rolling,the scale over the baseline minutes is zero,2,11
3w_own_history,WELL-00006_20180617190257,P-PDG,rolling,the scale over the baseline minutes is zero,11,11
3w_own_history,WELL-00006_20180617190257,P-TPT,rolling,the scale over the baseline minutes is zero,9,11
3w_own_history,WELL-00006_20180617190257,P-PDG,static,the scale over the baseline minutes is zero,14,14
3w_own_history,WELL-00006_20180620152903,P-ANULAR,differenced,the scale over the baseline minutes is zero,31,31
3w_own_history,WELL-00006_20180620152903,P-PDG,differenced,the scale over the baseline minutes is zero,31,31
3w_own_history,WELL-00006_20180620152903,P-TPT,differenced,the scale over the baseline minutes is zero,31,31
3w_own_history,WELL-00006_20180620152903,P-ANULAR,rolling,the scale over the baseline minutes is zero,5,28
3w_own_history,WELL-00006_20180620152903,P-PDG,rolling,the scale over the baseline minutes is zero,28,28
3w_own_history,WELL-00006_20180620152903,P-TPT,rolling,the scale over the baseline minutes is zero,1,28
3w_own_history,WELL-00006_20180620152903,T-TPT,rolling,the scale over the baseline minutes is zero,3,28
3w_own_history,WELL-00006_20180620152903,P-PDG,static,the scale over the baseline minutes is zero,31,31
3w_own_history,WELL-00010_20180517000402,P-ANULAR,differenced,no finite minute median over the baseline windows,20,20
3w_own_history,WELL-00010_20180517000402,P-PDG,differenced,no finite minute median over the baseline windows,20,20
3w_own_history,WELL-00010_20180517000402,P-TPT,differenced,no finite minute median over the baseline windows,20,20
3w_own_history,WELL-00010_20180517000402,P-ANULAR,rolling,no finite minute median over the baseline windows,17,17
3w_own_history,WELL-00010_20180517000402,P-PDG,rolling,no finite minute median over the baseline windows,17,17
3w_own_history,WELL-00010_20180517000402,P-TPT,rolling,no finite minute median over the baseline windows,17,17
3w_own_history,WELL-00010_20180517000402,P-ANULAR,static,no finite minute median over the baseline windows,20,20
3w_own_history,WELL-00010_20180517000402,P-PDG,static,no finite minute median over the baseline windows,20,20
3w_own_history,WELL-00010_20180517000402,P-TPT,static,no finite minute median over the baseline windows,20,20
3w_own_history,WELL-00010_20180723134436,P-ANULAR,differenced,no finite minute median over the baseline windows,23,23
3w_own_history,WELL-00010_20180723134436,P-PDG,differenced,no finite minute median over the baseline windows,23,23
3w_own_history,WELL-00010_20180723134436,P-TPT,differenced,no finite minute median over the baseline windows,23,23
3w_own_history,WELL-00010_20180723134436,P-ANULAR,rolling,no finite minute median over the baseline windows,20,20
3w_own_history,WELL-00010_20180723134436,P-PDG,rolling,no finite minute median over the baseline windows,20,20
3w_own_history,WELL-00010_20180723134436,P-TPT,rolling,no finite minute median over the baseline windows,20,20
3w_own_history,WELL-00010_20180723134436,P-ANULAR,static,no finite minute median over the baseline windows,23,23
3w_own_history,WELL-00010_20180723134436,P-PDG,static,no finite minute median over the baseline windows,23,23
3w_own_history,WELL-00010_20180723134436,P-TPT,static,no finite minute median over the baseline windows,23,23
3w_own_history,WELL-00014_20160306070000,P-ANULAR,differenced,the scale over the baseline minutes is zero,9,9
3w_own_history,WELL-00014_20160306070000,P-TPT,differenced,the scale over the baseline minutes is zero,9,9
3w_own_history,WELL-00014_20160306070000,P-ANULAR,rolling,the scale over the baseline minutes is zero,1,6
3w_own_history,WELL-00014_20160306070000,P-ANULAR,static,the scale over the baseline minutes is zero,9,9
3w_own_history,WELL-00019_20120601165020,P-ANULAR,differenced,no finite minute median over the baseline windows,66,66
3w_own_history,WELL-00019_20120601165020,P-ANULAR,rolling,no finite minute median over the baseline windows,63,63
3w_own_history,WELL-00019_20120601165020,P-ANULAR,static,no finite minute median over the baseline windows,66,66
3w_own_history,WELL-00019_20141117190526,P-ANULAR,differenced,no finite minute median over the baseline windows,86,86
3w_own_history,WELL-00019_20141117190526,P-ANULAR,rolling,no finite minute median over the baseline windows,83,83
3w_own_history,WELL-00019_20141117190526,P-JUS-CKGL,rolling,the scale over the baseline minutes is zero,7,83
3w_own_history,WELL-00019_20141117190526,P-MON-CKP,rolling,the scale over the baseline minutes is zero,2,83
3w_own_history,WELL-00019_20141117190526,P-TPT,rolling,the scale over the baseline minutes is zero,32,83
3w_own_history,WELL-00019_20141117190526,T-TPT,rolling,the scale over the baseline minutes is zero,24,83
3w_own_history,WELL-00019_20141117190526,P-ANULAR,static,no finite minute median over the baseline windows,86,86
3w_own_history,WELL-00019_20150614025713,P-ANULAR,differenced,no finite minute median over the baseline windows,45,45
3w_own_history,WELL-00019_20150614025713,P-ANULAR,rolling,no finite minute median over the baseline windows,42,42
3w_own_history,WELL-00019_20150614025713,P-MON-CKP,rolling,the scale over the baseline minutes is zero,2,42
3w_own_history,WELL-00019_20150614025713,P-TPT,rolling,the scale over the baseline minutes is zero,2,42
3w_own_history,WELL-00019_20150614025713,T-TPT,rolling,the scale over the baseline minutes is zero,2,42
3w_own_history,WELL-00019_20150614025713,P-ANULAR,static,no finite minute median over the baseline windows,45,45
3w_own_history,WELL-00019_20170307235203,P-ANULAR,differenced,no finite minute median over the baseline windows,38,38
3w_own_history,WELL-00019_20170307235203,P-ANULAR,rolling,no finite minute median over the baseline windows,35,35
3w_own_history,WELL-00019_20170307235203,P-ANULAR,static,no finite minute median over the baseline windows,38,38
3w_own_history,WELL-00019_20210617032654,P-ANULAR,differenced,no finite minute median over the baseline windows,69,69
3w_own_history,WELL-00019_20210617032654,P-PDG,differenced,the scale over the baseline minutes is zero,69,69
3w_own_history,WELL-00019_20210617032654,P-TPT,differenced,the scale over the baseline minutes is zero,69,69
3w_own_history,WELL-00019_20210617032654,T-TPT,differenced,the scale over the baseline minutes is zero,69,69
3w_own_history,WELL-00019_20210617032654,P-ANULAR,rolling,no finite minute median over the baseline windows,66,66
3w_own_history,WELL-00019_20210617032654,P-MON-CKP,rolling,the scale over the baseline minutes is zero,13,66
3w_own_history,WELL-00019_20210617032654,P-PDG,rolling,the scale over the baseline minutes is zero,66,66
3w_own_history,WELL-00019_20210617032654,P-TPT,rolling,the scale over the baseline minutes is zero,66,66
