bed,record,fold,group,position,window_index,window_start,label,role
3w_aligned,WELL-00006_20180617190257,WELL-00006,aligned,4,12,2018-06-18T08:01:46+00:00,1,stream
3w_aligned,WELL-00006_20180617190257,WELL-00006,aligned,5,13,2018-06-18T09:01:46+00:00,1,stream
3w_aligned,WELL-00014_20160304155906,WELL-00014,aligned,0,1,2016-03-04T17:02:09+00:00,0,threshold
3w_aligned,WELL-00014_20160304155906,WELL-00014,aligned,1,2,2016-03-04T18:02:09+00:00,0,threshold
3w_aligned,WELL-00014_20160304155906,WELL-00014,aligned,2,3,2016-03-04T19:02:09+00:00,0,threshold
3w_aligned,WELL-00014_20160304155906,WELL-00014,aligned,3,4,2016-03-04T20:02:09+00:00,0,stream
3w_aligned,WELL-00014_20160304155906,WELL-00014,aligned,4,6,2016-03-04T22:02:09+00:00,1,stream
3w_aligned,WELL-00014_20160304155906,WELL-00014,aligned,5,7,2016-03-04T23:02:09+00:00,1,stream
3w_aligned,WELL-00014_20160306070000,WELL-00014,aligned,0,0,2016-03-06T07:01:51+00:00,0,threshold
3w_aligned,WELL-00014_20160306070000,WELL-00014,aligned,1,1,2016-03-06T08:01:51+00:00,0,threshold
3w_aligned,WELL-00014_20160306070000,WELL-00014,aligned,2,2,2016-03-06T09:01:51+00:00,0,threshold
3w_aligned,WELL-00014_20160306070000,WELL-00014,aligned,3,3,2016-03-06T10:01:51+00:00,0,stream
3w_aligned,WELL-00014_20160306070000,WELL-00014,aligned,4,5,2016-03-06T12:01:51+00:00,1,stream
3w_aligned,WELL-00014_20160306070000,WELL-00014,aligned,5,6,2016-03-06T13:01:51+00:00,1,stream
3w_aligned,WELL-00019_20120601165020,WELL-00019,aligned,0,24,2012-06-02T17:23:31+00:00,0,threshold
3w_aligned,WELL-00019_20120601165020,WELL-00019,aligned,1,25,2012-06-02T18:23:31+00:00,0,threshold
3w_aligned,WELL-00019_20120601165020,WELL-00019,aligned,2,26,2012-06-02T19:23:31+00:00,0,threshold
3w_aligned,WELL-00019_20120601165020,WELL-00019,aligned,3,27,2012-06-02T20:23:31+00:00,0,stream
3w_aligned,WELL-00019_20120601165020,WELL-00019,aligned,4,29,2012-06-02T22:23:31+00:00,1,stream
3w_aligned,WELL-00019_20120601165020,WELL-00019,aligned,5,30,2012-06-02T23:23:31+00:00,1,stream
3w_aligned,WELL-00019_20141117190526,WELL-00019,aligned,0,7,2014-11-18T02:27:40+00:00,0,threshold
3w_aligned,WELL-00019_20141117190526,WELL-00019,aligned,1,8,2014-11-18T03:27:40+00:00,0,threshold
3w_aligned,WELL-00019_20141117190526,WELL-00019,aligned,2,9,2014-11-18T04:27:40+00:00,0,threshold
3w_aligned,WELL-00019_20141117190526,WELL-00019,aligned,3,10,2014-11-18T05:27:40+00:00,0,stream
3w_aligned,WELL-00019_20141117190526,WELL-00019,aligned,4,12,2014-11-18T07:27:40+00:00,1,stream
3w_aligned,WELL-00019_20141117190526,WELL-00019,aligned,5,13,2014-11-18T08:27:40+00:00,1,stream
3w_aligned,WELL-00019_20150614025713,WELL-00019,aligned,0,10,2015-06-14T13:33:14+00:00,0,threshold
3w_aligned,WELL-00019_20150614025713,WELL-00019,aligned,1,11,2015-06-14T14:33:14+00:00,0,threshold
3w_aligned,WELL-00019_20150614025713,WELL-00019,aligned,2,12,2015-06-14T15:33:14+00:00,0,threshold
3w_aligned,WELL-00019_20150614025713,WELL-00019,aligned,3,13,2015-06-14T16:33:14+00:00,0,stream
3w_aligned,WELL-00019_20150614025713,WELL-00019,aligned,4,15,2015-06-14T18:33:14+00:00,1,stream
3w_aligned,WELL-00019_20150614025713,WELL-00019,aligned,5,16,2015-06-14T19:33:14+00:00,1,stream
3w_aligned,WELL-00019_20210617032654,WELL-00019,aligned,0,10,2021-06-17T13:38:56+00:00,0,threshold
3w_aligned,WELL-00019_20210617032654,WELL-00019,aligned,1,11,2021-06-17T14:38:56+00:00,0,threshold
3w_aligned,WELL-00019_20210617032654,WELL-00019,aligned,2,12,2021-06-17T15:38:56+00:00,0,threshold
3w_aligned,WELL-00019_20210617032654,WELL-00019,aligned,3,13,2021-06-17T16:38:56+00:00,0,stream
3w_aligned,WELL-00019_20210617032654,WELL-00019,aligned,4,15,2021-06-17T18:38:56+00:00,1,stream
3w_aligned,WELL-00019_20210617032654,WELL-00019,aligned,5,16,2021-06-17T19:38:56+00:00,1,stream
3w_aligned,WELL-00021_20180611011218,WELL-00021,aligned,0,0,2018-06-11T02:04:06+00:00,0,threshold
3w_aligned,WELL-00021_20180611011218,WELL-00021,aligned,1,1,2018-06-11T03:04:06+00:00,0,threshold
3w_aligned,WELL-00021_20180611011218,WELL-00021,aligned,2,2,2018-06-11T04:04:06+00:00,0,threshold
3w_aligned,WELL-00021_20180611011218,WELL-00021,aligned,3,3,2018-06-11T05:04:06+00:00,0,stream
3w_aligned,WELL-00021_20180611011218,WELL-00021,aligned,4,5,2018-06-11T07:04:06+00:00,1,stream
3w_aligned,WELL-00021_20180611011218,WELL-00021,aligned,5,6,2018-06-11T08:04:06+00:00,1,stream
3w_aligned,WELL-00021_20190403013307,WELL-00021,aligned,0,3,2019-04-03T04:59:05+00:00,0,threshold
3w_aligned,WELL-00021_20190403013307,WELL-00021,aligned,1,4,2019-04-03T05:59:05+00:00,0,threshold
3w_aligned,WELL-00021_20190403013307,WELL-00021,aligned,2,5,2019-04-03T06:59:05+00:00,0,threshold
3w_aligned,WELL-00021_20190403013307,WELL-00021,aligned,3,6,2019-04-03T07:59:05+00:00,0,stream
3w_aligned,WELL-00021_20190403013307,WELL-00021,aligned,4,8,2019-04-03T09:59:05+00:00,1,stream
3w_aligned,WELL-00021_20190403013307,WELL-00021,aligned,5,9,2019-04-03T10:59:05+00:00,1,stream
3w_aligned,WELL-00022_20180802233838,WELL-00022,aligned,0,18,2018-08-03T18:35:24+00:00,0,threshold
3w_aligned,WELL-00022_20180802233838,WELL-00022,aligned,1,19,2018-08-03T19:35:24+00:00,0,threshold
3w_aligned,WELL-00022_20180802233838,WELL-00022,aligned,2,20,2018-08-03T20:35:24+00:00,0,threshold
3w_aligned,WELL-00022_20180802233838,WELL-00022,aligned,3,21,2018-08-03T21:35:24+00:00,0,stream
3w_aligned,WELL-00022_20180802233838,WELL-00022,aligned,4,23,2018-08-03T23:35:24+00:00,1,stream
3w_aligned,WELL-00022_20180802233838,WELL-00022,aligned,5,24,2018-08-04T00:35:24+00:00,1,stream
3w_aligned,WELL-00022_20180912025800,WELL-00022,aligned,0,3,2018-09-12T06:03:28+00:00,0,threshold
3w_aligned,WELL-00022_20180912025800,WELL-00022,aligned,1,4,2018-09-12T07:03:28+00:00,0,threshold
3w_aligned,WELL-00022_20180912025800,WELL-00022,aligned,2,5,2018-09-12T08:03:28+00:00,0,threshold
3w_aligned,WELL-00022_20180912025800,WELL-00022,aligned,3,6,2018-09-12T09:03:28+00:00,0,stream
3w_aligned,WELL-00022_20180912025800,WELL-00022,aligned,4,8,2018-09-12T11:03:28+00:00,1,stream
3w_aligned,WELL-00022_20180912025800,WELL-00022,aligned,5,9,2018-09-12T12:03:28+00:00,1,stream
3w_aligned,WELL-00022_20180919003240,WELL-00022,aligned,0,5,2018-09-19T06:30:37+00:00,0,threshold
3w_aligned,WELL-00022_20180919003240,WELL-00022,aligned,1,6,2018-09-19T07:30:37+00:00,0,threshold
3w_aligned,WELL-00022_20180919003240,WELL-00022,aligned,2,7,2018-09-19T08:30:37+00:00,0,threshold
3w_aligned,WELL-00022_20180919003240,WELL-00022,aligned,3,8,2018-09-19T09:30:37+00:00,0,stream
3w_aligned,WELL-00022_20180919003240,WELL-00022,aligned,4,10,2018-09-19T11:30:37+00:00,1,stream
3w_aligned,WELL-00022_20180919003240,WELL-00022,aligned,5,11,2018-09-19T12:30:37+00:00,1,stream
3w_aligned,WELL-00022_20180925003447,WELL-00022,aligned,0,9,2018-09-25T10:12:34+00:00,0,threshold
3w_aligned,WELL-00022_20180925003447,WELL-00022,aligned,1,10,2018-09-25T11:12:34+00:00,0,threshold
3w_aligned,WELL-00022_20180925003447,WELL-00022,aligned,2,11,2018-09-25T12:12:34+00:00,0,threshold
3w_aligned,WELL-00022_20180925003447,WELL-00022,aligned,3,12,2018-09-25T13:12:34+00:00,0,stream
3w_aligned,WELL-00022_20180925003447,WELL-00022,aligned,4,14,2018-09-25T15:12:34+00:00,1,stream
3w_aligned,WELL-00022_20180925003447,WELL-00022,aligned,5,15,2018-09-25T16:12:34+00:00,1,stream
3w_aligned,WELL-00022_20181007080700,WELL-00022,aligned,0,17,2018-10-08T01:39:01+00:00,0,threshold
3w_aligned,WELL-00022_20181007080700,WELL-00022,aligned,1,18,2018-10-08T02:39:01+00:00,0,threshold
3w_aligned,WELL-00022_20181007080700,WELL-00022,aligned,2,19,2018-10-08T03:39:01+00:00,0,threshold
3w_aligned,WELL-00022_20181007080700,WELL-00022,aligned,3,20,2018-10-08T04:39:01+00:00,0,stream
3w_aligned,WELL-00022_20181007080700,WELL-00022,aligned,4,22,2018-10-08T06:39:01+00:00,1,stream
3w_aligned,WELL-00022_20181007080700,WELL-00022,aligned,5,23,2018-10-08T07:39:01+00:00,1,stream
3w_aligned,WELL-00022_20181020133850,WELL-00022,aligned,0,5,2018-10-20T19:06:37+00:00,0,threshold
3w_aligned,WELL-00022_20181020133850,WELL-00022,aligned,1,6,2018-10-20T20:06:37+00:00,0,threshold
3w_aligned,WELL-00022_20181020133850,WELL-00022,aligned,2,7,2018-10-20T21:06:37+00:00,0,threshold
3w_aligned,WELL-00022_20181020133850,WELL-00022,aligned,3,8,2018-10-20T22:06:37+00:00,0,stream
3w_aligned,WELL-00022_20181020133850,WELL-00022,aligned,4,10,2018-10-21T00:06:37+00:00,1,stream
3w_aligned,WELL-00022_20181020133850,WELL-00022,aligned,5,11,2018-10-21T01:06:37+00:00,1,stream
3w_aligned,WELL-00022_20181026005827,WELL-00022,aligned,0,24,2018-10-27T01:14:30+00:00,0,threshold
3w_aligned,WELL-00022_20181026005827,WELL-00022,aligned,1,25,2018-10-27T02:14:30+00:00,0,threshold
3w_aligned,WELL-00022_20181026005827,WELL-00022,aligned,2,26,2018-10-27T03:14:30+00:00,0,threshold
3w_aligned,WELL-00022_20181026005827,WELL-00022,aligned,3,27,2018-10-27T04:14:30+00:00,0,stream
3w_aligned,WELL-00022_20181026005827,WELL-00022,aligned,4,29,2018-10-27T06:14:30+00:00,1,stream
3w_aligned,WELL-00022_20181026005827,WELL-00022,aligned,5,30,2018-10-27T07:14:30+00:00,1,stream
3w_aligned,WELL-00022_20181101193049,WELL-00022,aligned,0,2,2018-11-01T22:06:18+00:00,0,threshold
3w_aligned,WELL-00022_20181101193049,WELL-00022,aligned,1,3,2018-11-01T23:06:18+00:00,0,threshold
3w_aligned,WELL-00022_20181101193049,WELL-00022,aligned,2,4,2018-11-02T00:06:18+00:00,0,threshold
3w_aligned,WELL-00022_20181101193049,WELL-00022,aligned,3,5,2018-11-02T01:06:18+00:00,0,stream
3w_aligned,WELL-00022_20181101193049,WELL-00022,aligned,4,7,2018-11-02T03:06:18+00:00,1,stream
3w_aligned,WELL-00022_20181101193049,WELL-00022,aligned,5,8,2018-11-02T04:06:18+00:00,1,stream
3w_aligned,WELL-00023_20180826212652,WELL-00023,aligned,0,4,2018-08-27T02:11:00+00:00,0,threshold
3w_aligned,WELL-00023_20180826212652,WELL-00023,aligned,1,5,2018-08-27T03:11:00+00:00,0,threshold
3w_aligned,WELL-00023_20180826212652,WELL-00023,aligned,2,6,2018-08-27T04:11:00+00:00,0,threshold
3w_aligned,WELL-00023_20180826212652,WELL-00023,aligned,3,7,2018-08-27T05:11:00+00:00,0,stream
3w_aligned,WELL-00023_20180826212652,WELL-00023,aligned,4,9,2018-08-27T07:11:00+00:00,1,stream
3w_aligned,WELL-00023_20180826212652,WELL-00023,aligned,5,10,2018-08-27T08:11:00+00:00,1,stream
3w_aligned,WELL-00023_20181014121654,WELL-00023,aligned,0,14,2018-10-15T02:26:20+00:00,0,threshold
3w_aligned,WELL-00023_20181014121654,WELL-00023,aligned,1,15,2018-10-15T03:26:20+00:00,0,threshold
3w_aligned,WELL-00023_20181014121654,WELL-00023,aligned,2,16,2018-10-15T04:26:20+00:00,0,threshold
3w_aligned,WELL-00023_20181014121654,WELL-00023,aligned,3,17,2018-10-15T05:26:20+00:00,0,stream
3w_aligned,WELL-00023_20181014121654,WELL-00023,aligned,4,19,2018-10-15T07:26:20+00:00,1,stream
3w_aligned,WELL-00023_20181014121654,WELL-00023,aligned,5,20,2018-10-15T08:26:20+00:00,1,stream
3w_aligned,WELL-00023_20181019115124,WELL-00023,aligned,0,14,2018-10-20T01:56:44+00:00,0,threshold
3w_aligned,WELL-00023_20181019115124,WELL-00023,aligned,1,15,2018-10-20T02:56:44+00:00,0,threshold
3w_aligned,WELL-00023_20181019115124,WELL-00023,aligned,2,16,2018-10-20T03:56:44+00:00,0,threshold
3w_aligned,WELL-00023_20181019115124,WELL-00023,aligned,3,17,2018-10-20T04:56:44+00:00,0,stream
3w_aligned,WELL-00023_20181019115124,WELL-00023,aligned,4,19,2018-10-20T06:56:44+00:00,1,stream
3w_aligned,WELL-00023_20181019115124,WELL-00023,aligned,5,20,2018-10-20T07:56:44+00:00,1,stream
3w_aligned,WELL-00023_20181030045054,WELL-00023,aligned,0,2,2018-10-30T06:56:44+00:00,0,threshold
3w_aligned,WELL-00023_20181030045054,WELL-00023,aligned,1,3,2018-10-30T07:56:44+00:00,0,threshold
3w_aligned,WELL-00023_20181030045054,WELL-00023,aligned,2,4,2018-10-30T08:56:44+00:00,0,threshold
3w_aligned,WELL-00023_20181030045054,WELL-00023,aligned,3,5,2018-10-30T09:56:44+00:00,0,stream
3w_aligned,WELL-00023_20181030045054,WELL-00023,aligned,4,7,2018-10-30T11:56:44+00:00,1,stream
3w_aligned,WELL-00023_20181030045054,WELL-00023,aligned,5,8,2018-10-30T12:56:44+00:00,1,stream
3w_aligned,WELL-00024_20160712123044,WELL-00024,aligned,0,3,2016-07-12T15:38:47+00:00,0,threshold
3w_aligned,WELL-00024_20160712123044,WELL-00024,aligned,1,4,2016-07-12T16:38:47+00:00,0,threshold
3w_aligned,WELL-00024_20160712123044,WELL-00024,aligned,2,5,2016-07-12T17:38:47+00:00,0,threshold
3w_aligned,WELL-00024_20160712123044,WELL-00024,aligned,3,6,2016-07-12T18:38:47+00:00,0,stream
3w_aligned,WELL-00024_20160712123044,WELL-00024,aligned,4,8,2016-07-12T20:38:47+00:00,1,stream
3w_aligned,WELL-00024_20160712123044,WELL-00024,aligned,5,9,2016-07-12T21:38:47+00:00,1,stream
3w_aligned,WELL-00024_20160720230624,WELL-00024,aligned,0,7,2016-07-21T06:44:18+00:00,0,threshold
3w_aligned,WELL-00024_20160720230624,WELL-00024,aligned,1,8,2016-07-21T07:44:18+00:00,0,threshold
3w_aligned,WELL-00024_20160720230624,WELL-00024,aligned,2,9,2016-07-21T08:44:18+00:00,0,threshold
3w_aligned,WELL-00024_20160720230624,WELL-00024,aligned,3,10,2016-07-21T09:44:18+00:00,0,stream
3w_aligned,WELL-00024_20160720230624,WELL-00024,aligned,4,12,2016-07-21T11:44:18+00:00,1,stream
3w_aligned,WELL-00024_20160720230624,WELL-00024,aligned,5,13,2016-07-21T12:44:18+00:00,1,stream
3w_aligned,WELL-00024_20160722105543,WELL-00024,aligned,0,5,2016-07-22T15:56:59+00:00,0,threshold
3w_aligned,WELL-00024_20160722105543,WELL-00024,aligned,1,6,2016-07-22T16:56:59+00:00,0,threshold
3w_aligned,WELL-00024_20160722105543,WELL-00024,aligned,2,7,2016-07-22T17:56:59+00:00,0,threshold
3w_aligned,WELL-00024_20160722105543,WELL-00024,aligned,3,8,2016-07-22T18:56:59+00:00,0,stream
3w_aligned,WELL-00024_20160722105543,WELL-00024,aligned,4,10,2016-07-22T20:56:59+00:00,1,stream
3w_aligned,WELL-00024_20160722105543,WELL-00024,aligned,5,11,2016-07-22T21:56:59+00:00,1,stream
3w_aligned,WELL-00024_20160729172014,WELL-00024,aligned,0,0,2016-07-29T18:01:27+00:00,0,threshold
3w_aligned,WELL-00024_20160729172014,WELL-00024,aligned,1,1,2016-07-29T19:01:27+00:00,0,threshold
3w_aligned,WELL-00024_20160729172014,WELL-00024,aligned,2,2,2016-07-29T20:01:27+00:00,0,threshold
3w_aligned,WELL-00024_20160729172014,WELL-00024,aligned,3,3,2016-07-29T21:01:27+00:00,0,stream
3w_aligned,WELL-00024_20160729172014,WELL-00024,aligned,4,5,2016-07-29T23:01:27+00:00,1,stream
3w_aligned,WELL-00024_20160729172014,WELL-00024,aligned,5,6,2016-07-30T00:01:27+00:00,1,stream
3w_aligned,WELL-00024_20160825100303,WELL-00024,aligned,0,5,2016-08-25T16:02:59+00:00,0,threshold
3w_aligned,WELL-00024_20160825100303,WELL-00024,aligned,1,6,2016-08-25T17:02:59+00:00,0,threshold
3w_aligned,WELL-00024_20160825100303,WELL-00024,aligned,2,7,2016-08-25T18:02:59+00:00,0,threshold
3w_aligned,WELL-00024_20160825100303,WELL-00024,aligned,3,8,2016-08-25T19:02:59+00:00,0,stream
3w_aligned,WELL-00024_20160825100303,WELL-00024,aligned,4,10,2016-08-25T21:02:59+00:00,1,stream
3w_aligned,WELL-00024_20160825100303,WELL-00024,aligned,5,11,2016-08-25T22:02:59+00:00,1,stream
3w_aligned,WELL-00024_20160909220000,WELL-00024,aligned,0,14,2016-09-10T12:59:22+00:00,0,threshold
3w_aligned,WELL-00024_20160909220000,WELL-00024,aligned,1,15,2016-09-10T13:59:22+00:00,0,threshold
3w_aligned,WELL-00024_20160909220000,WELL-00024,aligned,2,16,2016-09-10T14:59:22+00:00,0,threshold
3w_aligned,WELL-00024_20160909220000,WELL-00024,aligned,3,17,2016-09-10T15:59:22+00:00,0,stream
3w_aligned,WELL-00024_20160909220000,WELL-00024,aligned,4,19,2016-09-10T17:59:22+00:00,1,stream
3w_aligned,WELL-00024_20160909220000,WELL-00024,aligned,5,20,2016-09-10T18:59:22+00:00,1,stream
3w_aligned,WELL-00024_20161001112049,WELL-00024,aligned,0,1,2016-10-01T12:31:12+00:00,0,threshold
3w_aligned,WELL-00024_20161001112049,WELL-00024,aligned,1,2,2016-10-01T13:31:12+00:00,0,threshold
3w_aligned,WELL-00024_20161001112049,WELL-00024,aligned,2,3,2016-10-01T14:31:12+00:00,0,threshold
3w_aligned,WELL-00024_20161001112049,WELL-00024,aligned,3,4,2016-10-01T15:31:12+00:00,0,stream
3w_aligned,WELL-00024_20161001112049,WELL-00024,aligned,4,6,2016-10-01T17:31:12+00:00,1,stream
3w_aligned,WELL-00024_20161001112049,WELL-00024,aligned,5,7,2016-10-01T18:31:12+00:00,1,stream
3w_aligned,WELL-00024_20161026065657,WELL-00024,aligned,0,2,2016-10-26T09:17:09+00:00,0,threshold
3w_aligned,WELL-00024_20161026065657,WELL-00024,aligned,1,3,2016-10-26T10:17:09+00:00,0,threshold
3w_aligned,WELL-00024_20161026065657,WELL-00024,aligned,2,4,2016-10-26T11:17:09+00:00,0,threshold
3w_aligned,WELL-00024_20161026065657,WELL-00024,aligned,3,5,2016-10-26T12:17:09+00:00,0,stream
3w_aligned,WELL-00024_20161026065657,WELL-00024,aligned,4,7,2016-10-26T14:17:09+00:00,1,stream
3w_aligned,WELL-00024_20161026065657,WELL-00024,aligned,5,8,2016-10-26T15:17:09+00:00,1,stream
3w_aligned,WELL-00025_20200629194141,WELL-00025,aligned,0,19,2020-06-30T15:30:57+00:00,0,threshold
3w_aligned,WELL-00025_20200629194141,WELL-00025,aligned,1,20,2020-06-30T16:30:57+00:00,0,threshold
3w_aligned,WELL-00025_20200629194141,WELL-00025,aligned,2,21,2020-06-30T17:30:57+00:00,0,threshold
3w_aligned,WELL-00025_20200629194141,WELL-00025,aligned,3,22,2020-06-30T18:30:57+00:00,0,stream
3w_aligned,WELL-00025_20200629194141,WELL-00025,aligned,4,24,2020-06-30T20:30:57+00:00,1,stream
3w_aligned,WELL-00025_20200629194141,WELL-00025,aligned,5,25,2020-06-30T21:30:57+00:00,1,stream
3w_aligned,WELL-00026_20160601130000,WELL-00026,aligned,0,1,2016-06-01T14:58:20+00:00,0,threshold
3w_aligned,WELL-00026_20160601130000,WELL-00026,aligned,1,2,2016-06-01T15:58:20+00:00,0,threshold
3w_aligned,WELL-00026_20160601130000,WELL-00026,aligned,2,3,2016-06-01T16:58:20+00:00,0,threshold
3w_aligned,WELL-00026_20160601130000,WELL-00026,aligned,3,4,2016-06-01T17:58:20+00:00,0,stream
3w_aligned,WELL-00026_20160601130000,WELL-00026,aligned,4,6,2016-06-01T19:58:20+00:00,1,stream
3w_aligned,WELL-00026_20160601130000,WELL-00026,aligned,5,7,2016-06-01T20:58:20+00:00,1,stream
3w_aligned,WELL-00026_20170207230000,WELL-00026,aligned,0,32,2017-02-09T07:05:35+00:00,0,threshold
3w_aligned,WELL-00026_20170207230000,WELL-00026,aligned,1,33,2017-02-09T08:05:35+00:00,0,threshold
3w_aligned,WELL-00026_20170207230000,WELL-00026,aligned,2,34,2017-02-09T09:05:35+00:00,0,threshold
3w_aligned,WELL-00026_20170207230000,WELL-00026,aligned,3,35,2017-02-09T10:05:35+00:00,0,stream
3w_aligned,WELL-00026_20170207230000,WELL-00026,aligned,4,37,2017-02-09T12:05:35+00:00,1,stream
3w_aligned,WELL-00026_20170207230000,WELL-00026,aligned,5,38,2017-02-09T13:05:35+00:00,1,stream
3w_aligned,WELL-00026_20170608230000,WELL-00026,aligned,0,61,2017-06-11T12:05:03+00:00,0,threshold
3w_aligned,WELL-00026_20170608230000,WELL-00026,aligned,1,62,2017-06-11T13:05:03+00:00,0,threshold
3w_aligned,WELL-00026_20170608230000,WELL-00026,aligned,2,63,2017-06-11T14:05:03+00:00,0,threshold
3w_aligned,WELL-00026_20170608230000,WELL-00026,aligned,3,64,2017-06-11T15:05:03+00:00,0,stream
3w_aligned,WELL-00026_20170608230000,WELL-00026,aligned,4,66,2017-06-11T17:05:03+00:00,1,stream
3w_aligned,WELL-00026_20170608230000,WELL-00026,aligned,5,67,2017-06-11T18:05:03+00:00,1,stream
3w_aligned,WELL-00027_20230918170106,WELL-00027,aligned,0,9,2023-09-19T02:38:48+00:00,0,threshold
3w_aligned,WELL-00027_20230918170106,WELL-00027,aligned,1,10,2023-09-19T03:38:48+00:00,0,threshold
3w_aligned,WELL-00027_20230918170106,WELL-00027,aligned,2,11,2023-09-19T04:38:48+00:00,0,threshold
3w_aligned,WELL-00027_20230918170106,WELL-00027,aligned,3,12,2023-09-19T05:38:48+00:00,0,stream
3w_aligned,WELL-00027_20230918170106,WELL-00027,aligned,4,14,2023-09-19T07:38:48+00:00,1,stream
3w_aligned,WELL-00027_20230918170106,WELL-00027,aligned,5,15,2023-09-19T08:38:48+00:00,1,stream
3w_aligned,WELL-00028_20210617053128,WELL-00028,aligned,0,8,2021-06-17T13:39:18+00:00,0,threshold
3w_aligned,WELL-00028_20210617053128,WELL-00028,aligned,1,9,2021-06-17T14:39:18+00:00,0,threshold
3w_aligned,WELL-00028_20210617053128,WELL-00028,aligned,2,10,2021-06-17T15:39:18+00:00,0,threshold
3w_aligned,WELL-00028_20210617053128,WELL-00028,aligned,3,11,2021-06-17T16:39:18+00:00,0,stream
3w_aligned,WELL-00028_20210617053128,WELL-00028,aligned,4,13,2021-06-17T18:39:18+00:00,1,stream
3w_aligned,WELL-00028_20210617053128,WELL-00028,aligned,5,14,2021-06-17T19:39:18+00:00,1,stream
3w_aligned,WELL-00029_20201020231724,WELL-00029,aligned,0,11,2020-10-21T11:10:48+00:00,0,threshold
3w_aligned,WELL-00029_20201020231724,WELL-00029,aligned,1,12,2020-10-21T12:10:48+00:00,0,threshold
3w_aligned,WELL-00029_20201020231724,WELL-00029,aligned,2,13,2020-10-21T13:10:48+00:00,0,threshold
3w_aligned,WELL-00029_20201020231724,WELL-00029,aligned,3,14,2020-10-21T14:10:48+00:00,0,stream
3w_aligned,WELL-00029_20201020231724,WELL-00029,aligned,4,16,2020-10-21T16:10:48+00:00,1,stream
3w_aligned,WELL-00029_20201020231724,WELL-00029,aligned,5,17,2020-10-21T17:10:48+00:00,1,stream
3w_aligned,WELL-00030_20141108012623,WELL-00030,aligned,0,4,2014-11-08T06:08:37+00:00,0,threshold
3w_aligned,WELL-00030_20141108012623,WELL-00030,aligned,1,5,2014-11-08T07:08:37+00:00,0,threshold
